benchmark,qid,question,gold_answer,reference_date,manual_temporal_type,gold_fact_ids,conflict_fact_ids,annotation_source,adjudication_provenance,author_notes
locomo,conv-26_qa068,How long has Melanie been practicing art?,Since 2016,2023/10/22 (Sun) 09:55,duration,item_e6aba54c609ac0ca,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-26_qa072,When did Melanie's friend adopt a child?,2022,2023/10/22 (Sun) 09:55,historical-state,item_d18437e0f9b17e16,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-26_qa073,When did Melanie get hurt?,September 2023,2023/10/22 (Sun) 09:55,historical-state,item_2a7de98cd0640094,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-26_qa074,When did Melanie's family go on a roadtrip?,The weekend before 20 October 2023,2023/10/22 (Sun) 09:55,historical-state,item_5882cf738aa40c23,,hybrid_author_adjudicated,author_custom,Camping trips are different events and are not road-trip conflicts.
locomo,conv-26_qa079,When did Caroline pass the adoption interview?,The Friday before 22 October 2023,2023/10/22 (Sun) 09:55,historical-state,item_a8c6382365304358,,hybrid_author_adjudicated,author_accepted_independent,The selected fact directly dates passing the adoption interview.
locomo,conv-26_qa080,When did Melanie buy the figurines?,21 October 2023,2023/10/22 (Sun) 09:55,historical-state,item_caa7ad558dfe5452,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-30_qa000,When Jon has lost his job as a banker?,"19 January, 2023",2023/07/23 (Sun) 18:46,historical-state,item_5560d4f79a42f585;item_90b00fbf318eb64b,item_10bc18421f92cbd1;item_5abf7fef29b9ea8b;item_d0befdcbfee94139,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-30_qa001,When Gina has lost her job at Door Dash?,"January, 2023",2023/07/23 (Sun) 18:46,historical-state,item_e8f80971459da560;item_90b00fbf318eb64b;item_5560d4f79a42f585;fact_be790bf9299ed511;fact_03840a30c498df4a,item_a491e4a8845f4fa5;fact_f17676b08e882eb7,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-30_qa006,When is Jon's group performing at a festival?,"February, 2023",2023/07/23 (Sun) 18:46,historical-state,item_f711c76c30005b17;item_6d46b882577294f2;fact_f580dec1e593b2e7,fact_6cb1ba90cd0da942;item_d41fdf3d095c86d3;fact_c107f3db35b3f538;fact_e8bd6741a5380927,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-30_qa007,When did Gina launch an ad campaign for her store?,"29 January, 2023",2023/07/23 (Sun) 18:46,historical-state,item_b5a52dc3d2057a91,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-30_qa008,When was Jon in Paris?,28 January 2023,2023/07/23 (Sun) 18:46,historical-state,item_26806c6c30b82af2,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-30_qa010,When did Gina team up with a local artist for some cool designs?,"February, 2023",2023/07/23 (Sun) 18:46,historical-state,item_6cb990def44f4ac0,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-30_qa011,When did Gina get her tattoo?,A few years ago,2023/07/23 (Sun) 18:46,historical-state,item_b596c2dbd1216843,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-30_qa012,When did Jon start to go to the gym?,"March, 2023",2023/07/23 (Sun) 18:46,historical-state,item_68b9b176b87a8611,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-30_qa013,When did Gina open her online clothing store?,"16 March, 2023",2023/07/23 (Sun) 18:46,historical-state,item_2df9bafc1337e3cd;item_9e3096e198d6fad7,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-30_qa014,When did Jon start expanding his studio's social media presence?,"April, 2023",2023/07/23 (Sun) 18:46,historical-state,item_9313842a229a97c0,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-30_qa015,When did Jon host a dance competition?,"May, 2023",2023/07/23 (Sun) 18:46,historical-state,item_d91079f7cfc37380,item_09d2e8fa0783badb;item_9854acda7711cace,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-30_qa016,When did Jon go to a fair to get more exposure for his dance studio?,"24 April, 2023",2023/07/23 (Sun) 18:46,historical-state,item_e2031b03ea2ad86e,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-30_qa019,When did Gina interview for a design internship?,"10 May, 2023",2023/07/23 (Sun) 18:46,historical-state,item_02704cad6748bca1,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-30_qa020,When did Gina get accepted for the design internship?,"27 May, 2023",2023/07/23 (Sun) 18:46,historical-state,item_a8a85263a8547870,item_02704cad6748bca1,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-30_qa021,"When did Jon start reading ""The Lean Startup""?","May, 2023",2023/07/23 (Sun) 18:46,historical-state,item_fef83078a4786549,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-30_qa022,When did Gina develop a video presentation to teach how to style her fashion pieces? ,"June, 2023",2023/07/23 (Sun) 18:46,historical-state,item_e0978477ceb46c10,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-30_qa026,When did Jon receive mentorship to promote his venture?,"15 June, 2023",2023/07/23 (Sun) 18:46,historical-state,item_618b738eddb4ddd7,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-30_qa028,When was Jon in Rome?,June 2023,2023/07/23 (Sun) 18:46,historical-state,item_01b0657b3c9fb3d4,,hybrid_author_adjudicated,author_custom,"The Paris visit is a different trip, not a conflicting Rome date."
locomo,conv-30_qa030,When Jon is planning to open his dance studio?,"20 June, 2023",2023/07/23 (Sun) 18:46,historical-state,item_28fa13807230b193;item_7c053713ee74bf44;item_7e9f469614c8a664;item_8de5fae99006f0ac;item_b85c4cfc699ab08b,item_56cbd60b79518db7;item_5da99ad4fdd3c6d3;item_c5e810e082f6de3c;item_f0d8404a4a371c34,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-30_qa032,When did Gina design a limited collection of hoodies?,June 2023,2023/07/23 (Sun) 18:46,historical-state,item_f4fad781d5a210dc,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-30_qa033,When did Jon visit networking events for his store?,"20 June, 2023",2023/07/23 (Sun) 18:46,historical-state,item_694bc7ad1af2f44f,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-30_qa034,When did Gina start being recognized by fashion editors?,July 2023,2023/07/23 (Sun) 18:46,historical-state,item_f5a46ff24f71c15d,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-30_qa035,When did Jon start learning marketing and analytics tools?,"July, 2023",2023/07/23 (Sun) 18:46,historical-state,item_601fa2fcd61012ee,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-30_qa036,When did Jon and Gina decide to collaborate to create dance content?,21 July 2023,2023/07/23 (Sun) 18:46,historical-state,item_4d1087bfed0beb50,,hybrid_author_adjudicated,author_custom,The agreement fact directly dates the decision to collaborate.
locomo,conv-30_qa038,When did Gina go to a dance class with a group of friends?,21 July 2023,2023/07/23 (Sun) 18:46,historical-state,item_10e7f8c80eabbe0f,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-41_qa000,"Who did Maria have dinner with on May 3, 2023?",her mother,2023/08/16 (Wed) 11:08,historical-state,item_2e98bd852b54d518,,hybrid_author_adjudicated,author_accepted_independent,The selected fact directly identifies the dinner companion on May 3.
locomo,conv-41_qa001,When did Maria donate her car?,21 December 2022,2023/08/16 (Wed) 11:08,historical-state,item_8c66eadeae6a7abc,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-41_qa004,When did John join the online support group?,The week before 1 January 2023,2023/08/16 (Wed) 11:08,historical-state,fact_db5ae59dae3b7b7b;item_97a6a1b39b40c1b6,,hybrid_author_adjudicated,author_custom,These duplicate facts directly date joining the service-focused group; the August military group is a different group.
locomo,conv-41_qa005,When did Maria go to the beach?,December 2022,2023/08/16 (Wed) 11:08,historical-state,item_ca6c8520281a89bd;fact_ade860b7279df896,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-41_qa010,When did Maria meet Jean?,"February 24, 2023",2023/08/16 (Wed) 11:08,historical-state,item_d69a649791411c23,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-41_qa013,When did Maria's grandmother pass away?,The week before 6 March 2023,2023/08/16 (Wed) 11:08,historical-state,item_dbf29fe964900682,,hybrid_author_adjudicated,author_custom,Only the death fact directly supplies the requested week.
locomo,conv-41_qa016,When did John get his degree?,The week before 2 April 2023,2023/08/16 (Wed) 11:08,historical-state,item_67740a1328dc5473,item_1343b969599ceefe,hybrid_author_adjudicated,author_accepted_independent,The March graduation fact supports gold; the April 2 completion fact gives an incompatible date for the same degree event.
locomo,conv-41_qa020,When did John take a road trip to the Pacific Northwest?,2022,2023/08/16 (Wed) 11:08,historical-state,item_043154a720b5ce9e;item_a689f0ffa250393c;fact_15d95c357df85dee;fact_3cd0c005b2b9b9ae;item_95f57b7e8e14ed48,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-41_qa022,When did John go to a convention with colleagues?,March 2023,2023/08/16 (Wed) 11:08,historical-state,item_1824e06c8a67e734,item_1b277ec4de693278,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-41_qa024,When did John start boot camp with his family?,April.2023,2023/08/16 (Wed) 11:08,historical-state,item_1180f1ecf32b4081,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-41_qa031,When did John get his dog Max?,In 2013,2023/08/16 (Wed) 11:08,historical-state,item_b1ce8c8b17d762af;fact_243e2c33bec9cf63,item_d7f47516c318afa5;item_aa8df1a53c3af696;item_4d32ba70158ac049;fact_852ed0a3c3b7e423;fact_1bcb5dc59aa156f2;fact_2352ac5fb07f570c,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-41_qa034,When did Maria join a gym?,The week before 16 June 2023,2023/08/16 (Wed) 11:08,historical-state,item_67e126277e6f324a,,hybrid_author_adjudicated,author_accepted_independent,The selected fact directly dates joining the gym.
locomo,conv-41_qa038,When did Maria get in a car accident?,"July 2, 2023",2023/08/16 (Wed) 11:08,historical-state,item_f09a495786fcb9ed,item_43f244bded85a9d8;item_f7dedb2f912335c8,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-41_qa043,When was John's old area hit with a flood?,The week before 7 July 2023,2023/08/16 (Wed) 11:08,historical-state,item_15cb4d7b3fbe0bef;item_c16199d4dfdfbbf8,,hybrid_author_adjudicated,author_custom,Both facts directly describe the late-June flood; unrelated July context was removed.
locomo,conv-41_qa046,When did Maria go hiking with her church friends?,The weekend before 22 July 2023,2023/08/16 (Wed) 11:08,historical-state,item_d1e50655becacf9e,,hybrid_author_adjudicated,author_custom,This fact directly identifies the church-friends hike and its weekend.
locomo,conv-41_qa051,When did Maria start volunteering at the homeless shelter?,Around August 2022,2023/08/16 (Wed) 11:08,historical-state,item_5f110f4636c07319,item_6824d5eab4e48bc0;item_6a021cab884ac90e;item_b5d2b1c815a508cc,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-41_qa053,When did John help renovate his hometown community center?,2022,2023/08/16 (Wed) 11:08,historical-state,item_5fa8e6f69105cfcf,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-41_qa054,When did Maria take up community work with her church friends?,"August 4, 2023",2023/08/16 (Wed) 11:08,historical-state,item_fe902866b5f0936b,item_5f110f4636c07319;item_e2c53ff9c4fef8a7,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-41_qa055,When did Maria receive a medal from the homeless shelter?,The week before 9 August 2023,2023/08/16 (Wed) 11:08,historical-state,item_935090788a914f72,,hybrid_author_adjudicated,author_custom,The medal fact directly supplies the event and week; the 5K fact concerns John.
locomo,conv-41_qa058,When did Maria get Coco?,Two weeks before 11 August 2023,2023/08/16 (Wed) 11:08,historical-state,item_df074c689240f684,,hybrid_author_adjudicated,author_custom,The puppy fact directly supplies the relative date.
locomo,conv-41_qa059,When did John go on a camping trip with Max?,The summer of 2022,2023/08/16 (Wed) 11:08,historical-state,item_4d32ba70158ac049;item_95f57b7e8e14ed48,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-41_qa061,When did Maria adopt Shadow?,The week before 13 August 2023,2023/08/16 (Wed) 11:08,historical-state,item_43310e94cfd19e4b;item_f06308ffe2a5ffd8,,hybrid_author_adjudicated,author_custom,The adoption and naming/status facts together identify the adopted puppy as Shadow.
locomo,conv-41_qa063,How many weeks passed between Maria adopting Coco and Shadow?,two weeks,2023/08/16 (Wed) 11:08,duration,item_43310e94cfd19e4b;item_df074c689240f684,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-41_qa091,What did John attend with his colleagues in March 2023?,a tech-for-good convention,2023/08/16 (Wed) 11:08,historical-state,item_1824e06c8a67e734,,hybrid_author_adjudicated,author_accepted_independent,The selected fact directly identifies the March event.
locomo,conv-42_qa002,"When did Joanna first watch ""Eternal Sunshine of the Spotless Mind?",2019,2022/11/11 (Fri) 00:06,historical-state,item_a3bf402e40c5bb00,,hybrid_author_adjudicated,author_accepted_independent,The selected fact directly states the first viewing and year.
locomo,conv-42_qa003,When did Nate win his first video game tournament?,"the week before 21Janury, 2022",2022/11/11 (Fri) 00:06,historical-state,item_3309413e089a29f3,,hybrid_author_adjudicated,author_custom,The fact explicitly identifies the first tournament; later tournaments are separate events.
locomo,conv-42_qa006,How long has Nate had his first two turtles?,three years,2022/11/11 (Fri) 00:06,duration,item_55afb666e2f0ec10;item_5d6907fbc1f172fd,item_4dc0b3a10adcfcbc;item_c8e902ac6cf35c57,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-42_qa007,When did Joanna finish her first screenplay?,"The Friday before 23January, 2022",2022/11/11 (Fri) 00:06,historical-state,item_0f68323eab9ea71d,,hybrid_author_adjudicated,author_custom,The fact explicitly dates completion of the first screenplay; later scripts are separate works.
locomo,conv-42_qa008,When did Nate get his first two turtles?,2019,2022/11/11 (Fri) 00:06,historical-state,item_55afb666e2f0ec10;item_5d6907fbc1f172fd,,hybrid_author_adjudicated,author_custom,The ownership and three-year-duration facts jointly support acquisition in 2019; later ownership observations are not conflicts.
locomo,conv-42_qa009,What major achievement did Joanna accomplish in January 2022?,finished her screenplay and printed it,2022/11/11 (Fri) 00:06,historical-state,item_0f68323eab9ea71d,,hybrid_author_adjudicated,author_custom,This fact directly states the January achievement; later screenplay events are separate.
locomo,conv-42_qa013,When did Joanna have an audition for a writing gig?,"23 March, 2022.",2022/11/11 (Fri) 00:06,historical-state,item_10e78a3d83ae66c5,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-42_qa015,When did Nate get purple hair?,"The week before 15April, 2022.",2022/11/11 (Fri) 00:06,historical-state,fact_82865a71609e64b0;item_daba2d41bccd2c3a,fact_5b1265865c7f7e8d;fact_6a0d4376c14048fa;item_6b74a4caeb182fbc;item_dffa45f621638781,hybrid_author_adjudicated,author_custom,The April 8 facts match gold; the April 15 facts assign the same hair-dye event an incompatible date.
locomo,conv-42_qa016,What physical transformation did Nate undergo in April 2022?,dyed his hair purple,2022/11/11 (Fri) 00:06,historical-state,item_6b74a4caeb182fbc;item_daba2d41bccd2c3a;item_dffa45f621638781,,hybrid_author_adjudicated,author_accepted_independent,All selected facts directly describe the purple-hair transformation.
locomo,conv-42_qa017,"What movie did Joanna watch on 1 May, 2022?",Lord of the Rings,2022/11/11 (Fri) 00:06,historical-state,item_aa015f695ddd13ee,,hybrid_author_adjudicated,author_accepted_independent,The selected fact directly identifies the movie watched on May 1.
locomo,conv-42_qa026,When did Nate win his third tourney?,"The week before 3June, 2022",2022/11/11 (Fri) 00:06,historical-state,item_56edc3a93ad3bf7f,,hybrid_author_adjudicated,author_custom,The late-May win directly supplies the requested date; other candidate tournaments are separate events.
locomo,conv-42_qa029,When is Joanna going to make Nate's ice cream for her family?,"The weekend of 24June, 2022.",2022/11/11 (Fri) 00:06,historical-state,item_cbd82196539dc06c;item_d2f0a77ef667e5a1,item_ab7b883e0d2aef64;item_749cfc6f97a5bddc;item_5f46daca766f207f;item_a962452ac1562031;item_2eaad62cfcbab0cc;item_a8233be32d156dd5,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-42_qa033,When did someone write Joanna a touching letter?,"The week before 14August, 2022.",2022/11/11 (Fri) 00:06,historical-state,fact_a2c87ffb5235ac6f;item_2c89082b0195c7e9,,hybrid_author_adjudicated,author_custom,These duplicate facts directly describe the touching reader letter in the target week.
locomo,conv-42_qa041,When did Joanna make a chocolate tart with raspberries?,"5 October, 2022",2022/11/11 (Fri) 00:06,historical-state,item_0cefc708bc72f13f;fact_b24a147aa1d42fdd,item_fcdc46318367e43c;fact_153caaf980b06715;item_b915c0864b0ace6b;item_65b85455fc13c0e2;item_a0b5d80aa3621a53;fact_355d1dc418aabfcf,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-42_qa054,When was Joanna's second movie script shown on the big screens?,"The Sunday before 25October, 2022.",2022/11/11 (Fri) 00:06,historical-state,fact_06c8087343fc659f;item_031ed6195763195f,,hybrid_author_adjudicated,author_custom,The premiere facts directly supply October 23; later pitching and filming concern different scripts or stages.
locomo,conv-42_qa072,When did Joanna plan on going to Nate's to watch him play with his turtles?,"10 November, 2022",2022/11/11 (Fri) 00:06,historical-state,fact_b3430541edad1b07;item_71a33ed37392956a,fact_8569c035e7c8a106;item_9f1971d35919b607,hybrid_author_adjudicated,author_custom,The November 10 arrival facts support gold; the November 5 visit plan is a competing date for the same planned visit.
locomo,conv-43_qa039,What year did Tim go to the Smoky Mountains?,2022,2024/01/12 (Fri) 13:41,historical-state,item_6b6854e1c200ce0e,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-43_qa046,Where was Tim in the week before 16 November 2023?,UK,2024/01/12 (Fri) 13:41,historical-state,fact_f0189a26f7bbbb54;item_283dd1b56103e11d,,hybrid_author_adjudicated,author_custom,The castle-trip facts directly locate Tim in the UK; exam context is unrelated.
locomo,conv-43_qa047,When did John get married at a greenhouse?,last week of September 2023,2024/01/12 (Fri) 13:41,historical-state,item_696a45cf60711e08;item_699e3714e9cabf9b,item_eb7ebd4d827556e3;item_f51559466526d34e,hybrid_author_adjudicated,author_custom,Late-September facts support gold; October 2 facts give an incompatible date for the same greenhouse wedding.
locomo,conv-43_qa054,When did John take a trip to the Rocky Mountains?,2022,2024/01/12 (Fri) 13:41,historical-state,item_2a7a5239aee02d68,,hybrid_author_adjudicated,author_custom,Only this fact explicitly identifies John's Rocky Mountains trip in 2022.
locomo,conv-43_qa069,When will Tim leave for Ireland?,"February, 2024",2024/01/12 (Fri) 13:41,historical-state,item_0abcd095d346b5f4;fact_40044a3f0e79ccba,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-44_qa005,When did Audrey see a hummingbird?,first week of May 2023,2023/11/22 (Wed) 09:02,historical-state,fact_12865f1a62ee1e01;item_20250916cfef723e,,hybrid_author_adjudicated,author_custom,The week beginning April 26 overlaps the first week of May and both duplicate facts describe the hummingbird sighting.
locomo,conv-44_qa010,When did Audrey's positive reinforcement training course for dogs take place?,"June, 2023",2023/11/22 (Wed) 09:02,historical-state,item_2790a25ffaa0bba5;item_be0e43befd30e96e,item_e27dfbcce8c24b68;item_e0a64cbaa45354a5;fact_48ade0de394e34d4;fact_1154d42659ecfaf4;fact_3450ea9aa0d7e50b;fact_6fe3b4383a0c5973,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-44_qa022,Where did Andrew go during the first weekend of August 2023?,camping with girlfriend,2023/11/22 (Wed) 09:02,historical-state,item_6dfe3e51afc3a0e3,,hybrid_author_adjudicated,author_custom,This fact directly describes the first-August-weekend camping plan.
locomo,conv-44_qa057,When did Andrew adopt Scout?,few days before November 2023,2023/11/22 (Wed) 09:02,historical-state,fact_864c6973e928913f;item_06544fb3ac130cd2;item_50112c0a4d691a0d,,hybrid_author_adjudicated,author_custom,The adoption fact supplies the date and the naming facts link the new puppy to Scout.
locomo,conv-47_qa021,When did John first organize a charity tournament with his friends?,"May 7, 2022",2022/11/07 (Mon) 20:57,historical-state,fact_4015b3d9e39f0db3;fact_4e070905e7e602c8;fact_7fa8f814f07cbbbd;fact_b28c4047dd1fd2ac;item_8f6f97b92f843875;item_cf0e459e7568403b;item_f221fdb4dbe62f4b,,hybrid_author_adjudicated,author_custom,May 7 event facts and May 8 charity-tournament facts jointly identify the event; October tournaments are separate.
locomo,conv-48_qa012,When did Deborah receive an appreciation letter from her community?,"January 26, 2023",2023/09/20 (Wed) 10:17,historical-state,item_6e42561de963c3b7;fact_a4c360014ede9af2,,hybrid_author_adjudicated,stable_model_assisted,
locomo,conv-48_qa031,When was the last photo of Deborah and Karlie taken?,in summer 2022,2023/09/20 (Wed) 10:17,historical-state,fact_bc5544c39fcdce09;item_6f8d1ac2d7ad38fd,,hybrid_author_adjudicated,author_custom,Both facts explicitly identify the last Deborah-Karlie photo and its season; an undated motorcycle photo is not a conflict.
