key,benchmark,question,gold_answer,selection_reason,double_label_required,proposed_temporal_type,independent_temporal_type,proposed_gold_fact_ids,independent_gold_fact_ids,proposed_conflict_fact_ids,independent_conflict_fact_ids,type_exact_match,gold_ids_exact_match,conflict_ids_exact_match,proposed_label_valid,independent_gold_conflict_overlap,confidence,model_assisted_fully_upheld,author_signoff_required,independent_notes
locomo::conv-26_qa020,locomo,When did Melanie go to the museum?,5 July 2023,expanded_union:codex_assisted_llm,false,historical-state,historical-state,item_dc86a3eae08d4a16,item_dc86a3eae08d4a16,,,True,True,True,True,,high,True,False,"The gold fact directly states Melanie went to the museum on 5 July 2023, matching the gold answer. No other fact contradicts this date for the same event. All other facts are either about different events or lack temporal conflict. The question asks for a specific past date, fitting 'historical-state'."
locomo::conv-26_qa021,locomo,When did Caroline have a picnic?,The week before 6 July 2023,expanded_union:codex_assisted_llm,false,ordering,historical-state,item_372e6b569de81eca;item_6b670e85d715c2c6,item_6b670e85d715c2c6,,,False,False,True,True,,high,False,True,"The gold answer specifies a time window (week before 6 July 2023). Fact 'item_6b670e85d715c2c6' directly states the picnic occurred last week (~29 June 2023), aligning with the gold. Fact 'item_372e6b569de81eca' (July 6, 2023) is about a support network, not the picnic, and is not a direct match. No conflicting facts exist. The task is a direct lookup of a past event, fitting 'historical-state'."
locomo::conv-26_qa025,locomo,When did Caroline go to the LGBTQ conference?,10 July 2023,expanded_union:codex_assisted_llm,false,historical-state,historical-state,item_055262b56b9f47ff,item_055262b56b9f47ff,,,True,True,True,True,,high,True,False,"The gold fact directly states Caroline attended the LGBTQ conference on July 10, 2023, matching the gold answer. No other fact contradicts this date for the same event. All other facts are about different events or unrelated topics, so no conflicts exist. The question asks for a specific date, fitting 'historical-state' as a direct lookup."
locomo::conv-26_qa026,locomo,"When did Melanie read the book ""nothing is impossible""?",2022,expanded_union:codex_assisted_llm,false,historical-state,historical-state,item_20ede2c254ad195c,item_20ede2c254ad195c,,,True,True,True,True,,high,True,False,"The gold fact directly states Melanie read a book in 2022, matching the gold answer. No other fact contradicts this date for the same event. All other facts are either about different events or unrelated to the book-reading timeline. The temporal type 'historical-state' is appropriate for a single, dated event with no comparison or arithmetic needed."
locomo::conv-26_qa028,locomo,When did Caroline go to the adoption meeting?,The friday before 15 July 2023,expanded_union:codex_assisted_llm,false,ordering,historical-state,item_38a035adb31309c2,item_38a035adb31309c2,,,False,True,True,True,,high,False,True,"The gold fact directly states Caroline attended the adoption meeting on July 8, 2023, which matches the gold answer (Friday before July 15, 2023). No conflicting facts about the same event exist. Other facts are either about unrelated events or use vague time references. The task requires a single dated event, so 'historical-state' is correct."
locomo::conv-26_qa029,locomo,When did Melanie go to the pottery workshop?,The Friday before 15 July 2023,expanded_union:codex_assisted_llm,false,ordering,historical-state,item_164dda73ac42af10;item_c959000c4a56855a,item_164dda73ac42af10;item_c959000c4a56855a,,,False,True,True,True,,high,False,True,"Both gold facts state Melanie attended a pottery workshop on July 14, 2023, which is the Friday before July 15, 2023, matching the gold answer. No conflicting facts about the event date exist. The question asks for a specific date, fitting historical-state. Other facts are irrelevant or describe later events."
locomo::conv-26_qa031,locomo,When did Melanie go camping in June?,The week before 27 June 2023,expanded_union:codex_assisted_llm,false,ordering,historical-state,item_8b4ba81920923d5f;item_a567a9ea6c3ff570,item_8b4ba81920923d5f;item_946af971a3dd8672,,,False,False,True,True,,high,False,True,"The gold facts directly support the answer: Melanie's camping trip occurred last week (June 20, 2023), aligning with 'the week before 27 June 2023'. The second gold fact confirms the trip was on or before June 27, 2023. No conflicting facts exist. The question asks for a specific time, not order, duration, or comparison. Thus, 'historical-state' is correct."
locomo::conv-26_qa033,locomo,When did Caroline go to a pride parade during the summer?,The week before 3 July 2023,all_methods_wrong,true,ordering,historical-state,fact_ba5acf052684d52a;item_23e23ba9523baef1;item_320fd8d1ac1fe8ca;item_58fb396e63b8bf71;item_720150345fbdcd9a;item_fe103ffec1779d2c,fact_b834b05e92f34175;item_23e23ba9523baef1;item_58fb396e63b8bf71;item_720150345fbdcd9a,fact_523d713d3e2be542;fact_b834b05e92f34175;fact_e7f6594ecc99d348;item_185007f7fbdca15b,fact_e7f6594ecc99d348;item_185007f7fbdca15b,False,False,False,True,,high,False,True,"Gold facts identify Caroline's attendance at a pride parade in late June 2023, aligning with 'the week before 3 July 2023'. Conflict facts (August 11, 2023; 'last Friday') contradict this. Other facts are irrelevant or not conflicting. Proposed type 'ordering' is incorrect; this is a historical-state query."
locomo::conv-26_qa035,locomo,When did Melanie go camping in July?,two weekends before 17 July 2023,mixed_method_outcomes,false,ordering,duration,fact_59383566d0785003;item_522138e5ee9f7653;item_6b42e8d965aa32a8;item_c0289b89f98f7268;item_cfce2eacbb288889;item_f7e7b2e7c54fb750,fact_59383566d0785003;item_522138e5ee9f7653;item_6b42e8d965aa32a8;item_c0289b89f98f7268;item_f7e7b2e7c54fb750,,item_744c156fbf131bd2;item_8b4ba81920923d5f;item_946af971a3dd8672,False,False,False,True,,high,False,True,"Gold facts directly support 'two weekends before 17 July 2023' (approx. July 3). Conflict facts (e.g., June 20, July 6) contradict this timeline. 'Every summer' and 'a few weeks prior to Sept 13' are irrelevant. Duration is correct: interval arithmetic from July 17 to July 3. Ordering is not required."
locomo::conv-26_qa036,locomo,When did Caroline join a mentorship program?,The weekend before 17 July 2023,expanded_union:codex_assisted_llm,false,ordering,historical-state,item_adb2785b19ff6b2f,item_adb2785b19ff6b2f,,,False,True,True,True,,high,False,True,"The gold fact directly states Caroline joined the mentorship program during the weekend of July 15-16, 2023, aligning with the gold answer of 'the weekend before 17 July 2023'. No conflicting facts about the same event exist. Other facts are either irrelevant or describe different events. The temporal type is correctly historical-state, not ordering."
locomo::conv-26_qa041,locomo,When did Caroline join a new activist group?,The Tuesday before 20 July 2023,expanded_union:codex_assisted_llm,false,ordering,historical-state,item_1032833a730fe25d,item_1032833a730fe25d,,,False,True,True,True,,high,False,True,"The gold fact directly states Caroline joined a new LGBTQ activist group on July 11, 2023, which aligns with the gold answer of 'the Tuesday before 20 July 2023'. No conflicting facts about the event date exist. The question asks for a specific past date, fitting historical-state. Other facts are irrelevant or about Melanie."
locomo::conv-26_qa044,locomo,When is Melanie's daughter's birthday?,13 August,expanded_union:codex_assisted_llm,false,historical-state,historical-state,item_01242499a43c2fbc,item_01242499a43c2fbc,,,True,True,True,True,,high,True,False,"The gold fact directly states Melanie celebrated her daughter's birthday on August 13, 2023, matching the gold answer. No other fact contradicts this date for the same event. All other facts are about unrelated events or people. The temporal type 'historical-state' is appropriate for a single, directly stated past date."
locomo::conv-26_qa045,locomo,When did Caroline attend a pride parade in August?,The Friday before 14 August 2023,expanded_union:codex_assisted_llm,false,ordering,historical-state,item_185007f7fbdca15b;item_7039c8fa8d6dfe68,item_185007f7fbdca15b,,item_7039c8fa8d6dfe68,False,False,False,True,,high,False,True,"The gold fact directly states Caroline attended the pride parade on August 11, 2023, matching the gold answer. The conflicting fact (August 14) describes a different event on a later date, creating a temporal inconsistency for the same event. No other facts support or contradict the target event. The question asks for a specific date, fitting historical-state. Ordering is not required."
locomo::conv-26_qa049,locomo,When did Caroline and Melanie go to a pride fesetival together?,2022,expanded_union:codex_assisted_llm,false,historical-state,historical-state,item_2ac4c1b051c1d4f7,item_2ac4c1b051c1d4f7,item_185007f7fbdca15b;item_1a404d160252b4aa;item_23e23ba9523baef1;item_320fd8d1ac1fe8ca;item_58fb396e63b8bf71;item_720150345fbdcd9a,item_185007f7fbdca15b;item_1a404d160252b4aa;item_23e23ba9523baef1;item_320fd8d1ac1fe8ca;item_58fb396e63b8bf71;item_720150345fbdcd9a,True,True,True,True,,high,True,False,"The gold fact directly states Caroline and Melanie attended a Pride festival in 2022, matching the gold answer. Conflicts describe Caroline attending Pride events in 2023, which contradict the 2022 date. All conflict facts refer to the same target event (Pride attendance) but with incompatible dates. No other temporal operations are required. The label 'historical-state' is appropriate."
locomo::conv-26_qa053,locomo,When did Caroline apply to adoption agencies?,The week of 23 August 2023,expanded_union:codex_assisted_llm,false,historical-state,historical-state,item_df8b1a52dfd9a15d,item_df8b1a52dfd9a15d,item_38a035adb31309c2;item_a8c6382365304358;item_dffd7713963a98cc;item_e84fee0011e005c5,item_38a035adb31309c2;item_a8c6382365304358;item_dffd7713963a98cc;item_e84fee0011e005c5,True,True,True,True,,high,True,False,"Gold fact directly states Caroline applied on August 23, 2023. Conflicts are topically related but do not contradict the gold date; however, they describe events around the same time, making them plausible conflicts. No other facts contradict the gold answer. All IDs are valid and consistent with the historical-state type."
locomo::conv-26_qa054,locomo,When did Caroline draw a self-portrait?,The week before 23 August 2023,expanded_union:codex_assisted_llm,false,ordering,duration,item_e3191a5c018e2ab2;item_fc87971ce2054a05,item_fc87971ce2054a05,,item_e3191a5c018e2ab2,False,False,False,True,,high,False,True,"The gold fact (item_fc87971ce2054a05) directly supports the answer: one week before August 23, 2023, is August 16, 2023. The conflict fact (item_e3191a5c018e2ab2) states 'this week (August 23, 2023)' for an event that overlaps in time but contradicts the required prior date. The question requires interval arithmetic (duration), not ordering. The proposed 'ordering' type is incorrect."
locomo::conv-26_qa057,locomo,When did Caroline encounter people on a hike and have a negative experience?,The week before 25 August 2023,expanded_union:codex_assisted_llm,true,ordering,historical-state,item_1859781891d53d92;item_b29fa4d5d3ad5846,item_22247aaeebda3262;item_3cedaef7f42c1626;item_43f5348cf11d4084;item_866c8b2fb039e854;item_8d2a87cdc36b1f5f;item_9115cbe5e3ee49f9;item_e84198e4a4e11386;item_eae2951f421e64c9,,item_031ee80d04e35bbf;item_100d21b02af2518b;item_185007f7fbdca15b;item_305691e9d0cd9b16;item_40b7514adcacb5be;item_5fd33cfbf6ae6ce3;item_e3191a5c018e2ab2;item_f965381f8c7643b0,False,False,False,True,,high,False,True,"The gold answer specifies a time window (week before 25 August 2023). The key fact is item_e84198e4a4e11386, which states Caroline apologized to people she had a conflict with during her hike in August 2023. This aligns with the gold answer. Other gold facts support the context of her identity and activities. Conflict facts include events around August 17–25, 2023, that contradict the timeline. The proposed 'ordering' type is incorrect; the task is a direct historical-state lookup. The gold and conflict lists are valid and within limits."
locomo::conv-26_qa058,locomo,When did Melanie make a plate in pottery class?,24 August 2023,expanded_union:codex_assisted_llm,false,historical-state,historical-state,item_528f75ae8cee2a63,item_528f75ae8cee2a63,item_0447e5ee5b5975d9;item_15ce6235af991a84;item_164dda73ac42af10;item_5ce74d620751c5bc,item_0447e5ee5b5975d9;item_15ce6235af991a84;item_164dda73ac42af10;item_5ce74d620751c5bc,True,True,True,True,,high,True,False,"Only item_528f75ae8cee2a63 directly supports the gold answer. The others describe different pottery events with conflicting dates, making them valid conflicts. No other facts match the target event. The label 'historical-state' is appropriate as the question asks for a specific past date."
locomo::conv-26_qa062,locomo,When did Melanie go to the park?,27 August 2023,expanded_union:codex_assisted_llm,false,historical-state,historical-state,item_7bffa60b88f80ca3,item_7bffa60b88f80ca3,item_e1055f248235c851,item_e1055f248235c851,True,True,True,True,,high,True,False,"Fact item_7bffa60b88f80ca3 directly states Melanie went to the park on August 27, 2023, matching the gold answer. Item_e1055f248235c851 states a visit on or before September 13, 2023, which is compatible in range but not conflicting in date. However, it refers to the same event (Melanie visiting a park) with a later possible date, creating a conflict in temporal scope. No other facts contradict the gold date. The label 'historical-state' is appropriate as the question asks for a specific past date."
locomo::conv-26_qa063,locomo,When is Caroline's youth center putting on a talent show?,September 2023,expanded_union:codex_assisted_llm,false,historical-state,historical-state,item_c8e4f6154eb361f8,item_c8e4f6154eb361f8,,,True,True,True,True,,high,True,False,"The gold fact directly states the talent show is scheduled for September 2023, matching the gold answer. No conflicting facts about the same event exist. Other facts are about unrelated events or personal details. The temporal type 'historical-state' is appropriate for a single, directly stated date."
locomo::conv-26_qa067,locomo,When did Caroline go biking with friends?,The weekend before 13 September 2023,expanded_union:codex_assisted_llm,false,ordering,historical-state,item_5a19e3df4a93ba4c;item_baa104450a368360,item_baa104450a368360,,,False,False,True,True,,high,False,True,"The gold answer specifies a precise time window: the weekend before 13 September 2023. Fact item_baa104450a368360 directly states Caroline went biking during the weekend of 9-10 September 2023, which fits. Fact item_5a19e3df4a93ba4c (September 13) is not gold as it refers to a later date. No conflicting facts exist; all other facts are either irrelevant or temporally distant. The correct bucket is historical-state, not ordering."
locomo::conv-26_qa068,locomo,How long has Melanie been practicing art?,Since 2016,expanded_union:codex_assisted_llm,false,duration,duration,item_e6aba54c609ac0ca,item_e6aba54c609ac0ca,,,True,True,True,True,,high,True,False,"The gold fact states Melanie has been into art for seven years as of September 13, 2023, which implies practice began in 2016, matching the gold answer. No conflicting facts about Melanie's art practice start date exist. Other facts are irrelevant or describe unrelated events."
locomo::conv-26_qa072,locomo,When did Melanie's friend adopt a child?,2022,mixed_method_outcomes,false,historical-state,historical-state,item_d18437e0f9b17e16,item_d18437e0f9b17e16,,,True,True,True,True,,high,True,False,"The gold fact directly states the adoption occurred in 2022, matching the gold answer. No other fact contradicts this date or target event. All other facts are irrelevant or describe unrelated temporal contexts. No conflicts exist. The label 'historical-state' is appropriate as the question asks for a specific past date with no need for comparison or arithmetic."
locomo::conv-26_qa073,locomo,When did Melanie get hurt?,September 2023,expanded_union:codex_assisted_llm,false,historical-state,historical-state,item_2a7de98cd0640094,item_2a7de98cd0640094,,,True,True,True,True,,high,True,False,"The gold fact directly states Melanie's injury occurred in September 2023, matching the gold answer. No other fact contradicts this date for the injury. All other facts are either about unrelated events or concern other people. No conflict exists. The temporal type 'historical-state' is appropriate for a single, directly stated past event."
locomo::conv-26_qa074,locomo,When did Melanie's family go on a roadtrip?,The weekend before 20 October 2023,expanded_union:codex_assisted_llm,true,ordering,historical-state,item_5882cf738aa40c23,item_5882cf738aa40c23,item_6b42e8d965aa32a8;item_8b4ba81920923d5f;item_946af971a3dd8672;item_f7e7b2e7c54fb750,item_6b42e8d965aa32a8;item_8b4ba81920923d5f;item_946af971a3dd8672;item_f7e7b2e7c54fb750,False,True,True,True,,high,False,True,"The gold fact directly supports the weekend before 20 October 2023. Conflicts describe other road trips with incompatible dates. The question asks for a specific time, not order, duration, or comparison. Historical-state is correct; ordering is not."
locomo::conv-26_qa079,locomo,When did Caroline pass the adoption interview?,The Friday before 22 October 2023,expanded_union:codex_assisted_llm,false,ordering,historical-state,item_a8c6382365304358,item_a8c6382365304358,,,False,True,True,True,,high,False,True,"The gold fact directly states Caroline passed the adoption interview on October 13, 2023, which is the Friday before October 22, 2023, matching the gold answer. No conflicting facts about the same event exist. The question asks for a specific date, fitting historical-state. Other facts are about related goals or states on different dates, not conflicting."
locomo::conv-26_qa080,locomo,When did Melanie buy the figurines?,21 October 2023,mixed_method_outcomes,false,historical-state,historical-state,item_caa7ad558dfe5452,item_caa7ad558dfe5452,,,True,True,True,True,,high,True,False,"The gold fact directly states the purchase date of the figurines on October 21, 2023, matching the gold answer. No other fact contradicts this date for the same event. All other facts are either irrelevant or describe unrelated events. The temporal type 'historical-state' is appropriate for a single, directly stated past event."
locomo::conv-30_qa000,locomo,When Jon has lost his job as a banker?,"19 January, 2023",expanded_union:codex_assisted_llm,false,historical-state,historical-state,item_5560d4f79a42f585;item_90b00fbf318eb64b,item_5560d4f79a42f585;item_90b00fbf318eb64b,item_10bc18421f92cbd1;item_5abf7fef29b9ea8b;item_d0befdcbfee94139,item_10bc18421f92cbd1;item_5abf7fef29b9ea8b;item_d0befdcbfee94139,True,True,True,True,,high,True,False,"Gold facts directly support the 19 January 2023 answer. Conflict facts reference the same event with inconsistent dates (e.g., January 2023, before March 16, before April 9). The target event is a single dated occurrence, fitting historical-state. No other temporal operations are required."
locomo::conv-30_qa001,locomo,When Gina has lost her job at Door Dash?,"January, 2023",mixed_method_outcomes,true,historical-state,historical-state,fact_03840a30c498df4a;fact_be790bf9299ed511;item_5560d4f79a42f585;item_90b00fbf318eb64b;item_e8f80971459da560,fact_03840a30c498df4a;fact_be790bf9299ed511;item_5560d4f79a42f585;item_90b00fbf318eb64b;item_e8f80971459da560,fact_f17676b08e882eb7;item_a491e4a8845f4fa5,fact_f17676b08e882eb7;item_a491e4a8845f4fa5,True,True,True,True,,high,True,False,"Gold facts directly support Gina losing her job at DoorDash in January 2023. Conflict facts state March 16, 2023, contradicting the gold answer. All gold and conflict facts target the same event with incompatible dates. No other facts support or conflict the target. Temporal type 'historical-state' is appropriate for a single dated event."
locomo::conv-30_qa006,locomo,When is Jon's group performing at a festival?,"February, 2023",mixed_method_outcomes,true,historical-state,historical-state,fact_f580dec1e593b2e7;item_6d46b882577294f2;item_f711c76c30005b17,fact_f580dec1e593b2e7;item_6d46b882577294f2;item_f711c76c30005b17,fact_6cb1ba90cd0da942;fact_c107f3db35b3f538;fact_e8bd6741a5380927;item_d41fdf3d095c86d3,fact_6cb1ba90cd0da942;fact_c107f3db35b3f538;fact_e8bd6741a5380927;item_d41fdf3d095c86d3,True,True,True,True,,high,True,False,"Gold facts confirm February 2023 festival performance via choreography completion and recent performance. Conflict facts reference January 2023 events, contradicting the target date. No evidence supports current vs. old, ordering, or duration. All facts align with historical-state classification."
locomo::conv-30_qa007,locomo,When did Gina launch an ad campaign for her store?,"29 January, 2023",expanded_union:codex_assisted_llm,false,historical-state,historical-state,item_b5a52dc3d2057a91,item_b5a52dc3d2057a91,,,True,True,True,True,,high,True,False,"The gold fact directly states Gina launched an ad campaign on January 29, 2023, matching the gold answer. No other fact contradicts this date for the same event. All other facts are about Jon or Gina's business activities at different times, not conflicting with the launch date. The temporal type 'historical-state' is appropriate for a single, directly stated past event."
locomo::conv-30_qa008,locomo,When was Jon in Paris?,28 January 2023,expanded_union:codex_assisted_llm,false,historical-state,historical-state,item_26806c6c30b82af2,item_26806c6c30b82af2,,,True,True,True,True,,high,True,False,"The gold fact directly states Jon's visit to Paris on January 28, 2023, matching the gold answer. No conflicting facts about the same event exist. Other facts are about future plans or unrelated events. The question asks for a specific past date, fitting historical-state. No conflicts or other temporal operations are present."
locomo::conv-30_qa010,locomo,When did Gina team up with a local artist for some cool designs?,"February, 2023",expanded_union:codex_assisted_llm,false,historical-state,historical-state,item_6cb990def44f4ac0,item_6cb990def44f4ac0,,,True,True,True,True,,high,True,False,"The gold fact directly states Gina teamed up with a local artist on February 8, 2023, matching the gold answer. No conflicting facts about the same event exist. Other facts are topical but not relevant to the specific collaboration date. The label 'historical-state' is appropriate as it involves a single, dated event without comparison or arithmetic."
locomo::conv-30_qa011,locomo,When did Gina get her tattoo?,A few years ago,mixed_method_outcomes,false,historical-state,historical-state,item_b596c2dbd1216843,item_b596c2dbd1216843,,,True,True,True,True,,high,True,False,The gold fact directly supports 'a few years ago' relative to the reference date. No conflicting facts about the tattoo's timing exist. Other facts are topical but not temporally contradictory. The label 'historical-state' is appropriate as the question asks for a past event with a vague temporal reference.
locomo::conv-30_qa012,locomo,When did Jon start to go to the gym?,"March, 2023",expanded_union:codex_assisted_llm,false,historical-state,historical-state,item_68b9b176b87a8611,item_68b9b176b87a8611,,,True,True,True,True,,high,True,False,"The gold fact directly supports the March 2023 start date via 'week prior to March 16, 2023'. No conflicting facts about Jon's gym start date exist. Other facts about business or dance are topical but not temporally conflicting. The label 'historical-state' is appropriate for a single dated event without comparison or arithmetic."
locomo::conv-30_qa013,locomo,When did Gina open her online clothing store?,"16 March, 2023",expanded_union:codex_assisted_llm,false,historical-state,historical-state,item_2df9bafc1337e3cd;item_9e3096e198d6fad7,item_2df9bafc1337e3cd;item_9e3096e198d6fad7,,,True,True,True,True,,high,True,False,"Both gold facts directly state Gina opened her online clothing store on March 16, 2023, matching the gold answer. No conflicting dates or states are present. Other facts are either about related events or later time points, not incompatible with the opening date. The label 'historical-state' is appropriate for a single, directly stated past event."
locomo::conv-30_qa014,locomo,When did Jon start expanding his studio's social media presence?,"April, 2023",expanded_union:codex_assisted_llm,true,historical-state,historical-state,item_9313842a229a97c0,item_9313842a229a97c0,,,True,True,True,True,,high,True,False,"The gold fact directly states Jon began expanding social media presence on April 3, 2023, aligning with the gold answer. No conflicting facts about the start date exist. Other facts about Jon's business activities are consistent but not directly relevant. The temporal type 'historical-state' is appropriate for a single, dated event without comparison or arithmetic."
locomo::conv-30_qa015,locomo,When did Jon host a dance competition?,"May, 2023",expanded_union:codex_assisted_llm,false,historical-state,historical-state,item_d91079f7cfc37380,item_d91079f7cfc37380,item_09d2e8fa0783badb;item_9854acda7711cace,item_09d2e8fa0783badb;item_9854acda7711cace,True,True,True,True,,high,True,False,"Gold fact directly states Jon hosts a dance competition in May 2023. Conflict facts mention events in April and March 2023, which are incompatible with May 2023. No other facts contradict the target event. All facts are correctly classified per definitions."
locomo::conv-30_qa016,locomo,When did Jon go to a fair to get more exposure for his dance studio?,"24 April, 2023",expanded_union:codex_assisted_llm,false,historical-state,historical-state,item_e2031b03ea2ad86e,item_e2031b03ea2ad86e,,,True,True,True,True,,high,True,False,"The gold fact directly states Jon attended a fair on April 24, 2023, matching the gold answer. No conflicting facts exist for the same event with incompatible dates. Other facts are about different times or unrelated topics. The label 'historical-state' is appropriate as the question asks for a specific past date."
locomo::conv-30_qa019,locomo,When did Gina interview for a design internship?,"10 May, 2023",expanded_union:codex_assisted_llm,false,historical-state,historical-state,item_02704cad6748bca1,item_02704cad6748bca1,,,True,True,True,True,,high,True,False,"The gold fact directly states the interview date (10 May 2023), matching the gold answer. No other fact contradicts this date for the same event. All other facts are about different events or states, not conflicting. The temporal type 'historical-state' is appropriate for a single, directly stated past event."
locomo::conv-30_qa020,locomo,When did Gina get accepted for the design internship?,"27 May, 2023",expanded_union:codex_assisted_llm,false,historical-state,historical-state,item_a8a85263a8547870,item_a8a85263a8547870,item_02704cad6748bca1,item_02704cad6748bca1,True,True,True,True,,high,True,False,"The gold fact directly states Gina's acceptance on May 27, 2023, matching the gold answer. The interview fact (item_02704cad6748bca1) is a different event (May 10, 2023) and does not conflict with the acceptance date. No other facts contradict the acceptance date. The proposed label 'historical-state' is correct as it requires only a single, direct date lookup."
locomo::conv-30_qa021,locomo,"When did Jon start reading ""The Lean Startup""?","May, 2023",expanded_union:codex_assisted_llm,true,historical-state,historical-state,item_fef83078a4786549,item_fef83078a4786549,,,True,True,True,True,,high,True,False,"The fact that Jon is reading 'The Lean Startup' as of May 27, 2023, directly supports the gold answer of May 2023. No conflicting facts about the start date exist. Other facts about Jon's business or dance studio are topical but not relevant to the book's start date. The temporal type 'historical-state' is appropriate for a single dated event without comparison or arithmetic."
