key,model,qid,question_type,fact_id,fact_text,audit_stratum,extracted_entities,active_entity_keys,has_active_entity,independent_expected_entities,independent_precision_verdict,independent_recall_verdict,confidence,independent_notes
Qwen3-30B::gpt4_731e37d7::fact_fb3caa1089ee943d,Qwen3-30B,gpt4_731e37d7,multi-session,fact_fb3caa1089ee943d,The user experienced challenges catering to multiple dietary restrictions during a family trip to Hawaii in December 2022.,multi_session_active,Hawaii | family trip | dietary restrictions,hawaii,True,Hawaii | family trip | dietary restrictions,PASS,PARTIAL,high,"The active entity 'hawaii' is a valid and useful expected entity. However, 'family trip' and 'dietary restrictions' are salient expected entities that are not active, leading to partial recall. No spurious or unsupported entities are active, so precision is PASS. The fact explicitly references all three entities as meaningful components of the experience."
Qwen3-30B::60472f9c::fact_6e737e831e87b5a0,Qwen3-30B,60472f9c,multi-session,fact_6e737e831e87b5a0,"The assistant suggested specifying the application area by including keywords like 'tumor detection', 'disease diagnosis', 'image classification', 'segmentation', 'registration', and 'disease grading' in search queries.",multi_session_active,tumor detection | disease diagnosis | image classification | segmentation | registration | disease grading,disease_diagnosis | image_classification,True,disease diagnosis | image classification | tumor detection,PASS,PARTIAL,high,"The active_entity_keys 'disease_diagnosis' and 'image_classification' are both supported by the fact and are useful long-term memory scopes. 'tumor_detection' is a salient expected entity explicitly mentioned in the fact but is not active, leading to partial recall. The other entities ('disease_grading', 'registration', 'segmentation') are relevant but not active; however, their absence does not affect precision since the active keys are valid. No unsupported or overly generic keys are present."
Qwen3-30B::60bf93ed_abs::fact_9a7cd216c54857c3,Qwen3-30B,60bf93ed_abs,multi-session,fact_9a7cd216c54857c3,"The assistant listed the purchase of new bike lights as a $20 expense on January 25, 2023, under the transportation category.",multi_session_active,"bike lights | $20 | January 25, 2023",january_25_2023,True,"bike lights | January 25, 2023 | transportation",PASS,PARTIAL,high,"The active entity 'january_25_2023' is a valid and useful entity as it names a specific event (the date of the expense). However, 'bike lights' and 'transportation'—both salient expected entities—are not active, so recall is only partial. 'January 25, 2023' is a specific date naming an event (the purchase), so it qualifies as an expected entity. 'Transportation' is a category but not a named event, product, or organization; however, it is a reusable category that could serve as a useful long-term memory scope in this context. 'Bike lights' is a named product and clearly a salient entity. The active key 'january_25_2023' is supported and useful, so precision is PASS. Recall is PARTIAL because two expected entities are missing from active keys."
Qwen3-30B::a11281a2::fact_1512eea4dc2e0036,Qwen3-30B,a11281a2,multi-session,fact_1512eea4dc2e0036,The assistant suggests requesting a table that fits a group of 4 to 5 people and specifying preferences such as a quiet corner or a spot with natural light.,multi_session_active,table | quiet corner | natural light,natural_light,True,table | quiet corner | natural light,PASS,PARTIAL,high,"The active entity 'natural_light' is a valid and useful expected entity. 'quiet_corner' and 'table' are also salient expected entities but are not active, leading to partial recall. No spurious or unsupported entities are present in active_entity_keys, so precision is PASS. The fact supports all three entities as reusable, meaningful scopes for long-term memory."
Qwen3-30B::d905b33f::fact_6658116121aaa14a,Qwen3-30B,d905b33f,multi-session,fact_6658116121aaa14a,"The user had a heated debate on Facebook during the previous week, which occurred approximately between May 23, 2023, and May 30, 2023.",multi_session_active,Facebook | heated debate,facebook,True,Facebook | heated debate,PASS,PARTIAL,high,"The entity 'Facebook' is a valid, reusable organization and is correctly active. 'heated debate' is a reusable event-type concept and is semantically relevant, though it is marked as 'lazy' rather than active. While 'heated debate' is a salient expected entity, it is not active, leading to partial recall. No other salient entities are present in the fact. Precision is PASS because the active key 'facebook' is supported and useful."
Qwen3-30B::1c549ce4::fact_809cfc10a9258401,Qwen3-30B,1c549ce4,multi-session,fact_809cfc10a9258401,"The user expressed interest in watching documentaries on Netflix that focus on environmental issues, climate change, and sustainability on May 24, 2023.",multi_session_active,Netflix | documentaries | climate change | sustainability,netflix,True,Netflix | climate change | sustainability,PASS,PARTIAL,high,"The active entity 'netflix' is supported and useful. 'climate change' and 'sustainability' are salient expected entities not covered by active keys, so recall is partial. 'documentaries' is not a reusable entity scope on its own but a genre; thus, it is not included as an expected entity. The date 'May 24, 2023' is not a named event, so it does not qualify as an expected entity."
Qwen3-30B::gpt4_d84a3211::fact_a1971cf8eea9edee,Qwen3-30B,gpt4_d84a3211,multi-session,fact_a1971cf8eea9edee,The user believes the cooking class helped their children develop an appreciation for Hawaiian culture and cuisine.,multi_session_active,cooking class | children | Hawaiian culture | Hawaiian cuisine,cooking_class,True,cooking class | Hawaiian culture | Hawaiian cuisine,PASS,PARTIAL,high,"The active entity 'cooking_class' is supported and useful. 'Hawaiian culture' and 'Hawaiian cuisine' are salient expected entities explicitly mentioned in the fact and are relevant long-term memory scopes. However, only 'cooking_class' is active, so recall is partial. 'children' is an ordinary group rather than a reusable entity scope and is not considered an expected entity."
Qwen3-30B::157a136e::fact_2ff2497e87b6685c,Qwen3-30B,157a136e,multi-session,fact_2ff2497e87b6685c,"The assistant suggested redeeming the rewards points for a general gift card such as Amazon, Visa, or Mastercard if no specific options exist for customized mugs or tea infusers.",multi_session_active,general gift card | Amazon | Visa | Mastercard | $25 in rewards points,amazon | visa,True,Amazon | Visa | Mastercard,PASS,PARTIAL,high,"The expected entities 'Amazon', 'Visa', and 'Mastercard' are all explicitly mentioned as valid reward redemption options. The active_entity_keys 'amazon' and 'visa' are supported and useful. 'Mastercard' is a salient expected entity but not active, so recall is partial. 'general_gift_card' and '25_in_rewards_points' are not expected entities as they are generic or numeric attributes, not reusable named entities. The fact supports the three named payment/merchant entities as useful long-term memory scopes."
Qwen3-30B::gpt4_372c3eed::fact_7e70aa340c0e4511,Qwen3-30B,gpt4_372c3eed,multi-session,fact_7e70aa340c0e4511,"The assistant recommends organizing board games by genre, including strategy, party, cooperative, and competitive games.",multi_session_active,board games | genre,board_games,True,board games | strategy games | party games,PASS,PARTIAL,high,"The active entity 'board_games' is supported and useful. 'strategy games' and 'party games' are salient expected entities explicitly mentioned in the fact but are not active. 'cooperative games' and 'competitive games' are also salient but not active. 'genre' is not a standalone expected entity as it is a category, not a reusable entity. Thus, recall is partial due to missing salient entities. Precision is PASS because the active key is valid and useful."
Qwen3-30B::2311e44b::fact_91d5cfe26949fd9d,Qwen3-30B,2311e44b,multi-session,fact_91d5cfe26949fd9d,"The assistant recommends considering the scale of the floor lamp in relation to the room and furniture on May 28, 2023.",multi_session_active,floor lamp | room | furniture,floor_lamp,True,floor lamp | room | furniture,PASS,PARTIAL,high,"The active entity 'floor_lamp' is a valid and useful expected entity. 'room' and 'furniture' are also salient expected entities supported by the fact, but they are not active. Since only 'floor_lamp' is active, recall is partial. No spurious or unsupported entities are present, so precision is PASS."
Qwen3-30B::720133ac::fact_4d7e5c84cbfb646c,Qwen3-30B,720133ac,multi-session,fact_4d7e5c84cbfb646c,"The user bought a 20-pound bag of cat food from Petco for $35 on May 30, 2023.",multi_session_active,Petco | cat food | 20-pound bag,petco,True,Petco | cat food | 20-pound bag,PASS,PARTIAL,high,"The active entity 'petco' is a valid and useful expected entity. 'cat food' and '20-pound bag' are also salient expected entities but are not active, so recall is partial. No spurious or unsupported entities are active, so precision is PASS. The fact supports all three entities as reusable semantic scopes."
Qwen3-30B::d23cf73b::fact_d82eb9476c4d1cec,Qwen3-30B,d23cf73b,multi-session,fact_d82eb9476c4d1cec,"The assistant provided a mobile app step-by-step guide to change the name on Facebook, including opening the app, accessing the profile, editing the Name field, and saving changes.",multi_session_active,Facebook | mobile app,facebook,True,Facebook | mobile app | step-by-step guide,PASS,PARTIAL,high,"The active entity 'facebook' is supported and useful. 'mobile_app' is not active, though it is a relevant expected entity. 'step-by-step guide' is a salient expected entity not covered by active keys, leading to partial recall. No unsupported or overly generic keys are present, so precision is PASS. The fact involves a procedural guide, making 'step-by-step guide' a valid expected entity scope."
Qwen3-30B::b5ef892d::fact_619442ba4f4c59c7,Qwen3-30B,b5ef892d,multi-session,fact_619442ba4f4c59c7,"Coach.me is a personalized coaching app that helps users build healthy habits, including replacing social media with productive activities, available on iOS and Android.",multi_session_active,Coach.me | iOS | Android,android | ios,True,Coach.me | iOS | Android,PASS,PARTIAL,high,"The active_entity_keys 'android' and 'ios' are both supported by the fact and are useful long-term memory scopes. However, 'Coach.me'—a named product and central to the fact—is not active, despite being a salient expected entity. This results in partial recall. Precision is PASS because the active keys are valid and useful, with no spurious or overly generic entries."
Qwen3-30B::85fa3a3f::fact_10a954eee3b18ddf,Qwen3-30B,85fa3a3f,multi-session,fact_10a954eee3b18ddf,"The user bought a stainless steel food bowl for Max from Amazon for $15 on May 26, 2023.",multi_session_active,Max | stainless steel food bowl | Amazon,amazon | max,True,Max | Amazon | stainless steel food bowl,PASS,PARTIAL,high,"The active_entity_keys 'amazon' and 'max' are both supported and useful. However, 'stainless steel food bowl' is a salient expected entity (a named product) that is not active, though it is marked as 'lazy'. This results in partial recall. The precision is not affected as the active keys are valid and relevant."
Qwen3-30B::bb7c3b45::fact_4e25271420bd0571,Qwen3-30B,bb7c3b45,multi-session,fact_4e25271420bd0571,"The assistant provided 10 gift ideas for the user's cousin Alex's college graduation, including personalized items, tech gadgets, experience gifts, cash or gift cards, inspirational books, professional development resources, relaxation gifts, photo albums, subscription services, and a heartfelt letter.",multi_session_active,gift ideas | college graduation | Alex,alex,True,Alex | college graduation | gift ideas,PASS,PARTIAL,high,"The active entity 'alex' is a valid and useful expected entity. 'college_graduation' and 'gift_ideas' are salient expected entities but are not active (only lazy). No spurious or unsupported entities are present in active_entity_keys, so precision is PASS. Recall is PARTIAL because not all salient expected entities are covered by active keys."
Qwen3-30B::21d02d0d::fact_45efcc62d4217988,Qwen3-30B,21d02d0d,multi-session,fact_45efcc62d4217988,The assistant advised ending Facebook posts with questions to spark conversations and increase comments from friends and acquaintances.,multi_session_active,Facebook | questions | comments,facebook,True,Facebook | questions | comments,PASS,PARTIAL,high,"The active entity 'facebook' is a valid and useful expected entity. 'questions' and 'comments' are also salient expected entities supported by the fact, but only 'facebook' is active. While 'questions' and 'comments' are relevant and reusable concepts, they are not currently active. Precision is PASS because the active key is supported and useful. Recall is PARTIAL because not all salient expected entities are covered by active keys."
Qwen3-30B::3fe836c9::fact_5adf7ccd642c7bcc,Qwen3-30B,3fe836c9,multi-session,fact_5adf7ccd642c7bcc,"The user finished reading 'The Power' by Naomi Alderman on May 26, 2023.",multi_session_active,The Power | Naomi Alderman,naomi_alderman | the_power,True,"Naomi Alderman | The Power | May 26, 2023",PASS,PASS,high,"Both 'Naomi Alderman' and 'The Power' are specific, reusable entities explicitly supported by the fact. 'May 26, 2023' is a date that names a specific event (completion of reading), making it a salient expected entity. All active keys are supported and useful, and all salient expected entities are covered. No spurious or overly generic entities are present."
Qwen3-30B::4f54b7c9::fact_489d68bb44ef648d,Qwen3-30B,4f54b7c9,multi-session,fact_489d68bb44ef648d,"The assistant recommended sticking to traditional chili ingredients like ground beef, plant-based alternatives, beans, tomatoes, and spices for a more classic flavor profile.",multi_session_active,ground beef | plant-based alternatives | beans | tomatoes | spices | chili,ground_beef,True,ground beef | chili | spices,PASS,PARTIAL,high,"The active entity 'ground_beef' is supported and useful. 'chili' and 'spices' are salient expected entities not covered by active keys, hence recall is partial. 'plant-based alternatives' and 'tomatoes' are not expected entities as they are ingredients or general categories, not reusable named entities. 'beans' is a general ingredient and not a named entity. The fact supports 'chili' as a titled work/event (a classic dish), and 'spices' as a reusable category of ingredients. 'ground_beef' is a named product and correctly active."
Qwen3-30B::3fdac837::fact_9a8e906622f78eca,Qwen3-30B,3fdac837,multi-session,fact_9a8e906622f78eca,The user is seeking recommendations for vegetarian restaurants in Tokyo to explore Japanese cuisine more adventurously.,multi_session_active,Tokyo | vegetarian food | Japanese cuisine,tokyo,True,Tokyo | Japanese cuisine | Vegetarian food,PASS,PARTIAL,high,"The active entity key 'tokyo' is supported and useful. However, 'japanese_cuisine' and 'vegetarian_food' are salient expected entities not covered by active keys, leading to partial recall. No spurious or overly generic keys are present, so precision is PASS. The fact centers on exploring Japanese cuisine through vegetarian restaurants in Tokyo, making all three entities relevant and reusable for long-term memory."
Qwen3-30B::efc3f7c2::fact_2fb24aa47fffd17a,Qwen3-30B,efc3f7c2,multi-session,fact_2fb24aa47fffd17a,The Sunday Riley Power Couple contains antioxidants such as ferulic acid and green tea extract to protect the skin from environmental stressors.,multi_session_lazy_only,Sunday Riley Power Couple | ferulic acid | green tea extract,,False,Sunday Riley Power Couple | ferulic acid | green tea extract,NOT_APPLICABLE,FAIL,high,"No active entity keys are present, despite three salient expected entities being explicitly supported by the fact. The absence of any active keys means recall fails, as no expected entity is covered. Precision is NOT_APPLICABLE because there are no active keys to evaluate. The entities are all reusable, specific, and semantically meaningful: 'Sunday Riley Power Couple' is a named skincare product, 'ferulic acid' and 'green tea extract' are named ingredients with established roles in skincare."
Qwen3-30B::a96c20ee_abs::fact_67c80981d55634f3,Qwen3-30B,a96c20ee_abs,multi-session,fact_67c80981d55634f3,The user must obtain API keys from Interactive Brokers to set up the API connection for use with IB_insync and TensorTrade.,multi_session_lazy_only,API keys | Interactive Brokers | IB_insync | TensorTrade,,False,Interactive Brokers | IB_insync | TensorTrade,NOT_APPLICABLE,FAIL,high,"The fact explicitly mentions Interactive Brokers, IB_insync, and TensorTrade as key entities involved in setting up an API connection. These are specific, reusable software tools and organizations. However, the 'active_entity_keys' field is empty, meaning no entities are currently active. Since all three expected entities are salient and none are covered by active keys, recall fails. Precision is NOT_APPLICABLE because there are no active keys to evaluate for correctness."
Qwen3-30B::c18a7dc8::fact_32cc9fbe934aac39,Qwen3-30B,c18a7dc8,multi-session,fact_32cc9fbe934aac39,The assistant recommended Mysterium as a cooperative board game where one player acts as a ghost guiding others to solve a murder mystery using symbolic clues.,multi_session_lazy_only,Mysterium | cooperative | ghost | murder mystery,,False,Mysterium | ghost | murder mystery,NOT_APPLICABLE,FAIL,high,"The active_entity_keys are empty, so precision is not applicable. However, the fact explicitly supports three salient expected entities: 'Mysterium' (named product), 'ghost' (role in the game), and 'murder mystery' (thematic event). None of these are active, so recall fails. The candidate states are all 'lazy', indicating no active routing, which aligns with the empty active_entity_keys."
Qwen3-30B::eeda8a6d_abs::fact_3b1593d15c4521e4,Qwen3-30B,eeda8a6d_abs,multi-session,fact_3b1593d15c4521e4,"The assistant invited the user to keep them posted on the outcome of the flapper replacement and offered continued support on May 22, 2023.",multi_session_lazy_only,user progress | continued support,,False,,NOT_APPLICABLE,NOT_APPLICABLE,high,"The fact does not contain any specific, reusable person, place, organization, named product, titled work, or named event that would constitute a salient expected entity. The terms 'user progress' and 'continued support' are generic and task-specific, not representing reusable long-term memory scopes. No active entity keys are present, and no salient entities are identifiable. Therefore, neither precision nor recall is applicable."
Qwen3-30B::6d550036::fact_24436376ee81364e,Qwen3-30B,6d550036,multi-session,fact_24436376ee81364e,"The assistant suggested educational content about cleaning tips and tricks, such as how to remove stains, organize cluttered spaces, and make natural cleaning products.",multi_session_lazy_only,cleaning tips | stain removal | natural cleaning products,,False,cleaning tips | stain removal | natural cleaning products,NOT_APPLICABLE,FAIL,high,"No active entity keys are present, yet the fact explicitly supports three salient expected entities: 'cleaning tips', 'stain removal', and 'natural cleaning products'. Since none of these are active, recall fails. Precision is not applicable because there are no active keys to evaluate."
Qwen3-30B::a1cc6108::fact_be20c6a55b911208,Qwen3-30B,a1cc6108,multi-session,fact_be20c6a55b911208,"The user paused the conversation on May 27, 2023, at 11:22 AM UTC+00:00 to attend to personal tasks.",multi_session_lazy_only,maintenance closet | vent cover | hallway,,False,,NOT_APPLICABLE,NOT_APPLICABLE,high,"The fact mentions a date and time (May 27, 2023, at 11:22 AM UTC+00:00) and an action (pausing the conversation), but no specific person, place, organization, product, work, or event is explicitly named or semantically salient. The extracted entities (maintenance closet, vent cover, hallway) are ordinary spatial features and not reusable, specific entities. Since no expected entity is supported by the fact, and no active entity keys are present, neither precision nor recall applies. The audit stratum indicates lazy state tracking, which further supports that no entity routing is warranted."
Qwen3-30B::46a3abf7::fact_0f058a37c26c97ce,Qwen3-30B,46a3abf7,multi-session,fact_0f058a37c26c97ce,"The user proposed a 12-week training plan for the Disney Princess Half Marathon, divided into three phases: Weeks 1-4, Weeks 5-8, and Weeks 9-12.",multi_session_lazy_only,Disney Princess Half Marathon | 12-week training plan,,False,Disney Princess Half Marathon | 12-week training plan,NOT_APPLICABLE,FAIL,high,"The active_entity_keys are empty, yet two salient expected entities are present in the fact: 'Disney Princess Half Marathon' and '12-week training plan'. Since no active keys are present, recall fails. Precision is not applicable because there are no active keys to evaluate. The expected entities are clearly supported by the fact and are reusable, specific, and semantically meaningful."
Qwen3-30B::129d1232::fact_57b583197766db66,Qwen3-30B,129d1232,multi-session,fact_57b583197766db66,"Atelier des Chefs is a cooking school in Paris that offers classes, workshops, and cooking demonstrations taught in French, but English-speaking chefs are available to teach.",multi_session_lazy_only,Atelier des Chefs | Paris | French | English-speaking chefs,,False,Atelier des Chefs | Paris | English-speaking chefs,NOT_APPLICABLE,FAIL,high,"The active_entity_keys are empty, so precision is not applicable. However, the salient expected entities—Atelier des Chefs, Paris, and English-speaking chefs—are all explicitly supported by the fact and are reusable, meaningful scopes. Since none of these are active, recall fails. The fact mentions a specific cooking school, a location, and a distinct group of instructors, all of which qualify as expected entities."
Qwen3-30B::6c49646a::fact_8800c0177e6808fa,Qwen3-30B,6c49646a,multi-session,fact_8800c0177e6808fa,"The Grill at Meadowood serves contemporary American cuisine with a focus on seasonal ingredients, prepared by Chef Victoria Blachly.",multi_session_lazy_only,The Grill at Meadowood | Chef Victoria Blachly,,False,The Grill at Meadowood | Chef Victoria Blachly,NOT_APPLICABLE,FAIL,high,"The active_entity_keys are empty, but two salient expected entities are present in the fact: 'The Grill at Meadowood' (a restaurant) and 'Chef Victoria Blachly' (a named person). Since no active keys are present, recall fails. Precision is not applicable because there are no active keys to evaluate."
Qwen3-30B::c18a7dc8::fact_78ee14d6d1c14a77,Qwen3-30B,c18a7dc8,multi-session,fact_78ee14d6d1c14a77,Stephen Hoye is the narrator of the audiobook 'The Emperor of All Maladies: A Biography of Cancer' by Siddhartha Mukherjee.,multi_session_lazy_only,The Emperor of All Maladies: A Biography of Cancer | Siddhartha Mukherjee | Stephen Hoye,,False,Siddhartha Mukherjee | Stephen Hoye | The Emperor of All Maladies: A Biography of Cancer,NOT_APPLICABLE,FAIL,high,"The active_entity_keys are empty, so precision is not applicable. However, all three salient expected entities—Siddhartha Mukherjee (author), Stephen Hoye (narrator), and the audiobook title—are clearly supported by the fact and are reusable, meaningful entities. Since none are active, recall fails."
Qwen3-30B::eeda8a6d_abs::fact_6ebcc9657c40573b,Qwen3-30B,eeda8a6d_abs,multi-session,fact_6ebcc9657c40573b,"The assistant advised using rocks and coral to create different levels and heights around the treasure chest to allow fish to swim up and down and explore various areas in the aquarium on May 28, 2023.",multi_session_lazy_only,rocks | coral | treasure chest | aquarium,,False,aquarium | coral | treasure chest,NOT_APPLICABLE,FAIL,high,"No active entity keys are present, yet the fact explicitly references three salient entities: 'aquarium', 'coral', and 'treasure chest'. These are reusable, specific entities that form meaningful long-term memory scopes. The absence of active keys means recall fails, as no expected entity is covered. Precision is not applicable since there are no active keys to evaluate."
Qwen3-30B::80ec1f4f_abs::fact_b8e7d25cc1901bcb,Qwen3-30B,80ec1f4f_abs,multi-session,fact_b8e7d25cc1901bcb,The user has been reading more regularly and is motivated to start a book journal to document their reading journey.,multi_session_lazy_only,reading | book journal,,False,book journal | reading,NOT_APPLICABLE,FAIL,high,"The active_entity_keys are empty, but the fact explicitly supports two salient expected entities: 'book journal' and 'reading'. Since no active keys are present, recall fails. Precision is NOT_APPLICABLE because there are no active keys to evaluate. The entities are reusable, specific, and directly supported by the fact."
Qwen3-30B::aae3761f::fact_5ea17a0b51d3bb99,Qwen3-30B,aae3761f,multi-session,fact_5ea17a0b51d3bb99,"The assistant recommended packing snacks, water, and entertainment for the road to make the 7-8 hour drive more comfortable.",multi_session_lazy_only,snacks | water | entertainment,,False,,NOT_APPLICABLE,NOT_APPLICABLE,high,"The fact describes general recommendations for a road trip but does not mention any specific, reusable entity such as a person, place, organization, named product, titled work, or named event. The extracted entities (snacks, water, entertainment) are generic categories or ordinary features, not specific, reusable entities. Therefore, no expected entities are present, and no entity routing is semantically required."
