key,benchmark,question,gold_answer,selection_reason,double_label_required,proposed_temporal_type,independent_temporal_type,proposed_gold_fact_ids,independent_gold_fact_ids,proposed_conflict_fact_ids,independent_conflict_fact_ids,type_exact_match,gold_ids_exact_match,conflict_ids_exact_match,proposed_label_valid,independent_gold_conflict_overlap,confidence,model_assisted_fully_upheld,author_signoff_required,independent_notes,author_temporal_type,author_gold_fact_ids,author_conflict_fact_ids,author_notes
locomo::conv-26_qa041,locomo,When did Caroline join a new activist group?,The Tuesday before 20 July 2023,expanded_union:codex_assisted_llm,false,ordering,historical-state,item_1032833a730fe25d,item_1032833a730fe25d,,,False,True,True,True,,high,False,True,"The gold fact directly states Caroline joined a new LGBTQ activist group on July 11, 2023, which aligns with the gold answer of 'the Tuesday before 20 July 2023'. No conflicting facts about the event date exist. The question asks for a specific past date, fitting historical-state. Other facts are irrelevant or about Melanie.",,,,
locomo::conv-26_qa045,locomo,When did Caroline attend a pride parade in August?,The Friday before 14 August 2023,expanded_union:codex_assisted_llm,false,ordering,historical-state,item_185007f7fbdca15b;item_7039c8fa8d6dfe68,item_185007f7fbdca15b,,item_7039c8fa8d6dfe68,False,False,False,True,,high,False,True,"The gold fact directly states Caroline attended the pride parade on August 11, 2023, matching the gold answer. The conflicting fact (August 14) describes a different event on a later date, creating a temporal inconsistency for the same event. No other facts support or contradict the target event. The question asks for a specific date, fitting historical-state. Ordering is not required.",,,,
locomo::conv-26_qa054,locomo,When did Caroline draw a self-portrait?,The week before 23 August 2023,expanded_union:codex_assisted_llm,false,ordering,duration,item_e3191a5c018e2ab2;item_fc87971ce2054a05,item_fc87971ce2054a05,,item_e3191a5c018e2ab2,False,False,False,True,,high,False,True,"The gold fact (item_fc87971ce2054a05) directly supports the answer: one week before August 23, 2023, is August 16, 2023. The conflict fact (item_e3191a5c018e2ab2) states 'this week (August 23, 2023)' for an event that overlaps in time but contradicts the required prior date. The question requires interval arithmetic (duration), not ordering. The proposed 'ordering' type is incorrect.",,,,
locomo::conv-26_qa057,locomo,When did Caroline encounter people on a hike and have a negative experience?,The week before 25 August 2023,expanded_union:codex_assisted_llm,true,ordering,historical-state,item_1859781891d53d92;item_b29fa4d5d3ad5846,item_22247aaeebda3262;item_3cedaef7f42c1626;item_43f5348cf11d4084;item_866c8b2fb039e854;item_8d2a87cdc36b1f5f;item_9115cbe5e3ee49f9;item_e84198e4a4e11386;item_eae2951f421e64c9,,item_031ee80d04e35bbf;item_100d21b02af2518b;item_185007f7fbdca15b;item_305691e9d0cd9b16;item_40b7514adcacb5be;item_5fd33cfbf6ae6ce3;item_e3191a5c018e2ab2;item_f965381f8c7643b0,False,False,False,True,,high,False,True,"The gold answer specifies a time window (week before 25 August 2023). The key fact is item_e84198e4a4e11386, which states Caroline apologized to people she had a conflict with during her hike in August 2023. This aligns with the gold answer. Other gold facts support the context of her identity and activities. Conflict facts include events around August 17–25, 2023, that contradict the timeline. The proposed 'ordering' type is incorrect; the task is a direct historical-state lookup. The gold and conflict lists are valid and within limits.",,,,
locomo::conv-26_qa067,locomo,When did Caroline go biking with friends?,The weekend before 13 September 2023,expanded_union:codex_assisted_llm,false,ordering,historical-state,item_5a19e3df4a93ba4c;item_baa104450a368360,item_baa104450a368360,,,False,False,True,True,,high,False,True,"The gold answer specifies a precise time window: the weekend before 13 September 2023. Fact item_baa104450a368360 directly states Caroline went biking during the weekend of 9-10 September 2023, which fits. Fact item_5a19e3df4a93ba4c (September 13) is not gold as it refers to a later date. No conflicting facts exist; all other facts are either irrelevant or temporally distant. The correct bucket is historical-state, not ordering.",,,,
locomo::conv-26_qa074,locomo,When did Melanie's family go on a roadtrip?,The weekend before 20 October 2023,expanded_union:codex_assisted_llm,true,ordering,historical-state,item_5882cf738aa40c23,item_5882cf738aa40c23,item_6b42e8d965aa32a8;item_8b4ba81920923d5f;item_946af971a3dd8672;item_f7e7b2e7c54fb750,item_6b42e8d965aa32a8;item_8b4ba81920923d5f;item_946af971a3dd8672;item_f7e7b2e7c54fb750,False,True,True,True,,high,False,True,"The gold fact directly supports the weekend before 20 October 2023. Conflicts describe other road trips with incompatible dates. The question asks for a specific time, not order, duration, or comparison. Historical-state is correct; ordering is not.",,,,
locomo::conv-26_qa079,locomo,When did Caroline pass the adoption interview?,The Friday before 22 October 2023,expanded_union:codex_assisted_llm,false,ordering,historical-state,item_a8c6382365304358,item_a8c6382365304358,,,False,True,True,True,,high,False,True,"The gold fact directly states Caroline passed the adoption interview on October 13, 2023, which is the Friday before October 22, 2023, matching the gold answer. No conflicting facts about the same event exist. The question asks for a specific date, fitting historical-state. Other facts are about related goals or states on different dates, not conflicting.",,,,
locomo::conv-30_qa028,locomo,When was Jon in Rome?,June 2023,expanded_union:codex_assisted_llm,false,historical-state,historical-state,item_01b0657b3c9fb3d4,item_01b0657b3c9fb3d4,item_26806c6c30b82af2,item_26806c6c30b82af2,True,True,True,False,,high,False,True,"Only item_01b0657b3c9fb3d4 directly supports Jon being in Rome in June 2023. item_26806c6c30b82af2 (Jan 28, 2023) is irrelevant to the target event. No conflict exists. The proposed conflict is invalid. The correct type is historical-state, but conflict list is incorrect.",,,,
locomo::conv-30_qa036,locomo,When did Jon and Gina decide to collaborate to create dance content?,21 July 2023,expanded_union:codex_assisted_llm,false,historical-state,historical-state,item_4d1087bfed0beb50;item_93d8787bc22ede6d,item_4d1087bfed0beb50;item_a9cfda2bbe680fdc,,,True,False,True,True,,high,False,True,"Only facts directly stating the collaboration decision on 21 July 2023 are gold. 'item_93d8787bc22ede6d' is irrelevant as it only confirms ongoing collaboration without specifying the decision date. No conflicting facts exist. The question asks for a specific date, fitting historical-state. All proposed IDs align with the correct type and content.",,,,
locomo::conv-30_qa037,locomo,When did Gina mention Shia Labeouf?," 23 July, 2023",expanded_union:codex_assisted_llm,true,historical-state,historical-state,,item_01f8172df25ddbf2;item_03c3888efa4a2e1e;item_465f7fada47ba621;item_4c7ab7eb9f0709d6;item_4d1087bfed0beb50;item_507309c9fb7a6fad;item_a9cfda2bbe680fdc;item_b8dbe066befa138c,,item_10e7f8c80eabbe0f;item_8a2a4ba6f0bca61a;item_9a490d977664b392;item_9d0c938f91d570e4;item_f5a46ff24f71c15d,True,False,False,True,,high,False,True,"Gold facts establish Gina's collaboration with Jon on July 21, 2023, including her offer to manage social media. Conflict facts mention Gina's prior activities on July 21 and earlier, but none contradict the July 23, 2023, answer. The question asks for when Gina mentioned Shia Labeouf, but no fact mentions Shia Labeouf. The gold answer is unsupported. The label 'historical-state' is valid as the question seeks a specific date, but no fact supports the gold answer. The gold and conflict lists are valid per definitions.",,,,
locomo::conv-41_qa000,locomo,"Who did Maria have dinner with on May 3, 2023?",her mother,expanded_union:codex_assisted_llm,false,temporal-other,historical-state,item_2e98bd852b54d518,item_2e98bd852b54d518,,,False,True,True,True,,high,False,True,"The question asks for a specific person Maria had dinner with on a given date. Fact 'item_2e98bd852b54d518' directly states she made dinner with her mother on May 3, 2023, matching the gold answer. No other fact contradicts this. All other facts are about different events or times. The temporal operation is a direct lookup, fitting 'historical-state'.",,,,
locomo::conv-41_qa004,locomo,When did John join the online support group?,The week before 1 January 2023,mixed_method_outcomes,false,ordering,historical-state,fact_6317611ef7de1457;fact_db5ae59dae3b7b7b;fact_fef91a941cc49654;item_28bafbba515712b5;item_97a6a1b39b40c1b6,fact_6317611ef7de1457;fact_db5ae59dae3b7b7b;fact_fef91a941cc49654;item_28bafbba515712b5;item_97a6a1b39b40c1b6,fact_7e3d4beb1e0bebc2;fact_d135012e3fe23b10;item_1ff65c7c017d9918;item_3bb485624af07eb9;item_8b8d45251ddac017,fact_7e3d4beb1e0bebc2;fact_d135012e3fe23b10;item_1ff65c7c017d9918;item_3bb485624af07eb9;item_8b8d45251ddac017,False,True,True,True,,high,False,True,"The gold facts directly confirm John joined the group in late December 2022, aligning with the gold answer. Conflicts state joining or inviting on August 3, 2023, contradicting the timeline. The question asks for a specific time, not order, duration, or comparison. Historical-state is correct; ordering is not needed.",,,,
locomo::conv-41_qa013,locomo,When did Maria's grandmother pass away?,The week before 6 March 2023,expanded_union:codex_assisted_llm,false,ordering,historical-state,item_814157df2a4d376b;item_dbf29fe964900682,item_dbf29fe964900682,,,False,False,True,True,,high,False,True,"The gold answer specifies a precise temporal window (week before 6 March 2023). Only item_dbf29fe964900682 directly states the grandmother's passing during that window. item_814157df2a4d376b is irrelevant to the event. No conflicting facts exist. The question asks for a specific past date, fitting historical-state. Proposed ordering type is incorrect.",,,,
locomo::conv-41_qa016,locomo,When did John get his degree?,The week before 2 April 2023,expanded_union:codex_assisted_llm,false,ordering,historical-state,item_67740a1328dc5473,item_67740a1328dc5473,item_1343b969599ceefe,item_1343b969599ceefe,False,True,True,True,,high,False,True,"The gold fact directly states John graduated the week before April 2, 2023, matching the gold answer. The conflict fact states completion on April 2, 2023, which contradicts the week-before date. No other facts provide conflicting or supporting temporal details. The question asks for a specific time, fitting historical-state. Other facts are irrelevant or topical.",,,,
locomo::conv-41_qa027,locomo,When did John have a party with veterans?,The Friday before 20 May 2023,all_methods_wrong,true,ordering,historical-state,fact_0f951d76148f81a1;fact_579c9d0dc6ce8b7c;fact_e58934e6be413714;item_5c851f97b1c56d4e;item_d33341e417820780,fact_0f951d76148f81a1;item_5c851f97b1c56d4e;item_d33341e417820780,,,False,False,True,True,,high,False,True,"The gold answer specifies a precise date: the Friday before 20 May 2023, i.e., 19 May 2023. Fact 'item_d33341e417820780' directly states John met veterans on Friday, May 19, 2023, matching the gold answer. The other gold facts are duplicates or restatements of this event. No conflicting facts exist. The question asks for a specific date, fitting 'historical-state'.",,,,
locomo::conv-41_qa034,locomo,When did Maria join a gym?,The week before 16 June 2023,expanded_union:codex_assisted_llm,true,ordering,historical-state,item_67e126277e6f324a,item_67e126277e6f324a,,,False,True,True,True,,high,False,True,"The gold fact directly states Maria joined a gym on or around June 9, 2023, aligning with the gold answer. No conflicting facts about the joining date exist. The question asks for a specific time, fitting historical-state. Other facts are irrelevant or about different events.",,,,
locomo::conv-41_qa043,locomo,When was John's old area hit with a flood?,The week before 7 July 2023,expanded_union:codex_assisted_llm,false,ordering,historical-state,item_15cb4d7b3fbe0bef;item_3b1aaa348d0fac6a,item_15cb4d7b3fbe0bef;item_c16199d4dfdfbbf8,,,False,False,True,True,,high,False,True,"The gold facts directly establish the flood in John's area during the week of June 30, 2023, aligning with 'the week before 7 July 2023'. No conflicting facts about the same event exist. The proposed 'ordering' type is incorrect; this is a direct historical-state query. The second gold fact reinforces the flood context. No conflicts are present.",,,,
locomo::conv-41_qa046,locomo,When did Maria go hiking with her church friends?,The weekend before 22 July 2023,expanded_union:codex_assisted_llm,false,ordering,historical-state,item_cf29c6651ea44a79;item_d1e50655becacf9e,item_d1e50655becacf9e,,item_80dbaa8b66785d8f,False,False,False,True,,high,False,True,"Gold fact 'item_d1e50655becacf9e' directly states Maria's hike occurred during the weekend of July 15-16, 2023, matching the gold answer. Conflict fact 'item_80dbaa8b66785d8f' describes a picnic on the same weekend, which is a different event but shares the same timeframe. No other facts support or contradict the target event. The question asks for a specific time, not order, duration, or comparison. Thus, historical-state is correct.",,,,
locomo::conv-41_qa048,locomo,When did John have his first firefighter call-out?,The sunday before 3` July 2023,expanded_union:codex_assisted_llm,false,ordering,historical-state,item_bb3f9f6ab52eac1b,item_bb3f9f6ab52eac1b,,,False,True,True,True,,high,False,True,"The gold fact directly states John's first fire brigade call-out date (July 30, 2023), matching the gold answer. No conflicting facts about the same event exist. Other facts are either about different events or irrelevant. The question asks for a specific past date, fitting historical-state. No ordering, duration, or current-vs-old comparison is needed.",,,,
locomo::conv-41_qa055,locomo,When did Maria receive a medal from the homeless shelter?,The week before 9 August 2023,expanded_union:codex_assisted_llm,false,ordering,historical-state,item_19f8d4ca51240a83;item_935090788a914f72,item_935090788a914f72,,,False,False,True,True,,high,False,True,"The gold answer specifies a precise temporal window: 'the week before 9 August 2023'. Fact 'item_935090788a914f72' directly states Maria received a medal during the week of August 2, 2023, which aligns with the gold answer. Fact 'item_19f8d4ca51240a83' is unrelated to the medal event. No conflicting facts about the medal timing exist. The question asks for a specific time, not order, duration, or comparison, so 'historical-state' is correct.",,,,
locomo::conv-41_qa056,locomo,When did John participate in a 5K charity run?,first weekend of August 2023,mixed_method_outcomes,false,ordering,historical-state,fact_925e8fd8db087978;fact_9ee0324f4f818591;item_19f8d4ca51240a83;item_966945477aca5936,fact_925e8fd8db087978;fact_9ee0324f4f818591;item_19f8d4ca51240a83;item_966945477aca5936,fact_8b6821c3a0475304,fact_8b6821c3a0475304,False,True,True,True,,high,False,True,"Gold facts confirm John organized a 5K charity run in his neighborhood on or before August 9, 2023, aligning with the gold answer of the first weekend of August 2023. Fact_8b6821c3a0475304 is irrelevant as it only states John organized the run without a date, not conflicting. No other facts contradict the target event's timing. The question asks for a specific time, fitting historical-state.",,,,
locomo::conv-41_qa058,locomo,When did Maria get Coco?,Two weeks before 11 August 2023,expanded_union:codex_assisted_llm,false,ordering,duration,item_df074c689240f684,item_df074c689240f684,,,False,True,True,True,,high,False,True,"The gold fact directly supports the answer using 'approximately two weeks before August 11, 2023', which aligns with 'two weeks before 11 August 2023'. No conflicting facts about Maria getting Coco exist. The question requires interval arithmetic, fitting duration. Other facts are irrelevant or topical but not conflicting.",,,,
locomo::conv-41_qa061,locomo,When did Maria adopt Shadow?,The week before 13 August 2023,expanded_union:codex_assisted_llm,true,ordering,historical-state,item_43310e94cfd19e4b;item_f06308ffe2a5ffd8,item_43310e94cfd19e4b;item_f06308ffe2a5ffd8,,,False,True,True,True,,high,False,True,"The gold facts directly support the adoption date: item_43310e94cfd19e4b places adoption 'last week (August 6, 2023)' and item_f06308ffe2a5ffd8 confirms Shadow existed by August 13, 2023. No conflicting facts exist. The question asks for a specific time, fitting 'historical-state' as a direct lookup. Ordering is not required.",,,,
locomo::conv-41_qa091,locomo,What did John attend with his colleagues in March 2023?,a tech-for-good convention,expanded_union:codex_assisted_llm,false,temporal-other,historical-state,item_1824e06c8a67e734,item_1824e06c8a67e734,,,False,True,True,True,,high,False,True,"The gold fact directly states John attended a tech-for-good convention in March 2023, matching the gold answer. No conflicting facts assert a different event or date for the same attendance. Other facts are topically related but not contradictory. The question asks for a specific event at a specific time, fitting historical-state.",,,,
locomo::conv-42_qa002,locomo,"When did Joanna first watch ""Eternal Sunshine of the Spotless Mind?",2019,expanded_union:codex_assisted_llm,true,ordering,historical-state,item_a3bf402e40c5bb00,item_a3bf402e40c5bb00,,,False,True,True,True,,high,False,True,"The question asks for a specific past date when Joanna first watched the movie. Fact item_a3bf402e40c5bb00 directly states this occurred around 2019, matching the gold answer. No other fact contradicts this date for the same event. The other facts are either about unrelated events or current states, not conflicting. The temporal type is correctly historical-state, as it involves a single past event with a specific date.",,,,
locomo::conv-42_qa003,locomo,When did Nate win his first video game tournament?,"the week before 21Janury, 2022",expanded_union:codex_assisted_llm,false,ordering,historical-state,item_3309413e089a29f3;item_7da5fee31354687f,item_3309413e089a29f3,item_17bf10080d52ef96;item_38d4e767da3c3bf8;item_56edc3a93ad3bf7f;item_599877c71f8cfea4;item_8d2e59050a5a4463;item_a23eae4e472985b3,item_7da5fee31354687f,False,False,False,True,,high,False,True,"The gold fact directly supports the answer (week of Jan 14, 2022). The conflict fact (Jan 21, 2022) contradicts the target event's timing. Other facts are either irrelevant or describe different events. The question asks for a specific time, not order, duration, or comparison. No need for ordering or current-vs-old.",,,,
locomo::conv-42_qa007,locomo,When did Joanna finish her first screenplay?,"The Friday before 23January, 2022",expanded_union:codex_assisted_llm,false,ordering,historical-state,item_0f68323eab9ea71d;item_b97cdc0c50888917,item_0f68323eab9ea71d,item_0b88e940c7b868c8,item_0b88e940c7b868c8,False,False,True,True,,high,False,True,"The gold fact (item_0f68323eab9ea71d) directly states the completion date of Joanna's first screenplay. The conflict fact (item_0b88e940c7b868c8) claims completion in May 2022, contradicting the gold answer. Other facts are either irrelevant or not conflicting. The question asks for a specific date, fitting historical-state. Ordering is not required as no sequence is implied.",,,,
locomo::conv-42_qa008,locomo,When did Nate get his first two turtles?,2019,all_methods_wrong,false,ordering,historical-state,item_55afb666e2f0ec10;item_5d6907fbc1f172fd,item_55afb666e2f0ec10;item_5d6907fbc1f172fd,fact_0d79fcb0e8aa0452;fact_5b0507fb2874e05f;fact_684393ce8f95cfe1;item_3ff2dcbe43289851;item_e6abbfdf40834530,fact_0d79fcb0e8aa0452;fact_5b0507fb2874e05f;fact_684393ce8f95cfe1;item_3ff2dcbe43289851;item_e6abbfdf40834530,False,True,True,True,,high,False,True,"Gold facts establish Nate owned two turtles by Jan 23, 2022, and had owned them for 3 years. Conflicts state ownership at other dates (Oct 25, Sep 5, Apr 17, Nov 11) but do not contradict the 2019 inference. No ordering, duration, or current-vs-old needed. Temporal type corrected to historical-state.",,,,
locomo::conv-42_qa009,locomo,What major achievement did Joanna accomplish in January 2022?,finished her screenplay and printed it,expanded_union:codex_assisted_llm,false,temporal-other,historical-state,item_0f68323eab9ea71d,item_0f68323eab9ea71d,item_0b88e940c7b868c8;item_cc96d347a880f3de,item_0b88e940c7b868c8;item_cc96d347a880f3de,False,True,True,True,,high,False,True,"The gold fact directly states the achievement in January 2022. The conflict facts mention completion in May and June 2022, contradicting the January date. Other facts are irrelevant or describe unrelated events. The question asks for a specific event at a specific time, fitting historical-state. No other temporal operation is required.",,,,
locomo::conv-42_qa015,locomo,When did Nate get purple hair?,"The week before 15April, 2022.",all_methods_wrong,false,ordering,historical-state,item_6b74a4caeb182fbc;item_dffa45f621638781,item_6b74a4caeb182fbc;item_dffa45f621638781,fact_5b1265865c7f7e8d;fact_6a0d4376c14048fa,fact_5b1265865c7f7e8d;fact_6a0d4376c14048fa,False,True,True,True,,high,False,True,"Gold facts confirm purple hair on April 15, 2022, aligning with 'week before 15April, 2022'. Conflict facts state dyeing 'as of' April 15, implying same day, conflicting with 'week before'. No ordering, duration, or current-vs-old needed. Historical-state is correct.",,,,
locomo::conv-42_qa016,locomo,What physical transformation did Nate undergo in April 2022?,dyed his hair purple,expanded_union:codex_assisted_llm,false,temporal-other,historical-state,item_6b74a4caeb182fbc;item_daba2d41bccd2c3a;item_dffa45f621638781,item_6b74a4caeb182fbc;item_daba2d41bccd2c3a;item_dffa45f621638781,,,False,True,True,True,,high,False,True,"All three gold facts directly confirm Nate dyed his hair purple in April 2022. No conflicting facts exist. The question asks for a specific physical transformation at a given time, fitting historical-state. No ordering, duration, or current-vs-old comparison is required.",,,,
locomo::conv-42_qa017,locomo,"What movie did Joanna watch on 1 May, 2022?",Lord of the Rings,expanded_union:codex_assisted_llm,true,temporal-other,historical-state,item_aa015f695ddd13ee,item_aa015f695ddd13ee,,,False,True,True,True,,high,False,True,"The question asks for a specific movie watched on a fixed date, directly answered by the gold fact. No conflicting date or state exists for the same event. Other facts are topically related but not about the same event. The temporal type is correctly historical-state, not temporal-other.",,,,
locomo::conv-42_qa026,locomo,When did Nate win his third tourney?,"The week before 3June, 2022",mixed_method_outcomes,false,ordering,historical-state,item_131be2fea6caa75c;item_56edc3a93ad3bf7f,item_131be2fea6caa75c;item_56edc3a93ad3bf7f,,,False,True,True,True,,high,False,True,"The gold facts identify Nate's third tournament as occurring in the week preceding June 3, 2022, aligning with the gold answer (week before June 3, 2022). The fact 'Nate met new people...' supports the same event. No conflicting facts state the same event with a different date. The question asks for a specific time, not order, duration, or comparison. Thus, historical-state is correct.",,,,
locomo::conv-42_qa033,locomo,When did someone write Joanna a touching letter?,"The week before 14August, 2022.",mixed_method_outcomes,false,ordering,historical-state,item_2c89082b0195c7e9;item_cdfb2f0df58a3969,item_2c89082b0195c7e9;item_cdfb2f0df58a3969,,,False,True,True,True,,high,False,True,"The gold facts directly support the answer: a letter was received during the week of August 7, 2022, which aligns with 'the week before 14 August 2022'. No conflicting facts about the same event exist. The question asks for a specific time, fitting historical-state. The proposed 'ordering' type is incorrect.",,,,
locomo::conv-42_qa054,locomo,When was Joanna's second movie script shown on the big screens?,"The Sunday before 25October, 2022.",mixed_method_outcomes,false,ordering,historical-state,fact_06c8087343fc659f;item_031ed6195763195f;item_a3bf402e40c5bb00,fact_06c8087343fc659f;item_031ed6195763195f,fact_06137e99e7e81ef9;fact_b462ec2efe8841c1;fact_e77291a801145502;item_6714808a0ab2a63b;item_a53a54b385ef64d7;item_b9ce82b7b273c430,item_6714808a0ab2a63b;item_a53a54b385ef64d7;item_b9ce82b7b273c430,False,False,False,True,,high,False,True,"The gold facts identify the first big-screen premiere of Joanna's script on October 23, 2022, directly supporting the target event. The conflict facts mention later dates (Nov 7–11, 2022) for related actions, creating temporal inconsistency. The question asks for a specific date, not order or duration. The proposed 'ordering' type is incorrect; the correct bucket is 'historical-state' for a single dated event.",,,,
