benchmark,qid,manual_temporal_type,label_provenance,n_annotated_gold_ids,n_resolved_canonical_gold,n_unresolved_gold_ids,n_gold_in_any_saved_tree,mapping_complete,min_trees_cover_all_gold,single_tree_cover,min_specific_trees_cover_all_gold,specific_fragmented,min_scopes_cover_all_gold,cross_scope_required,max_single_tree_gold_fraction,session_gold_coverage,entity_gold_coverage,scene_gold_coverage,memtree_embed_correct,memtree_planner_correct
locomo,conv-41_qa001,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
locomo,conv-41_qa004,historical-state,hybrid_author_adjudicated,2,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-41_qa005,historical-state,hybrid_author_adjudicated,2,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,0,0
locomo,conv-41_qa010,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
locomo,conv-41_qa013,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-41_qa016,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
locomo,conv-41_qa020,historical-state,hybrid_author_adjudicated,5,3,0,3,1,1,1,2,1,1,0,0.666667,1.0,0.666667,1.0,0,0
locomo,conv-41_qa022,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-41_qa024,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
locomo,conv-41_qa031,historical-state,hybrid_author_adjudicated,2,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
locomo,conv-41_qa034,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-41_qa038,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,0,0
locomo,conv-41_qa043,historical-state,hybrid_author_adjudicated,2,2,0,2,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
locomo,conv-41_qa046,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
locomo,conv-41_qa051,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-41_qa053,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-41_qa054,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-41_qa055,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
locomo,conv-41_qa058,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-41_qa059,historical-state,hybrid_author_adjudicated,2,2,0,2,1,1,1,1,0,1,0,1.0,1.0,0.5,1.0,1,1
locomo,conv-41_qa061,historical-state,hybrid_author_adjudicated,2,2,0,2,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-41_qa063,duration,hybrid_author_adjudicated,2,2,0,2,1,1,1,2,1,1,0,0.5,1.0,0.0,1.0,0,0
locomo,conv-41_qa091,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-42_qa002,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-42_qa003,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
locomo,conv-42_qa006,duration,hybrid_author_adjudicated,2,2,0,2,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,0,0
locomo,conv-42_qa007,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-42_qa008,historical-state,hybrid_author_adjudicated,2,2,0,2,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,0,0
locomo,conv-42_qa009,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-42_qa013,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-42_qa015,historical-state,hybrid_author_adjudicated,2,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,0,0
locomo,conv-42_qa016,historical-state,hybrid_author_adjudicated,3,3,0,3,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
locomo,conv-42_qa017,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-42_qa026,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-42_qa029,historical-state,hybrid_author_adjudicated,2,2,0,2,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,0,1
locomo,conv-42_qa033,historical-state,hybrid_author_adjudicated,2,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-42_qa041,historical-state,hybrid_author_adjudicated,2,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-42_qa054,historical-state,hybrid_author_adjudicated,2,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,0,1
locomo,conv-42_qa072,historical-state,hybrid_author_adjudicated,2,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,0,0
locomo,conv-43_qa039,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,0,0
locomo,conv-43_qa046,historical-state,hybrid_author_adjudicated,2,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,0,1
locomo,conv-43_qa047,historical-state,hybrid_author_adjudicated,2,2,0,2,1,1,1,1,0,1,0,1.0,1.0,0.5,1.0,0,0
locomo,conv-43_qa054,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,0,0
locomo,conv-43_qa069,historical-state,hybrid_author_adjudicated,2,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
locomo,conv-44_qa005,historical-state,hybrid_author_adjudicated,2,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,0,
locomo,conv-44_qa010,historical-state,hybrid_author_adjudicated,2,2,0,2,1,1,1,1,0,1,0,1.0,1.0,0.5,1.0,1,
locomo,conv-44_qa022,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,0,
locomo,conv-44_qa057,historical-state,hybrid_author_adjudicated,3,2,0,2,1,1,1,1,0,1,0,1.0,1.0,0.5,1.0,1,
locomo,conv-47_qa021,historical-state,hybrid_author_adjudicated,7,4,0,4,1,1,1,1,0,1,0,1.0,1.0,0.75,1.0,1,
locomo,conv-48_qa012,historical-state,hybrid_author_adjudicated,2,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,
locomo,conv-48_qa031,historical-state,hybrid_author_adjudicated,2,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,
locomo,conv-48_qa050,historical-state,hybrid_author_adjudicated,5,3,0,3,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,
locomo,conv-48_qa052,historical-state,hybrid_author_adjudicated,2,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,
locomo,conv-48_qa055,current-vs-old,hybrid_author_adjudicated,5,3,0,3,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,
locomo,conv-48_qa065,historical-state,hybrid_author_adjudicated,3,3,0,3,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,
locomo,conv-48_qa071,historical-state,hybrid_author_adjudicated,2,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,
locomo,conv-49_qa023,historical-state,hybrid_author_adjudicated,4,2,0,2,1,1,1,1,0,1,0,1.0,1.0,0.5,1.0,0,
locomo,conv-49_qa053,historical-state,hybrid_author_adjudicated,2,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,
locomo,conv-49_qa066,historical-state,hybrid_author_adjudicated,2,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,
locomo,conv-49_qa073,historical-state,hybrid_author_adjudicated,2,2,0,2,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,0,
locomo,conv-49_qa079,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,0,
locomo,conv-50_qa000,ordering,hybrid_author_adjudicated,6,3,0,3,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,0,
locomo,conv-50_qa012,historical-state,hybrid_author_adjudicated,5,3,0,3,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,
locomo,conv-50_qa035,historical-state,hybrid_author_adjudicated,2,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,
locomo,conv-50_qa038,historical-state,hybrid_author_adjudicated,6,3,0,3,1,2,0,2,1,1,0,0.666667,1.0,0.666667,1.0,1,
locomo,conv-50_qa048,historical-state,hybrid_author_adjudicated,2,2,0,2,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,0,
locomo,conv-50_qa050,historical-state,hybrid_author_adjudicated,3,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,0,
locomo,conv-50_qa052,historical-state,hybrid_author_adjudicated,4,2,0,2,1,1,1,1,0,1,0,1.0,1.0,0.5,1.0,0,
locomo,conv-50_qa068,historical-state,hybrid_author_adjudicated,3,2,0,2,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,
longmemeval,08f4fc43,duration,hybrid_author_adjudicated,2,2,0,2,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
longmemeval,0bb5a684,duration,hybrid_author_adjudicated,2,2,0,2,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,0,0
longmemeval,0bc8ad92,duration,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
longmemeval,0bc8ad93,historical-state,hybrid_author_adjudicated,2,2,0,2,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
longmemeval,0db4c65d,duration,hybrid_author_adjudicated,2,2,0,2,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
longmemeval,2a1811e2,duration,hybrid_author_adjudicated,2,2,0,2,1,1,1,2,1,1,0,0.5,1.0,0.0,1.0,1,1
longmemeval,2c63a862,duration,hybrid_author_adjudicated,3,3,0,3,1,1,1,2,1,1,0,0.666667,1.0,0.333333,1.0,0,0
longmemeval,2ebe6c90,duration,hybrid_author_adjudicated,2,2,0,2,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
longmemeval,2ebe6c92,historical-state,hybrid_author_adjudicated,2,2,0,2,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,0,0
longmemeval,370a8ff4,duration,hybrid_author_adjudicated,2,2,0,2,1,1,1,2,1,1,0,0.5,1.0,0.0,1.0,0,0
longmemeval,4dfccbf7,duration,hybrid_author_adjudicated,2,2,0,2,1,1,1,1,0,1,0,1.0,1.0,0.5,1.0,1,1
longmemeval,4dfccbf8,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
longmemeval,5e1b23de,duration,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
longmemeval,6e984301,duration,hybrid_author_adjudicated,3,3,0,3,1,1,1,2,1,1,0,0.666667,1.0,0.0,1.0,1,1
longmemeval,6e984302,historical-state,hybrid_author_adjudicated,2,2,0,2,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,0,0
longmemeval,71017276,duration,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
longmemeval,71017277,current-vs-old,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,0,0
longmemeval,8077ef71,duration,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
longmemeval,9a707b81,duration,hybrid_author_adjudicated,2,2,0,2,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,0,0
longmemeval,9a707b82,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
longmemeval,a3838d2b,ordering,hybrid_author_adjudicated,8,8,0,8,1,1,1,5,1,1,0,0.375,1.0,0.0,1.0,0,0
longmemeval,af082822,duration,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
longmemeval,b46e15ed,duration,hybrid_author_adjudicated,2,2,0,2,1,1,1,2,1,1,0,0.5,1.0,0.0,1.0,0,0
longmemeval,b46e15ee,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
longmemeval,b9cfe692,duration,hybrid_author_adjudicated,3,3,0,3,1,1,1,2,1,1,0,0.666667,1.0,1.0,1.0,1,1
longmemeval,bbf86515,duration,hybrid_author_adjudicated,2,2,0,2,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
longmemeval,bcbe585f,duration,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
longmemeval,c8090214,duration,hybrid_author_adjudicated,2,2,0,2,1,1,1,2,1,1,0,0.5,1.0,0.0,1.0,1,1
longmemeval,c9f37c46,duration,hybrid_author_adjudicated,3,3,0,3,1,1,1,1,0,1,0,1.0,1.0,0.666667,1.0,1,1
longmemeval,e4e14d04,duration,hybrid_author_adjudicated,2,2,0,2,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
longmemeval,eac54adc,duration,hybrid_author_adjudicated,2,2,0,2,1,1,1,2,1,1,0,0.5,1.0,0.0,1.0,1,1
longmemeval,eac54add,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,0,0
longmemeval,f0853d11,duration,hybrid_author_adjudicated,2,2,0,2,1,1,1,2,1,1,0,0.5,1.0,0.0,1.0,1,1
longmemeval,gpt4_0b2f1d21,ordering,hybrid_author_adjudicated,2,2,0,2,1,1,1,2,1,1,0,0.5,1.0,0.5,1.0,1,1
longmemeval,gpt4_18c2b244,ordering,hybrid_author_adjudicated,3,3,0,3,1,1,1,1,0,1,0,1.0,1.0,0.333333,1.0,1,1
longmemeval,gpt4_1916e0ea,duration,hybrid_author_adjudicated,2,2,0,2,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
longmemeval,gpt4_1d4ab0c9,duration,hybrid_author_adjudicated,2,2,0,2,1,1,1,2,1,1,0,0.5,1.0,0.0,1.0,1,1
longmemeval,gpt4_1d80365e,duration,hybrid_author_adjudicated,2,2,0,2,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
longmemeval,gpt4_1e4a8aeb,duration,hybrid_author_adjudicated,2,2,0,2,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
longmemeval,gpt4_1e4a8aec,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,0,0
longmemeval,gpt4_21adecb5,duration,hybrid_author_adjudicated,2,2,0,2,1,1,1,1,0,1,0,1.0,1.0,0.5,1.0,1,1
longmemeval,gpt4_2312f94c,ordering,hybrid_author_adjudicated,2,2,0,2,1,1,1,2,1,1,0,0.5,1.0,0.5,1.0,1,1
longmemeval,gpt4_2487a7cb,ordering,hybrid_author_adjudicated,2,2,0,2,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
longmemeval,gpt4_2655b836,ordering,hybrid_author_adjudicated,3,3,0,3,1,1,1,2,1,1,0,0.666667,1.0,0.0,1.0,1,1
longmemeval,gpt4_2c50253f,current-vs-old,hybrid_author_adjudicated,2,2,0,2,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
longmemeval,gpt4_2d58bcd6,ordering,hybrid_author_adjudicated,2,2,0,2,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,0,0
longmemeval,gpt4_2f56ae70,current-vs-old,hybrid_author_adjudicated,4,4,0,4,1,1,1,1,0,1,0,1.0,1.0,0.25,1.0,1,1
longmemeval,gpt4_2f584639,ordering,hybrid_author_adjudicated,2,2,0,2,1,1,1,2,1,1,0,0.5,1.0,0.5,1.0,0,0
longmemeval,gpt4_385a5000,ordering,hybrid_author_adjudicated,2,2,0,2,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
longmemeval,gpt4_45189cb4,ordering,hybrid_author_adjudicated,3,3,0,3,1,1,1,1,0,1,0,1.0,1.0,0.333333,1.0,0,0
longmemeval,gpt4_468eb063,duration,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
longmemeval,gpt4_468eb064,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0,1.0,1,1
longmemeval,gpt4_483dd43c,ordering,hybrid_author_adjudicated,3,3,0,3,1,1,1,1,0,1,0,1.0,1.0,0.333333,1.0,1,1
longmemeval,gpt4_4929293a,ordering,hybrid_author_adjudicated,2,2,0,2,1,1,1,2,1,1,0,0.5,1.0,0.0,1.0,1,1
longmemeval,gpt4_4929293b,historical-state,hybrid_author_adjudicated,1,1,0,1,1,1,1,1,0,1,0,1.0,1.0,0.0,1.0,1,1
