model,qid,question_type,fact_id,fact_text,extracted_entities,normalized_entity_keys,active_entity_keys,candidate_states,audit_stratum,author_expected_entities,author_precision_verdict,author_recall_verdict,author_notes
Qwen3-30B,d905b33f,multi-session,fact_6658116121aaa14a,"The user had a heated debate on Facebook during the previous week, which occurred approximately between May 23, 2023, and May 30, 2023.",Facebook | heated debate,facebook | heated_debate,facebook,facebook:active | heated_debate:lazy,multi_session_active,,,,
Qwen3-30B,1c549ce4,multi-session,fact_809cfc10a9258401,"The user expressed interest in watching documentaries on Netflix that focus on environmental issues, climate change, and sustainability on May 24, 2023.",Netflix | documentaries | climate change | sustainability,climate_change | documentaries | netflix | sustainability,netflix,climate_change:lazy | documentaries:lazy | netflix:active | sustainability:lazy,multi_session_active,,,,
Qwen3-30B,gpt4_d84a3211,multi-session,fact_a1971cf8eea9edee,The user believes the cooking class helped their children develop an appreciation for Hawaiian culture and cuisine.,cooking class | children | Hawaiian culture | Hawaiian cuisine,children | cooking_class | hawaiian_cuisine | hawaiian_culture,cooking_class,children:lazy | cooking_class:active | hawaiian_cuisine:lazy | hawaiian_culture:lazy,multi_session_active,,,,
Qwen3-30B,157a136e,multi-session,fact_2ff2497e87b6685c,"The assistant suggested redeeming the rewards points for a general gift card such as Amazon, Visa, or Mastercard if no specific options exist for customized mugs or tea infusers.",general gift card | Amazon | Visa | Mastercard | $25 in rewards points,25_in_rewards_points | amazon | general_gift_card | mastercard | visa,amazon | visa,25_in_rewards_points:lazy | amazon:active | general_gift_card:lazy | mastercard:lazy | visa:active,multi_session_active,,,,
Qwen3-30B,gpt4_372c3eed,multi-session,fact_7e70aa340c0e4511,"The assistant recommends organizing board games by genre, including strategy, party, cooperative, and competitive games.",board games | genre,board_games | genre,board_games,board_games:active | genre:lazy,multi_session_active,,,,
Qwen3-30B,efc3f7c2,multi-session,fact_2fb24aa47fffd17a,The Sunday Riley Power Couple contains antioxidants such as ferulic acid and green tea extract to protect the skin from environmental stressors.,Sunday Riley Power Couple | ferulic acid | green tea extract,ferulic_acid | green_tea_extract | sunday_riley_power_couple,,ferulic_acid:lazy | green_tea_extract:lazy | sunday_riley_power_couple:lazy,multi_session_lazy_only,,,,
Qwen3-30B,a96c20ee_abs,multi-session,fact_67c80981d55634f3,The user must obtain API keys from Interactive Brokers to set up the API connection for use with IB_insync and TensorTrade.,API keys | Interactive Brokers | IB_insync | TensorTrade,api_keys | ib_insync | interactive_brokers | tensortrade,,api_keys:lazy | ib_insync:lazy | interactive_brokers:lazy | tensortrade:lazy,multi_session_lazy_only,,,,
Qwen3-30B,c18a7dc8,multi-session,fact_32cc9fbe934aac39,The assistant recommended Mysterium as a cooperative board game where one player acts as a ghost guiding others to solve a murder mystery using symbolic clues.,Mysterium | cooperative | ghost | murder mystery,cooperative | ghost | murder_mystery | mysterium,,cooperative:lazy | ghost:lazy | murder_mystery:lazy | mysterium:lazy,multi_session_lazy_only,,,,
Qwen3-30B,eeda8a6d_abs,multi-session,fact_3b1593d15c4521e4,"The assistant invited the user to keep them posted on the outcome of the flapper replacement and offered continued support on May 22, 2023.",user progress | continued support,continued_support | user_progress,,continued_support:lazy | user_progress:lazy,multi_session_lazy_only,,,,
Qwen3-30B,6d550036,multi-session,fact_24436376ee81364e,"The assistant suggested educational content about cleaning tips and tricks, such as how to remove stains, organize cluttered spaces, and make natural cleaning products.",cleaning tips | stain removal | natural cleaning products,cleaning_tips | natural_cleaning_products | stain_removal,,cleaning_tips:lazy | natural_cleaning_products:lazy | stain_removal:lazy,multi_session_lazy_only,,,,
Qwen3-30B,a1cc6108,multi-session,fact_be20c6a55b911208,"The user paused the conversation on May 27, 2023, at 11:22 AM UTC+00:00 to attend to personal tasks.",maintenance closet | vent cover | hallway,hallway | maintenance_closet | vent_cover,,hallway:lazy | maintenance_closet:lazy | vent_cover:lazy,multi_session_lazy_only,,,,
Qwen3-30B,46a3abf7,multi-session,fact_0f058a37c26c97ce,"The user proposed a 12-week training plan for the Disney Princess Half Marathon, divided into three phases: Weeks 1-4, Weeks 5-8, and Weeks 9-12.",Disney Princess Half Marathon | 12-week training plan,12_week_training_plan | disney_princess_half_marathon,,12_week_training_plan:lazy | disney_princess_half_marathon:lazy,multi_session_lazy_only,,,,
Qwen3-30B,129d1232,multi-session,fact_57b583197766db66,"Atelier des Chefs is a cooking school in Paris that offers classes, workshops, and cooking demonstrations taught in French, but English-speaking chefs are available to teach.",Atelier des Chefs | Paris | French | English-speaking chefs,atelier_des_chefs | english_speaking_chefs | french | paris,,atelier_des_chefs:lazy | english_speaking_chefs:lazy | french:lazy | paris:lazy,multi_session_lazy_only,,,,
Qwen3-30B,6c49646a,multi-session,fact_8800c0177e6808fa,"The Grill at Meadowood serves contemporary American cuisine with a focus on seasonal ingredients, prepared by Chef Victoria Blachly.",The Grill at Meadowood | Chef Victoria Blachly,chef_victoria_blachly | the_grill_at_meadowood,,chef_victoria_blachly:lazy | the_grill_at_meadowood:lazy,multi_session_lazy_only,,,,
Qwen3-30B,c18a7dc8,multi-session,fact_78ee14d6d1c14a77,Stephen Hoye is the narrator of the audiobook 'The Emperor of All Maladies: A Biography of Cancer' by Siddhartha Mukherjee.,The Emperor of All Maladies: A Biography of Cancer | Siddhartha Mukherjee | Stephen Hoye,siddhartha_mukherjee | stephen_hoye,,siddhartha_mukherjee:lazy | stephen_hoye:lazy,multi_session_lazy_only,,,,
Qwen3-30B,eeda8a6d_abs,multi-session,fact_6ebcc9657c40573b,"The assistant advised using rocks and coral to create different levels and heights around the treasure chest to allow fish to swim up and down and explore various areas in the aquarium on May 28, 2023.",rocks | coral | treasure chest | aquarium,aquarium | coral | rocks | treasure_chest,,aquarium:lazy | coral:lazy | rocks:lazy | treasure_chest:lazy,multi_session_lazy_only,,,,
Qwen3-30B,80ec1f4f_abs,multi-session,fact_b8e7d25cc1901bcb,The user has been reading more regularly and is motivated to start a book journal to document their reading journey.,reading | book journal,book_journal | reading,,book_journal:lazy | reading:lazy,multi_session_lazy_only,,,,
Qwen3-30B,aae3761f,multi-session,fact_5ea17a0b51d3bb99,"The assistant recommended packing snacks, water, and entertainment for the road to make the 7-8 hour drive more comfortable.",snacks | water | entertainment,entertainment | snacks | water,,entertainment:lazy | snacks:lazy | water:lazy,multi_session_lazy_only,,,,
Qwen3-30B,46a3abf7,multi-session,fact_8d93a45f17890613,"The assistant recommended considering a flat and fast course with scenic views, shaded areas, or unique features like running through a park or alongside a waterfront.",course layout | scenic views | park | waterfront,course_layout | park | scenic_views | waterfront,,course_layout:lazy | park:lazy | scenic_views:lazy | waterfront:lazy,multi_session_lazy_only,,,,
Qwen3-30B,d3ab962e,multi-session,fact_f2aa4120f9850a34,"Amazon offers a wide selection of safety razors from various brands, including customer reviews and fast shipping.",Amazon | safety razors,amazon | safety_razors,,amazon:lazy | safety_razors:lazy,multi_session_lazy_only,,,,
Qwen3-30B,a11281a2,multi-session,fact_191e92890c42c90b,"The user expressed interest in upcycling old jeans to reduce waste on May 23, 2023.",old jeans | upcycling,old_jeans | upcycling,,old_jeans:lazy | upcycling:lazy,multi_session_lazy_only,,,,
Qwen3-30B,92a0aa75,multi-session,fact_cfa102bbfd1a0e2c,"The schema enables tracking and analysis of crawl events, errors, and relationships between websites.",crawl events | website relationships | error tracking,crawl_events | error_tracking | website_relationships,,crawl_events:lazy | error_tracking:lazy | website_relationships:lazy,multi_session_lazy_only,,,,
Qwen3-30B,7024f17c,multi-session,fact_7111f9a7ea547cd8,"The user is currently deeply engaged with the 'Hamilton' musical soundtrack, listening to it non-stop on Spotify as of May 21, 2023.",Hamilton | Spotify,hamilton | spotify,,hamilton:lazy | spotify:lazy,multi_session_lazy_only,,,,
Qwen3-30B,gpt4_e05b82a6,multi-session,fact_acb527998a54cee2,"The assistant noted that configmaps are commonly used to store configuration data for applications in Kubernetes, which can be mounted into pods as files or environment variables on November 4, 2023.",configmaps | Kubernetes,configmaps | kubernetes,,configmaps:lazy | kubernetes:lazy,multi_session_lazy_only,,,,
Qwen3-30B,87f22b4a,multi-session,fact_4ca34f081ff8201b,"Traditional Cherokee clay pots were often unglazed and handmade, passed down through generations.",clay pots | Cherokee cooking | Three Sisters Soup,cherokee_cooking | clay_pots | three_sisters_soup,,cherokee_cooking:lazy | clay_pots:lazy | three_sisters_soup:lazy,multi_session_lazy_only,,,,
Qwen3-30B,07b6f563,single-session-preference,fact_9b439e3f08cf846e,The assistant suggests a cooking class or workshop with a professional chef as a unique and memorable gift for a cooking enthusiast.,cooking class | workshop | professional chef,cooking_class | professional_chef | workshop,,cooking_class:lazy | professional_chef:lazy | workshop:lazy,other_multi_entity,,,,
Qwen3-30B,c4ea545c,knowledge-update,fact_e0b6b08d117d602d,Blent Media provides a complimentary demo of its services to help tech startups experience the value of a professional brand identity before committing.,Blent Media | free demo | brand identity,blent_media | brand_identity | free_demo,,blent_media:lazy | brand_identity:lazy | free_demo:lazy,other_multi_entity,,,,
Qwen3-30B,8a137a7f,single-session-user,fact_dbafe2a35343146c,Whales contribute to ocean nutrient cycling by releasing excrement that promotes the growth of phytoplankton and krill.,whales | phytoplankton | krill,krill | phytoplankton | whales,,krill:lazy | phytoplankton:lazy | whales:lazy,other_multi_entity,,,,
Qwen3-30B,dccbc061,single-session-user,fact_a02fa21854455285,"The assistant listed 7 early spring migrant bird species expected at Raven's Peak State Park in early April 2023: Ruby-crowned Kinglet, Pine Warbler, Yellow Warbler, Palm Warbler, Northern Parula, Chipping Sparrow, and Broad-winged Hawk.",Ruby-crowned Kinglet | Pine Warbler | Yellow Warbler | Palm Warbler | Northern Parula | Chipping Sparrow | Broad-winged Hawk | Raven's Peak State Park,broad_winged_hawk | chipping_sparrow | northern_parula | palm_warbler | pine_warbler | raven_s_peak_state_park | ruby_crowned_kinglet | yellow_warbler,,broad_winged_hawk:lazy | chipping_sparrow:lazy | northern_parula:lazy | palm_warbler:lazy | pine_warbler:lazy | raven_s_peak_state_park:lazy | ruby_crowned_kinglet:lazy | yellow_warbler:lazy,other_multi_entity,,,,
Qwen3-30B,4100d0a0,single-session-user,fact_5e86367527db210e,Ammonites used their chambered shells to regulate buoyancy by filling the chambers with gas and adjusting the gas levels to maintain depth in the water.,ammonites | chambered shells | gas regulation,ammonites | chambered_shells | gas_regulation,,ammonites:lazy | chambered_shells:lazy | gas_regulation:lazy,other_multi_entity,,,,
Qwen3-30B,08e075c7,knowledge-update,fact_3f5248fefc20adcf,"The assistant suggested searching for local writing groups using online search engines, writing organizations, Meetup.com, local libraries or bookstores, and social media platforms like Facebook.",Google | Writers Guild of America | National Writers Union | Meetup.com | libraries | bookstores | Facebook,bookstores | facebook | google | libraries | meetup_com | national_writers_union | writers_guild_of_america,google,bookstores:lazy | facebook:lazy | google:active | libraries:lazy | meetup_com:lazy | national_writers_union:lazy | writers_guild_of_america:lazy,other_multi_entity,,,,
Qwen3-30B,726462e0,single-session-user,fact_b6e73e7d0351540b,"The assistant recommended foam rolling and gentle stretching on rest days to alleviate muscle soreness, loosen tight tissues, and improve range of motion and mobility.",foam rolling | stretching | muscle soreness,foam_rolling | muscle_soreness | stretching,,foam_rolling:lazy | muscle_soreness:lazy | stretching:lazy,other_multi_entity,,,,
Qwen3-30B,07741c45,knowledge-update,fact_988665d53270d040,"The user observed that the BMW iX 50 does not automatically lower the music volume when the door is opened, unlike most other cars, which they found to be a missing feature.",BMW iX 50 | music volume | door opening,bmw_ix_50 | door_opening | music_volume,,bmw_ix_50:lazy | door_opening:lazy | music_volume:lazy,other_multi_entity,,,,
Qwen3-30B,f8c5f88b,single-session-user,fact_d86cbb75232d19c3,"The user knows they can contact HelloFresh's customer service team on May 27, 2023, to pause, cancel, or resolve issues with their subscription.",HelloFresh | customer service team | subscription,customer_service_team | hellofresh | subscription,,customer_service_team:lazy | hellofresh:lazy | subscription:lazy,other_multi_entity,,,,
Qwen3-30B,38146c39,single-session-preference,fact_f3b823ecd2926ef4,"The assistant suggested experimenting with different citrus flavors in soda water, such as lemon, lime, or grapefruit, to find the best match for a cocktail on May 26, 2023.",lemon-flavored soda water | lime-flavored soda water | grapefruit-flavored soda water,grapefruit_flavored_soda_water | lemon_flavored_soda_water | lime_flavored_soda_water,,grapefruit_flavored_soda_water:lazy | lemon_flavored_soda_water:lazy | lime_flavored_soda_water:lazy,other_multi_entity,,,,
Qwen3-30B,4d6b87c8,knowledge-update,fact_f1cec1d9283bf89b,"The user tried stevia in their coffee on Tuesday, May 2, 2023.","stevia | coffee | Tuesday, May 2, 2023",coffee | stevia | tuesday_may_2_2023,,coffee:lazy | stevia:lazy | tuesday_may_2_2023:lazy,other_multi_entity,,,,
Qwen3-30B,51b23612,single-session-assistant,fact_12ed4c0446a6f4fb,"The assistant suggests using the 20-minute rule: watch TV for 20 minutes, then take a 5-10 minute break to stretch or move around.",20-minute rule | 5-10 minute break | stretching | movement,20_minute_rule | 5_10_minute_break | movement | stretching,,20_minute_rule:lazy | 5_10_minute_break:lazy | movement:lazy | stretching:lazy,other_multi_entity,,,,
Qwen3-30B,311778f1,single-session-user,fact_480f5170b29ec59e,The government of Zambia can promote sustainable poverty reduction by investing in building the capacity of local communities and organizations to take ownership of development initiatives.,Zambia | local communities | development initiatives,development_initiatives | local_communities | zambia,,development_initiatives:lazy | local_communities:lazy | zambia:lazy,other_multi_entity,,,,
Qwen3-30B,0f05491a,knowledge-update,fact_035428b15894614e,"The user bought strawberries from Walmart last week (July 13, 2023) and is storing them in a container in the refrigerator.",strawberries | Walmart | container | refrigerator,container | refrigerator | strawberries | walmart,walmart,container:lazy | refrigerator:lazy | strawberries:lazy | walmart:active,other_multi_entity,,,,
Qwen3-30B,8e9d538c,single-session-user,fact_f76200e7736b5ce7,"The user recalled being a pre-med student at Fordham University, struggling with a course in kandiak morphogenesis, which they could not read, say, or pass, leading to a 1.8 GPA and a suggestion to take time off.",Fordham University | pre-med | kandiak morphogenesis | 1.8 GPA,1_8_gpa | fordham_university | kandiak_morphogenesis | pre_med,,1_8_gpa:lazy | fordham_university:lazy | kandiak_morphogenesis:lazy | pre_med:lazy,other_multi_entity,,,,
Qwen3-30B,ad7109d1,single-session-user,fact_f285daea7aa1bcb2,The user is researching the relationship between Instagram use and body image in young adults as part of their thesis.,Instagram | body image | young adults,body_image | instagram | young_adults,instagram | young_adults,body_image:lazy | instagram:active | young_adults:active,other_multi_entity,,,,
Qwen3-30B,19b5f2b3_abs,single-session-user,fact_e9455877527483fb,"Compost promotes healthy plant growth, increases crop yields, and enhances plant resistance to disease and pests.",compost | plant growth | crop yields,compost | crop_yields | plant_growth,,compost:lazy | crop_yields:lazy | plant_growth:lazy,other_multi_entity,,,,
Qwen3-30B,6222b6eb,single-session-assistant,fact_45d60efd5493a604,"The Fender Mustang II has 40 watts of power and 24 presets, including clean and dirty channels, amp models, and effects such as reverb and delay.",Fender Mustang II | 40 watts | 24 presets | reverb | delay,24_presets | 40_watts | delay | fender_mustang_ii | reverb,,24_presets:lazy | 40_watts:lazy | delay:lazy | fender_mustang_ii:lazy | reverb:lazy,other_multi_entity,,,,
Qwen3-30B,1d4da289,single-session-assistant,fact_1944b467c440d323,"The assistant provided a step-by-step guide to conducting thematic analysis, including familiarizing oneself with the data, initial coding, developing a coding framework, applying codes, refining themes, mapping themes, and interpreting results.",thematic analysis | coding framework | data analysis process,coding_framework | data_analysis_process | thematic_analysis,,coding_framework:lazy | data_analysis_process:lazy | thematic_analysis:lazy,other_multi_entity,,,,
Qwen3-30B,a89d7624,single-session-preference,fact_395c77c09066cec6,"The third section of the 20-mile cycling route follows a 6-mile bike path along the riverfront, starting from Riverfront Drive and heading north for 3 miles before turning around and returning south.",Riverfront Drive | riverfront bike path | bike path,bike_path | riverfront_bike_path | riverfront_drive,,bike_path:lazy | riverfront_bike_path:lazy | riverfront_drive:lazy,other_multi_entity,,,,
Qwen3-30B,982b5123,temporal-reasoning,fact_8b023774edbca420,"Pork Store Cafe is a casual, no-frills breakfast and lunch spot in Haight-Ashbury known for its famous pork sandwiches.",Pork Store Cafe | Haight-Ashbury,haight_ashbury | pork_store_cafe,haight_ashbury,haight_ashbury:active | pork_store_cafe:lazy,temporal_active,,,,
Qwen3-30B,982b5123,temporal-reasoning,fact_af57f8ba45decbcf,The assistant clarified that it does not have real-time access to tailor shops or inventory in San Francisco.,assistant | tailor shops | San Francisco,san_francisco | tailor_shops,san_francisco,san_francisco:active | tailor_shops:lazy,temporal_active,,,,
Qwen3-30B,gpt4_4929293b,temporal-reasoning,fact_bfa2a805da9a4b92,"The assistant listed five benefits of using a practice journal: accountability, reflection, tracking progress, identifying patterns, and celebrating milestones on May 12, 2023.",practice journal | accountability | reflection | progress tracking | pattern identification | milestone celebration,accountability | milestone_celebration | pattern_identification | practice_journal | progress_tracking | reflection,progress_tracking,accountability:lazy | milestone_celebration:lazy | pattern_identification:lazy | practice_journal:lazy | progress_tracking:active | reflection:lazy,temporal_active,,,,
Qwen3-30B,9a707b81,temporal-reasoning,fact_72801f4154d27bdf,"The assistant advises starting with a small amount of treats in the Kong toy and gradually increasing the quantity as Max becomes more comfortable with it on April 10, 2022.",Kong toy | Max | treats,kong_toy | max | treats,max,kong_toy:lazy | max:active | treats:lazy,temporal_active,,,,
Qwen3-30B,2ebe6c92,temporal-reasoning,fact_756ea80c966740a3,The assistant suggested that the user provide context in the email by mentioning when they last wore the silver necklace and where they think it was left.,context | silver necklace | email,context | email | silver_necklace,silver_necklace,context:lazy | email:lazy | silver_necklace:active,temporal_active,,,,
Qwen3-30B,gpt4_93159ced,temporal-reasoning,fact_9cda25432d140577,"Sir Nicholas Stern, an economist at the London School of Economics, is known for his influential work on the economics of climate change, particularly the 2006 Stern Review, which assessed the costs and benefits of mitigating climate change.",London School of Economics | Sir Nicholas Stern | Stern Review | climate change | economic cost-benefit analysis,climate_change | economic_cost_benefit_analysis | london_school_of_economics | sir_nicholas_stern | stern_review,climate_change,climate_change:active | economic_cost_benefit_analysis:lazy | london_school_of_economics:lazy | sir_nicholas_stern:lazy | stern_review:lazy,temporal_active,,,,
Qwen3-30B,gpt4_68e94288,temporal-reasoning,fact_bc66de4314b917a2,"The Guggenheim Museum in New York City, USA, designed by Frank Lloyd Wright, has influenced the design of modern galleries, museums, and exhibition spaces.",Guggenheim Museum | New York City | USA | Frank Lloyd Wright,frank_lloyd_wright | guggenheim_museum | new_york_city | usa,new_york_city,frank_lloyd_wright:lazy | guggenheim_museum:lazy | new_york_city:active | usa:lazy,temporal_active,,,,
Qwen3-30B,gpt4_7bc6cf22,temporal-reasoning,fact_299dd28300210876,"The user read the March 15, 2023 issue of The New Yorker and found an article on climate change fascinating.","The New Yorker | March 15, 2023 | climate change",climate_change | march_15_2023 | the_new_yorker,climate_change,climate_change:active | march_15_2023:lazy | the_new_yorker:lazy,temporal_active,,,,
Qwen3-30B,af082822,temporal-reasoning,fact_2b968ee35e293465,"The user plans to book Carmel Car and Limousine Service for their arrival on April 15, 2023.","Carmel Car and Limousine Service | April 15, 2023",april_15_2023 | carmel_car_and_limousine_service,april_15_2023,april_15_2023:active | carmel_car_and_limousine_service:lazy,temporal_active,,,,
Qwen3-30B,eac54add,temporal-reasoning,fact_7039489c9bb7d575,"The assistant recommended using the hashtag #handmadejewelry, which has over 1.4 million posts on Instagram.",#handmadejewelry | Instagram,handmadejewelry | instagram,instagram,handmadejewelry:lazy | instagram:active,temporal_active,,,,
Qwen3-30B,gpt4_1916e0ea,temporal-reasoning,fact_126eae981692f545,The assistant recommended adding captions or subtitles to the 'day in the life' vlog to improve accessibility and support viewers who prefer watching with captions.,day in the life vlog | YouTube | captions | subtitles,captions | day_in_the_life_vlog | subtitles | youtube,youtube,captions:lazy | day_in_the_life_vlog:lazy | subtitles:lazy | youtube:active,temporal_active,,,,
Qwen3-30B,gpt4_65aabe59,temporal-reasoning,fact_679cdca687c26150,The assistant recommended that the user prioritize a desktop computer with Wi-Fi 6 (802.11ax) support to fully utilize the capabilities of their new mesh network system.,Wi-Fi 6 | mesh network system,mesh_network_system | wi_fi_6,wi_fi_6,mesh_network_system:lazy | wi_fi_6:active,temporal_active,,,,
Qwen3-30B,0bc8ad93,temporal-reasoning,fact_40c8706c17cd3d51,"The Cold War created significant economic and military pressure on the Soviet Union, particularly due to the arms race with the United States, which the USSR could not sustain.",Soviet Union | United States | Cold War | arms race,arms_race | cold_war | soviet_union | united_states,united_states,arms_race:lazy | cold_war:lazy | soviet_union:lazy | united_states:active,temporal_active,,,,
Qwen3-30B,gpt4_1e4a8aeb,temporal-reasoning,fact_8da164ef33822ebb,The Hilton Hotel in downtown Chicago has an indoor pool available for guest use.,Hilton Hotel | downtown Chicago | indoor pool,downtown_chicago | hilton_hotel | indoor_pool,downtown_chicago,downtown_chicago:active | hilton_hotel:lazy | indoor_pool:lazy,temporal_active,,,,
Qwen3-30B,gpt4_65aabe59,temporal-reasoning,fact_7ec53b1f59a050be,Notre-Dame Cathedral in Paris is a historic 12th-century church known for its Gothic architecture.,Notre-Dame Cathedral | Paris,notre_dame_cathedral | paris,paris,notre_dame_cathedral:lazy | paris:active,temporal_active,,,,
Qwen3-30B,gpt4_7abb270c,temporal-reasoning,fact_5314a433071077b6,"Dr. Maria Rodriguez is a renowned expert in feminist art and delivered a lecture series at the Museum of Contemporary Art on January 15, 2023.",Dr. Maria Rodriguez | Museum of Contemporary Art | feminist art,dr_maria_rodriguez | feminist_art | museum_of_contemporary_art,dr_maria_rodriguez | feminist_art | museum_of_contemporary_art,dr_maria_rodriguez:active | feminist_art:active | museum_of_contemporary_art:active,temporal_active,,,,
Qwen3-30B,gpt4_5438fa52,temporal-reasoning,fact_7c9062bd9c1b028f,"The user asked for recommendations for musicals and plays that deal with themes of social justice and identity on May 27, 2023.",social justice | identity | musicals | plays,identity | musicals | plays | social_justice,social_justice,identity:lazy | musicals:lazy | plays:lazy | social_justice:active,temporal_active,,,,
Qwen3-30B,gpt4_f49edff3,temporal-reasoning,fact_9f6f951601750c1c,"The assistant instructed the user to authenticate their Google Drive account after installing the Google Drive Power-Up in Trello on February 6, 2023.",Google Drive | Trello,google_drive | trello,trello,google_drive:lazy | trello:active,temporal_active,,,,
