model,method,benchmark,qid,question_type,strict_label,public_label,correct_votes,wrong_votes,complete_repetitions,answer_source
gemma4_12b,evermemos,locomo,conv-26_qa026,temporal,WRONG,WRONG,0,1,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa027,open-ended,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa028,temporal,WRONG,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa029,temporal,WRONG,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa030,open-ended,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa031,temporal,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa032,multi-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa033,temporal,WRONG,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa034,multi-hop,WRONG,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa035,temporal,WRONG,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa036,temporal,WRONG,WRONG,0,1,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa037,multi-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa038,multi-hop,WRONG,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa039,multi-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa040,multi-hop,WRONG,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa041,temporal,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa042,open-ended,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa043,multi-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa044,temporal,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa045,temporal,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa046,open-ended,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa047,multi-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa048,multi-hop,WRONG,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa049,temporal,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa050,open-ended,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa051,multi-hop,WRONG,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa052,multi-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa053,temporal,WRONG,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa054,temporal,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa055,multi-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa056,multi-hop,WRONG,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa057,temporal,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa058,temporal,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa059,open-ended,WRONG,WRONG,0,1,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa060,multi-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa061,multi-hop,WRONG,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa062,temporal,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa063,temporal,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa064,open-ended,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa065,multi-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa066,multi-hop,WRONG,WRONG,0,1,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa067,temporal,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa068,temporal,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa069,open-ended,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa070,multi-hop,WRONG,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa071,multi-hop,WRONG,WRONG,0,1,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa072,temporal,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa073,temporal,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa074,temporal,WRONG,WRONG,0,1,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa075,multi-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa076,multi-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa077,open-ended,WRONG,WRONG,0,1,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa078,multi-hop,WRONG,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa079,temporal,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa080,temporal,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa081,open-ended,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa082,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa083,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa084,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa085,single-hop,WRONG,WRONG,0,1,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa086,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa087,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa088,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa089,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa090,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa091,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa092,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa093,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa094,single-hop,WRONG,WRONG,0,1,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa095,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa096,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa097,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa098,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa099,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa100,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa101,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa102,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa103,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa104,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa105,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa106,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa107,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa108,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa109,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa110,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa111,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa112,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa113,single-hop,WRONG,WRONG,0,1,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa114,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa115,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa116,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa117,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa118,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa119,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa120,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa121,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa122,single-hop,WRONG,WRONG,0,1,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa123,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa124,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa125,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa126,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa127,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa128,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa129,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa130,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa131,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa132,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa133,single-hop,WRONG,WRONG,0,1,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa134,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa135,single-hop,WRONG,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa136,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa137,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa138,single-hop,WRONG,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa139,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa140,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa141,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa142,single-hop,WRONG,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa143,single-hop,WRONG,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa144,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa145,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa146,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa147,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa148,single-hop,WRONG,WRONG,0,1,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa149,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa150,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa151,single-hop,CORRECT,CORRECT,1,0,True,gemma_8001_appendix_deepseek_judge_20260623/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa152,adversarial,WRONG,WRONG,0,1,True,gemma_8001_cat5_runs/cat5_20260623/appendix_deepseek_judge_cat5/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa153,adversarial,WRONG,CORRECT,1,0,True,gemma_8001_cat5_runs/cat5_20260623/appendix_deepseek_judge_cat5/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa154,adversarial,WRONG,CORRECT,1,0,True,gemma_8001_cat5_runs/cat5_20260623/appendix_deepseek_judge_cat5/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa155,adversarial,WRONG,CORRECT,1,0,True,gemma_8001_cat5_runs/cat5_20260623/appendix_deepseek_judge_cat5/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa156,adversarial,WRONG,WRONG,0,1,True,gemma_8001_cat5_runs/cat5_20260623/appendix_deepseek_judge_cat5/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa157,adversarial,WRONG,CORRECT,1,0,True,gemma_8001_cat5_runs/cat5_20260623/appendix_deepseek_judge_cat5/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa158,adversarial,WRONG,WRONG,0,1,True,gemma_8001_cat5_runs/cat5_20260623/appendix_deepseek_judge_cat5/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa159,adversarial,WRONG,WRONG,0,1,True,gemma_8001_cat5_runs/cat5_20260623/appendix_deepseek_judge_cat5/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa160,adversarial,WRONG,WRONG,0,1,True,gemma_8001_cat5_runs/cat5_20260623/appendix_deepseek_judge_cat5/records.jsonl:generated_answer
gemma4_12b,evermemos,locomo,conv-26_qa161,adversarial,WRONG,CORRECT,1,0,True,gemma_8001_cat5_runs/cat5_20260623/appendix_deepseek_judge_cat5/records.jsonl:generated_answer
