key,model,qid,question_type,fact_id,fact_text,audit_stratum,extracted_entities,active_entity_keys,independent_expected_entities,independent_precision_verdict,independent_recall_verdict,confidence,independent_notes
Qwen3-30B::gpt4_d84a3211::fact_a1971cf8eea9edee,Qwen3-30B,gpt4_d84a3211,multi-session,fact_a1971cf8eea9edee,The user believes the cooking class helped their children develop an appreciation for Hawaiian culture and cuisine.,multi_session_active,cooking class | children | Hawaiian culture | Hawaiian cuisine,cooking_class,cooking class | Hawaiian culture | Hawaiian cuisine,PASS,PARTIAL,high,"The active entity 'cooking_class' is supported and useful. However, 'Hawaiian culture' and 'Hawaiian cuisine' are salient expected entities not covered by active keys, leading to partial recall. 'children' is not a reusable entity scope in this context and is not considered an expected entity per the criteria."
Qwen3-30B::157a136e::fact_2ff2497e87b6685c,Qwen3-30B,157a136e,multi-session,fact_2ff2497e87b6685c,"The assistant suggested redeeming the rewards points for a general gift card such as Amazon, Visa, or Mastercard if no specific options exist for customized mugs or tea infusers.",multi_session_active,general gift card | Amazon | Visa | Mastercard | $25 in rewards points,amazon | visa,Amazon | Visa | Mastercard,PASS,PARTIAL,high,"The expected entities are the named financial or retail brands (Amazon, Visa, Mastercard) that are explicitly mentioned as redeemable options. 'General gift card' is a category, not a specific entity, and '25_in_rewards_points' is a quantified attribute, not a reusable entity. The active keys 'amazon' and 'visa' are both supported and useful. 'Mastercard' is a salient expected entity but not active, so recall is partial. No other salient entities are missing from the expected list."
Qwen3-30B::gpt4_372c3eed::fact_7e70aa340c0e4511,Qwen3-30B,gpt4_372c3eed,multi-session,fact_7e70aa340c0e4511,"The assistant recommends organizing board games by genre, including strategy, party, cooperative, and competitive games.",multi_session_active,board games | genre,board_games,board games | strategy games | party games,PASS,PARTIAL,high,"The active entity 'board_games' is supported and useful. 'strategy games' and 'party games' are salient expected entities implied by the fact but not active. 'cooperative games' and 'competitive games' are also relevant but not explicitly named as distinct entities; however, they are subtypes of genre, so their omission is acceptable given the scope. 'genre' is not a standalone entity but a category, so it is not expected as a primary entity. The active key 'board_games' is precise and relevant, so precision is PASS. Recall is PARTIAL because two salient expected entities ('strategy games', 'party games') are not active, though 'board_games' is."
Qwen3-30B::efc3f7c2::fact_2fb24aa47fffd17a,Qwen3-30B,efc3f7c2,multi-session,fact_2fb24aa47fffd17a,The Sunday Riley Power Couple contains antioxidants such as ferulic acid and green tea extract to protect the skin from environmental stressors.,multi_session_lazy_only,Sunday Riley Power Couple | ferulic acid | green tea extract,,Sunday Riley Power Couple | ferulic acid | green tea extract,NOT_APPLICABLE,FAIL,high,"No active entity keys are present, yet all three expected entities are salient and supported by the fact. The absence of active keys means recall fails, as no salient expected entity is covered. Precision is not applicable since there are no active keys to evaluate."
Qwen3-30B::a96c20ee_abs::fact_67c80981d55634f3,Qwen3-30B,a96c20ee_abs,multi-session,fact_67c80981d55634f3,The user must obtain API keys from Interactive Brokers to set up the API connection for use with IB_insync and TensorTrade.,multi_session_lazy_only,API keys | Interactive Brokers | IB_insync | TensorTrade,,Interactive Brokers | IB_insync | TensorTrade,NOT_APPLICABLE,FAIL,high,"The active_entity_keys are empty, but the fact explicitly references three salient expected entities: Interactive Brokers (organization), IB_insync (named product), and TensorTrade (named product). Since no active keys are present, recall fails. Precision is NOT_APPLICABLE because there are no active keys to evaluate. The expected entities are clearly supported by the fact and are reusable, long-term memory scopes."
Qwen3-30B::c18a7dc8::fact_32cc9fbe934aac39,Qwen3-30B,c18a7dc8,multi-session,fact_32cc9fbe934aac39,The assistant recommended Mysterium as a cooperative board game where one player acts as a ghost guiding others to solve a murder mystery using symbolic clues.,multi_session_lazy_only,Mysterium | cooperative | ghost | murder mystery,,Mysterium | ghost | murder mystery,NOT_APPLICABLE,FAIL,high,"The active_entity_keys are empty, yet the fact explicitly supports three salient expected entities: 'Mysterium' (named product), 'ghost' (role in the game), and 'murder mystery' (titled work/event theme). Since no expected entities are active, recall fails. Precision is not applicable because there are no active keys to evaluate."
Qwen3-30B::eeda8a6d_abs::fact_3b1593d15c4521e4,Qwen3-30B,eeda8a6d_abs,multi-session,fact_3b1593d15c4521e4,"The assistant invited the user to keep them posted on the outcome of the flapper replacement and offered continued support on May 22, 2023.",multi_session_lazy_only,user progress | continued support,,,NOT_APPLICABLE,NOT_APPLICABLE,high,"The fact does not contain any specific, reusable person, place, organization, named product, titled work, or named event. The terms 'user progress' and 'continued support' are generic and task-specific, not representing long-term memory scopes. No active entity keys are present, and no salient expected entities are identifiable. Therefore, neither precision nor recall is applicable."
Qwen3-30B::6d550036::fact_24436376ee81364e,Qwen3-30B,6d550036,multi-session,fact_24436376ee81364e,"The assistant suggested educational content about cleaning tips and tricks, such as how to remove stains, organize cluttered spaces, and make natural cleaning products.",multi_session_lazy_only,cleaning tips | stain removal | natural cleaning products,,cleaning tips | stain removal | natural cleaning products,NOT_APPLICABLE,FAIL,high,"No active entity keys are present, yet the fact explicitly supports three salient expected entities: 'cleaning tips', 'stain removal', and 'natural cleaning products'. Since none of these are active, recall fails. Precision is not applicable because there are no active keys to evaluate."
Qwen3-30B::a1cc6108::fact_be20c6a55b911208,Qwen3-30B,a1cc6108,multi-session,fact_be20c6a55b911208,"The user paused the conversation on May 27, 2023, at 11:22 AM UTC+00:00 to attend to personal tasks.",multi_session_lazy_only,maintenance closet | vent cover | hallway,,,NOT_APPLICABLE,NOT_APPLICABLE,high,"The fact mentions a date and time (May 27, 2023, at 11:22 AM UTC+00:00) and an action (pausing the conversation), but no specific person, place, organization, product, work, or named event is explicitly named or salient. The extracted entities (maintenance closet, vent cover, hallway) are ordinary spatial features and not reusable, specific entities. Since no expected entity is present and no active keys are provided, neither precision nor recall applies."
Qwen3-30B::46a3abf7::fact_0f058a37c26c97ce,Qwen3-30B,46a3abf7,multi-session,fact_0f058a37c26c97ce,"The user proposed a 12-week training plan for the Disney Princess Half Marathon, divided into three phases: Weeks 1-4, Weeks 5-8, and Weeks 9-12.",multi_session_lazy_only,Disney Princess Half Marathon | 12-week training plan,,Disney Princess Half Marathon | 12-week training plan,NOT_APPLICABLE,FAIL,high,"The active_entity_keys are empty, yet the fact explicitly supports two salient expected entities: 'Disney Princess Half Marathon' and '12-week training plan'. Since no expected entities are active, recall fails. Precision is not applicable because there are no active keys to evaluate."
Qwen3-30B::129d1232::fact_57b583197766db66,Qwen3-30B,129d1232,multi-session,fact_57b583197766db66,"Atelier des Chefs is a cooking school in Paris that offers classes, workshops, and cooking demonstrations taught in French, but English-speaking chefs are available to teach.",multi_session_lazy_only,Atelier des Chefs | Paris | French | English-speaking chefs,,Atelier des Chefs | Paris | English-speaking chefs,NOT_APPLICABLE,FAIL,high,"The active_entity_keys are empty, so precision is not applicable. However, the fact explicitly supports three salient expected entities: 'Atelier des Chefs' (a specific cooking school), 'Paris' (a specific location), and 'English-speaking chefs' (a specific group of instructors). None of these are active, so recall fails. The entity 'French' is an attribute, not a reusable entity scope, and thus not an expected entity."
Qwen3-30B::6c49646a::fact_8800c0177e6808fa,Qwen3-30B,6c49646a,multi-session,fact_8800c0177e6808fa,"The Grill at Meadowood serves contemporary American cuisine with a focus on seasonal ingredients, prepared by Chef Victoria Blachly.",multi_session_lazy_only,The Grill at Meadowood | Chef Victoria Blachly,,The Grill at Meadowood | Chef Victoria Blachly,NOT_APPLICABLE,FAIL,high,"The active_entity_keys are empty, but two salient expected entities are present in the fact: 'The Grill at Meadowood' (a restaurant) and 'Chef Victoria Blachly' (a person). Since no active keys are present, recall fails. Precision is not applicable because there are no active keys to evaluate."
Qwen3-30B::c18a7dc8::fact_78ee14d6d1c14a77,Qwen3-30B,c18a7dc8,multi-session,fact_78ee14d6d1c14a77,Stephen Hoye is the narrator of the audiobook 'The Emperor of All Maladies: A Biography of Cancer' by Siddhartha Mukherjee.,multi_session_lazy_only,The Emperor of All Maladies: A Biography of Cancer | Siddhartha Mukherjee | Stephen Hoye,,Siddhartha Mukherjee | Stephen Hoye | The Emperor of All Maladies: A Biography of Cancer,NOT_APPLICABLE,FAIL,high,"No active_entity_keys are present, so precision is NOT_APPLICABLE. However, all three salient expected entities—Siddhartha Mukherjee (author), Stephen Hoye (narrator), and the audiobook title—are explicitly supported by the fact and are reusable, meaningful long-term memory scopes. Since none are active, recall fails."
Qwen3-30B::eeda8a6d_abs::fact_6ebcc9657c40573b,Qwen3-30B,eeda8a6d_abs,multi-session,fact_6ebcc9657c40573b,"The assistant advised using rocks and coral to create different levels and heights around the treasure chest to allow fish to swim up and down and explore various areas in the aquarium on May 28, 2023.",multi_session_lazy_only,rocks | coral | treasure chest | aquarium,,aquarium | coral | treasure chest,NOT_APPLICABLE,FAIL,high,"No active entity keys are present, yet the fact explicitly references three salient expected entities: 'aquarium', 'coral', and 'treasure chest'. Since no entity is active, recall fails. Precision is not applicable because there are no active keys to evaluate."
Qwen3-30B::80ec1f4f_abs::fact_b8e7d25cc1901bcb,Qwen3-30B,80ec1f4f_abs,multi-session,fact_b8e7d25cc1901bcb,The user has been reading more regularly and is motivated to start a book journal to document their reading journey.,multi_session_lazy_only,reading | book journal,,book journal | reading,NOT_APPLICABLE,FAIL,high,"The active_entity_keys are empty, but the fact explicitly supports two salient expected entities: 'book journal' and 'reading'. Since no expected entities are active, recall fails. Precision is not applicable because there are no active keys to evaluate."
Qwen3-30B::aae3761f::fact_5ea17a0b51d3bb99,Qwen3-30B,aae3761f,multi-session,fact_5ea17a0b51d3bb99,"The assistant recommended packing snacks, water, and entertainment for the road to make the 7-8 hour drive more comfortable.",multi_session_lazy_only,snacks | water | entertainment,,,NOT_APPLICABLE,NOT_APPLICABLE,high,"The fact describes general recommendations for a road trip but does not mention any specific, reusable entity such as a person, place, organization, named product, titled work, or named event. The extracted entities (snacks, water, entertainment) are generic categories rather than specific, reusable entities. Since no active entity keys are present and no salient expected entities are identified, neither precision nor recall is applicable."
Qwen3-30B::46a3abf7::fact_8d93a45f17890613,Qwen3-30B,46a3abf7,multi-session,fact_8d93a45f17890613,"The assistant recommended considering a flat and fast course with scenic views, shaded areas, or unique features like running through a park or alongside a waterfront.",multi_session_lazy_only,course layout | scenic views | park | waterfront,,park | waterfront | scenic views,NOT_APPLICABLE,FAIL,high,"The active_entity_keys are empty, so precision is not applicable. However, the fact explicitly mentions 'park', 'waterfront', and 'scenic views' as salient expected entities, all of which are supported by the fact and would form useful long-term memory scopes. Since none of these are active, recall fails."
Qwen3-30B::d3ab962e::fact_f2aa4120f9850a34,Qwen3-30B,d3ab962e,multi-session,fact_f2aa4120f9850a34,"Amazon offers a wide selection of safety razors from various brands, including customer reviews and fast shipping.",multi_session_lazy_only,Amazon | safety razors,,Amazon | safety razors,NOT_APPLICABLE,FAIL,high,"The active_entity_keys are empty, but the fact explicitly supports two salient expected entities: 'Amazon' (organization) and 'safety razors' (named product). Since no active keys are present, recall fails. Precision is not applicable because there are no active keys to evaluate."
Qwen3-30B::a11281a2::fact_191e92890c42c90b,Qwen3-30B,a11281a2,multi-session,fact_191e92890c42c90b,"The user expressed interest in upcycling old jeans to reduce waste on May 23, 2023.",multi_session_lazy_only,old jeans | upcycling,,,NOT_APPLICABLE,NOT_APPLICABLE,high,"The fact mentions 'old jeans' and 'upcycling' as extracted entities, but the active_entity_keys are empty. No expected entities are explicitly supported as reusable semantic scopes (e.g., a specific person, place, organization, product, work, or named event). 'Old jeans' is a generic description, and 'upcycling' is a general practice, not a named or reusable entity. Since no salient expected entity is present, neither precision nor recall applies. The audit stratum is multi_session_lazy_only, which further suggests that no active routing is expected."
Qwen3-30B::92a0aa75::fact_cfa102bbfd1a0e2c,Qwen3-30B,92a0aa75,multi-session,fact_cfa102bbfd1a0e2c,"The schema enables tracking and analysis of crawl events, errors, and relationships between websites.",multi_session_lazy_only,crawl events | website relationships | error tracking,,crawl events | error tracking | website relationships,NOT_APPLICABLE,FAIL,high,"No active entity keys are present, but the fact explicitly supports three salient expected entities: 'crawl events', 'error tracking', and 'website relationships'. Since none of these are active, recall fails. Precision is not applicable because there are no active keys to evaluate."
Qwen3-30B::7024f17c::fact_7111f9a7ea547cd8,Qwen3-30B,7024f17c,multi-session,fact_7111f9a7ea547cd8,"The user is currently deeply engaged with the 'Hamilton' musical soundtrack, listening to it non-stop on Spotify as of May 21, 2023.",multi_session_lazy_only,Hamilton | Spotify,,Hamilton (musical) | Spotify,NOT_APPLICABLE,FAIL,high,"The fact explicitly references 'Hamilton' musical soundtrack and Spotify as the platform. Both 'Hamilton (musical)' and 'Spotify' are salient expected entities. However, no active_entity_keys are present, so recall fails. Precision is not applicable because there are no active keys to evaluate."
Qwen3-30B::gpt4_e05b82a6::fact_acb527998a54cee2,Qwen3-30B,gpt4_e05b82a6,multi-session,fact_acb527998a54cee2,"The assistant noted that configmaps are commonly used to store configuration data for applications in Kubernetes, which can be mounted into pods as files or environment variables on November 4, 2023.",multi_session_lazy_only,configmaps | Kubernetes,,"configmaps | Kubernetes | November 4, 2023",NOT_APPLICABLE,FAIL,high,"The active_entity_keys are empty, so precision is not applicable. However, the fact explicitly mentions 'configmaps' and 'Kubernetes' as salient expected entities, and 'November 4, 2023' names a specific event (a date that may mark a notable occurrence in the context). Since no active entity keys are present, recall fails. The expected entities are supported by the fact and are reusable, long-term memory scopes."
Qwen3-30B::87f22b4a::fact_4ca34f081ff8201b,Qwen3-30B,87f22b4a,multi-session,fact_4ca34f081ff8201b,"Traditional Cherokee clay pots were often unglazed and handmade, passed down through generations.",multi_session_lazy_only,clay pots | Cherokee cooking | Three Sisters Soup,,Cherokee clay pots | Cherokee cooking | Three Sisters Soup,NOT_APPLICABLE,FAIL,high,"No active entity keys are present, so precision is not applicable. However, the fact explicitly supports three salient expected entities: 'Cherokee clay pots', 'Cherokee cooking', and 'Three Sisters Soup'. Since none of these are active, recall fails. The candidate states are all 'lazy', indicating no active routing, which aligns with the lack of active keys."
Qwen3-30B::07b6f563::fact_9b439e3f08cf846e,Qwen3-30B,07b6f563,single-session-preference,fact_9b439e3f08cf846e,The assistant suggests a cooking class or workshop with a professional chef as a unique and memorable gift for a cooking enthusiast.,other_multi_entity,cooking class | workshop | professional chef,,cooking class | workshop | professional chef,NOT_APPLICABLE,FAIL,high,"No active entity keys are present, yet the fact explicitly supports three salient expected entities: 'cooking class', 'workshop', and 'professional chef'. Since no entity is active, recall fails. Precision is not applicable because there are no active keys to evaluate."
Qwen3-30B::c4ea545c::fact_e0b6b08d117d602d,Qwen3-30B,c4ea545c,knowledge-update,fact_e0b6b08d117d602d,Blent Media provides a complimentary demo of its services to help tech startups experience the value of a professional brand identity before committing.,other_multi_entity,Blent Media | free demo | brand identity,,Blent Media | brand identity | free demo,NOT_APPLICABLE,FAIL,high,"No active entity keys are present, so precision is not applicable. However, the fact explicitly supports three salient expected entities: 'Blent Media' (organization), 'brand identity' (titled work/concept), and 'free demo' (named service offering). Since none of these are active, recall fails."
Qwen3-30B::8a137a7f::fact_dbafe2a35343146c,Qwen3-30B,8a137a7f,single-session-user,fact_dbafe2a35343146c,Whales contribute to ocean nutrient cycling by releasing excrement that promotes the growth of phytoplankton and krill.,other_multi_entity,whales | phytoplankton | krill,,whales | phytoplankton | krill,NOT_APPLICABLE,FAIL,high,"The active_entity_keys are empty, yet the fact explicitly supports three salient expected entities: whales, phytoplankton, and krill. These are reusable, named biological entities directly involved in a key ecological process. Since no expected entities are active, recall fails. Precision is not applicable because there are no active keys to evaluate."
Qwen3-30B::dccbc061::fact_a02fa21854455285,Qwen3-30B,dccbc061,single-session-user,fact_a02fa21854455285,"The assistant listed 7 early spring migrant bird species expected at Raven's Peak State Park in early April 2023: Ruby-crowned Kinglet, Pine Warbler, Yellow Warbler, Palm Warbler, Northern Parula, Chipping Sparrow, and Broad-winged Hawk.",other_multi_entity,Ruby-crowned Kinglet | Pine Warbler | Yellow Warbler | Palm Warbler | Northern Parula | Chipping Sparrow | Broad-winged Hawk | Raven's Peak State Park,,Raven's Peak State Park | Ruby-crowned Kinglet | Pine Warbler,NOT_APPLICABLE,FAIL,high,"The active_entity_keys are empty, so precision is NOT_APPLICABLE. However, the fact explicitly mentions seven bird species and a specific state park, all of which are salient expected entities. Since no active keys are present, recall fails. The expected entities include the park and three representative bird species (Ruby-crowned Kinglet, Pine Warbler, and Yellow Warbler are all equally salient; however, only three are listed as expected to maintain conciseness and avoid overreach). The full list of species is supported, but the absence of any active keys means no entity is being routed, hence recall FAIL."
Qwen3-30B::4100d0a0::fact_5e86367527db210e,Qwen3-30B,4100d0a0,single-session-user,fact_5e86367527db210e,Ammonites used their chambered shells to regulate buoyancy by filling the chambers with gas and adjusting the gas levels to maintain depth in the water.,other_multi_entity,ammonites | chambered shells | gas regulation,,ammonites | chambered shells | buoyancy regulation in ammonites,NOT_APPLICABLE,FAIL,high,"The active_entity_keys are empty, so precision is not applicable. However, the fact explicitly supports three salient expected entities: 'ammonites' (a specific extinct group of marine mollusks), 'chambered shells' (a key anatomical feature), and 'buoyancy regulation in ammonites' (a functional mechanism tied to the shell). Since none of these are active, recall fails. The entity 'gas regulation' is too generic and not a standalone expected entity; the correct scope is the functional use of gas in buoyancy control."
