key,question,gold_answer,proposed_temporal_type,independent_temporal_type,proposed_gold_fact_ids,independent_gold_fact_ids,proposed_conflict_fact_ids,independent_conflict_fact_ids,temporal_type_valid,gold_ids_valid,conflict_ids_valid,proposed_label_valid,confidence,type_exact_match,gold_ids_exact_match,conflict_ids_exact_match,independent_gold_conflict_overlap,author_signoff_required,independent_notes
locomo::conv-41_qa020,When did John take a road trip to the Pacific Northwest?,2022,historical-state,historical-state,fact_15d95c357df85dee;fact_3cd0c005b2b9b9ae;item_043154a720b5ce9e;item_95f57b7e8e14ed48;item_a689f0ffa250393c,fact_15d95c357df85dee;fact_3cd0c005b2b9b9ae;item_043154a720b5ce9e;item_95f57b7e8e14ed48;item_a689f0ffa250393c,,,True,True,True,True,high,True,True,True,,False,"Gold facts consistently identify a 2022 road trip involving John, aligning with the gold answer. 'Last year' and '2022' anchor the event. No conflicting dates or states exist. The target event is a single dated occurrence, fitting 'historical-state'."
locomo::conv-41_qa027,When did John have a party with veterans?,The Friday before 20 May 2023,ordering,historical-state,fact_0f951d76148f81a1;fact_579c9d0dc6ce8b7c;fact_e58934e6be413714;item_5c851f97b1c56d4e;item_d33341e417820780,fact_0f951d76148f81a1;fact_579c9d0dc6ce8b7c;fact_e58934e6be413714;item_5c851f97b1c56d4e;item_d33341e417820780,,,True,True,True,True,high,False,True,True,,True,"The gold facts directly identify John hosting a party for veterans on May 20, 2023, aligning with the gold answer. The Friday before May 20, 2023, is May 19, 2023, confirmed by item_d33341e417820780. No conflicting dates or orders exist. The temporal type is historical-state, as the query asks for a specific past date. No ordering or current-vs-old comparison is needed."
locomo::conv-41_qa031,When did John get his dog Max?,In 2013,historical-state,historical-state,fact_243e2c33bec9cf63;item_b1ce8c8b17d762af,fact_243e2c33bec9cf63;item_b1ce8c8b17d762af,fact_1bcb5dc59aa156f2;fact_2352ac5fb07f570c;fact_852ed0a3c3b7e423;item_4d32ba70158ac049;item_aa8df1a53c3af696;item_d7f47516c318afa5,fact_1bcb5dc59aa156f2;fact_2352ac5fb07f570c;fact_852ed0a3c3b7e423;item_4d32ba70158ac049;item_aa8df1a53c3af696;item_d7f47516c318afa5,True,True,True,True,high,True,True,True,,False,"Gold facts establish Max's 10-year family membership ending June 3, 2023, supporting 2013 acquisition. Conflicts include inconsistent ownership claims and dates, but no direct temporal contradiction. All facts target the same event. No ordering or current-vs-old comparison needed. Valid historical-state classification."
locomo::conv-41_qa056,When did John participate in a 5K charity run?,first weekend of August 2023,ordering,historical-state,fact_925e8fd8db087978;fact_9ee0324f4f818591;item_19f8d4ca51240a83;item_966945477aca5936,fact_925e8fd8db087978;fact_9ee0324f4f818591;item_19f8d4ca51240a83;item_966945477aca5936,fact_8b6821c3a0475304,fact_8b6821c3a0475304,True,True,True,True,high,False,True,True,,True,"Gold facts confirm John organized a 5K charity run in his neighborhood on or before August 9, 2023, aligning with the gold answer. The conflict fact states John organized the run but lacks a date, creating ambiguity. No ordering or current-vs-old comparison is needed. All facts are consistent with historical-state classification."
locomo::conv-42_qa008,When did Nate get his first two turtles?,2019,ordering,historical-state,item_55afb666e2f0ec10;item_5d6907fbc1f172fd,item_55afb666e2f0ec10;item_5d6907fbc1f172fd,fact_0d79fcb0e8aa0452;fact_5b0507fb2874e05f;fact_684393ce8f95cfe1;item_3ff2dcbe43289851;item_e6abbfdf40834530,fact_0d79fcb0e8aa0452;fact_5b0507fb2874e05f;fact_684393ce8f95cfe1;item_3ff2dcbe43289851;item_e6abbfdf40834530,True,True,True,True,high,False,True,True,,True,"Gold facts establish Nate owned two turtles by Jan 23, 2022, and had owned them for 3 years. Conflict facts state ownership at later dates (Oct 25, Sep 5, Nov 11, Nov 9, 2022), implying acquisition before 2019. The target event (first two turtles) is a single past state, not a sequence or comparison. Ordering is incorrect; historical-state fits best."
locomo::conv-42_qa015,When did Nate get purple hair?,"The week before 15April, 2022.",ordering,historical-state,item_6b74a4caeb182fbc;item_dffa45f621638781,item_6b74a4caeb182fbc;item_dffa45f621638781,fact_5b1265865c7f7e8d;fact_6a0d4376c14048fa,fact_5b1265865c7f7e8d;fact_6a0d4376c14048fa,True,True,True,True,high,False,True,True,,True,"The gold facts confirm purple hair on April 15, 2022, aligning with 'the week before 15April, 2022'. The conflict facts state 'as of April 15, 2022' for dyeing, which is consistent with the gold answer. No incompatible dates or orders exist. The temporal type should be historical-state, not ordering, as no relative timing or sequence is required."
locomo::conv-42_qa026,When did Nate win his third tourney?,"The week before 3June, 2022",ordering,ordering,item_131be2fea6caa75c;item_56edc3a93ad3bf7f,item_131be2fea6caa75c;item_56edc3a93ad3bf7f,,fact_412ffe73cc0c9754;fact_72d328c556473ad6;item_e9a133e40a27add3,True,True,True,True,high,True,True,False,,True,"Gold facts identify Nate's third tournament in the week before June 3, 2022. Conflicts include direct claims of winning on June 3, 2022, contradicting the required 'week before June 3'. The temporal type 'ordering' is correct as the task requires sequencing relative to June 3, 2022."
locomo::conv-42_qa029,When is Joanna going to make Nate's ice cream for her family?,"The weekend of 24June, 2022.",historical-state,historical-state,item_cbd82196539dc06c;item_d2f0a77ef667e5a1,item_cbd82196539dc06c;item_d2f0a77ef667e5a1,item_2eaad62cfcbab0cc;item_5f46daca766f207f;item_749cfc6f97a5bddc;item_a8233be32d156dd5;item_a962452ac1562031;item_ab7b883e0d2aef64,item_2eaad62cfcbab0cc;item_5f46daca766f207f;item_749cfc6f97a5bddc;item_a8233be32d156dd5;item_a962452ac1562031,True,True,True,True,high,True,True,False,,True,"Gold facts confirm Nate made vegan ice cream on June 17, 2022, and Joanna planned to try it on April 17, 2022—both support the weekend of June 24, 2022. Conflicts involve unrelated dates or events (e.g., November 11, 2022, or April 17, 2022) that do not contradict the target date. No facts directly conflict with the gold answer. Temporal type 'historical-state' is appropriate for a single specified date."
locomo::conv-42_qa033,When did someone write Joanna a touching letter?,"The week before 14August, 2022.",ordering,historical-state,item_2c89082b0195c7e9;item_cdfb2f0df58a3969,item_2c89082b0195c7e9;item_cdfb2f0df58a3969,,,True,True,True,True,high,False,True,True,,True,"The gold facts directly support the answer: a letter was received during the week of August 7, 2022, which aligns with 'the week before 14 August 2022'. No conflicting facts about the same event exist. The temporal operation is a direct lookup of a past event, fitting 'historical-state'."
locomo::conv-42_qa041,When did Joanna make a chocolate tart with raspberries?,"5 October, 2022",historical-state,historical-state,fact_b24a147aa1d42fdd;item_0cefc708bc72f13f,fact_b24a147aa1d42fdd;item_0cefc708bc72f13f,fact_153caaf980b06715;fact_355d1dc418aabfcf;item_65b85455fc13c0e2;item_a0b5d80aa3621a53;item_b915c0864b0ace6b;item_fcdc46318367e43c,fact_b24a147aa1d42fdd;item_0cefc708bc72f13f,True,True,False,False,high,True,True,False,fact_b24a147aa1d42fdd;item_0cefc708bc72f13f,True,"Gold facts correctly identify the tart made on October 5, 2022. Conflict list incorrectly includes gold facts. Conflicts must differ in date/order/answer; here, no incompatible claims exist. Only one valid gold fact (item_0cefc708bc72f13f) supports the answer. Remove gold facts from conflict list. Final conflict list should be empty."
locomo::conv-42_qa054,When was Joanna's second movie script shown on the big screens?,"The Sunday before 25October, 2022.",ordering,ordering,fact_06c8087343fc659f;item_031ed6195763195f;item_a3bf402e40c5bb00,fact_06c8087343fc659f;item_031ed6195763195f;item_a3bf402e40c5bb00,fact_06137e99e7e81ef9;fact_b462ec2efe8841c1;fact_e77291a801145502;item_6714808a0ab2a63b;item_a53a54b385ef64d7;item_b9ce82b7b273c430,fact_06137e99e7e81ef9;fact_b462ec2efe8841c1;fact_e77291a801145502;item_6714808a0ab2a63b;item_a53a54b385ef64d7;item_b9ce82b7b273c430,True,False,False,False,low,True,True,True,,True,"Gold facts must directly support the gold answer. 'item_a3bf402e40c5bb00' (2019) is irrelevant to the 2022 premiere. 'item_031ed6195763195f' and 'fact_06c8087343fc659f' are consistent but do not specify the Sunday before October 25, 2022. Conflicts are not incompatible with gold; e.g., 'fact_06137e99e7e81ef9' (Nov 7) is not a conflict with the answer. Temporal type 'ordering' is incorrect; the task requires a specific date, not sequence."
locomo::conv-42_qa072,When did Joanna plan on going to Nate's to watch him play with his turtles?,"10 November, 2022",historical-state,historical-state,fact_1dd2aabbcd28ed29;fact_33135455d5d7bf98;fact_b3430541edad1b07;item_66044f38b1943a73;item_71a33ed37392956a;item_9f1971d35919b607;item_e3a5b7361c6cbb30,fact_1dd2aabbcd28ed29;fact_33135455d5d7bf98;fact_b3430541edad1b07;item_0d0568ba48b3bc27;item_66044f38b1943a73;item_71a33ed37392956a;item_9f1971d35919b607,fact_d1bd3c4b0d338b56;fact_ef1e068f6a2af62b;item_0d0568ba48b3bc27;item_bea94e7f507f6203;item_de4c54c57077fa28,fact_d1bd3c4b0d338b56;fact_ef1e068f6a2af62b;item_0d0568ba48b3bc27;item_bea94e7f507f6203;item_de4c54c57077fa28,True,True,False,False,low,True,False,True,item_0d0568ba48b3bc27,True,"Conflicts must contradict the gold answer on the same target. 'item_0d0568ba48b3bc27' (March 18, 2022) is irrelevant to the visit plan. 'fact_d1bd3c4b0d338b56' (Feb 7, 2022) and 'fact_ef1e068f6a2af62b' (Apr 21, 2022) are unrelated. Only 'item_66044f38b1943a73' and 'item_71a33ed37392956a' (Nov 9, 2022) are relevant. Gold list exceeds 8; conflict list contains non-conflicting facts."
locomo::conv-43_qa020,Which city was John in before traveling to Chicago?,Seattle,ordering,ordering,fact_45d752efeced2f7c;item_7b2e8d3be044200b;item_df8fd592342bb3f9,fact_45d752efeced2f7c;item_7b2e8d3be044200b;item_df8fd592342bb3f9,,,True,True,True,True,high,True,True,True,,False,"Gold facts confirm John's positive association with Seattle as of July 16, 2023, supporting Seattle as his prior city. No conflicting facts about location order exist. The question requires ordering of travel events, justifying 'ordering' type. No valid conflicts identified."
locomo::conv-43_qa039,What year did Tim go to the Smoky Mountains?,2022,historical-state,historical-state,item_6b6854e1c200ce0e,item_6b6854e1c200ce0e,,,True,True,True,True,high,True,True,True,,False,"The gold fact directly states Tim's trip to the Smoky Mountains in 2022, matching the gold answer. No other fact contradicts this date for the same event. Other facts are about different trips, interests, or times, and do not conflict. The label 'historical-state' is appropriate as the query asks for a specific past event with a known date."
locomo::conv-43_qa046,Where was Tim in the week before 16 November 2023?,UK,ordering,historical-state,item_283dd1b56103e11d;item_80cb7a653c1106a2,item_283dd1b56103e11d,,,True,True,True,True,high,False,False,True,,True,"The question asks for Tim's location in the week before 16 November 2023. Fact 'item_283dd1b56103e11d' directly states he was in the UK on 10 November 2023, which falls in the target window. No conflicting facts about location exist. Other facts are about studies, exams, or unrelated events. The temporal type is historical-state, not ordering, as no sequence or comparison is required."
locomo::conv-43_qa047,When did John get married at a greenhouse?,last week of September 2023,current-vs-old,historical-state,item_696a45cf60711e08;item_699e3714e9cabf9b;item_eb7ebd4d827556e3;item_f51559466526d34e,item_696a45cf60711e08;item_699e3714e9cabf9b;item_eb7ebd4d827556e3;item_f51559466526d34e,item_92639ba9cc8c0e42;item_eeeb2dcf5df6cfd1,item_92639ba9cc8c0e42;item_eeeb2dcf5df6cfd1,True,True,True,True,high,False,True,True,,True,"Gold facts confirm the wedding occurred in late September 2023 at a greenhouse. Conflict facts state marriage as of November 11, 2023, and a December photoshoot, contradicting the timeline. No ordering or current-vs-old comparison is needed. Temporal type is correctly historical-state."
locomo::conv-43_qa054,When did John take a trip to the Rocky Mountains?,2022,historical-state,historical-state,item_2a7a5239aee02d68;item_6b6854e1c200ce0e,item_2a7a5239aee02d68,fact_dc3e44c210bd664d,fact_dc3e44c210bd664d,True,True,True,True,high,True,False,True,,True,Only 'item_2a7a5239aee02d68' directly supports the gold answer (2022). 'fact_dc3e44c210bd664d' conflicts by placing the trip in Dec 2023. 'item_6b6854e1c200ce0e' is irrelevant (Tim's trip). All other facts are either irrelevant or not time-specific enough. Temporal type 'historical-state' is appropriate for a single dated event.
locomo::conv-43_qa069,When will Tim leave for Ireland?,"February, 2024",historical-state,historical-state,fact_40044a3f0e79ccba;item_0abcd095d346b5f4,fact_40044a3f0e79ccba;item_0abcd095d346b5f4,,,True,True,True,True,high,True,True,True,,False,"The gold facts directly state Tim's plan to go to Ireland in February 2024, aligning with the gold answer. The duplicate IDs refer to the same fact. No conflicting facts exist; other events are unrelated or refer to different destinations/times. The temporal type 'historical-state' is appropriate as the query asks for a specific past/future date without comparison or ordering."
locomo::conv-44_qa005,When did Audrey see a hummingbird?,first week of May 2023,ordering,historical-state,item_0500e26422491f7e;item_431f3ce9dcc020d9,fact_12865f1a62ee1e01;item_20250916cfef723e,,,True,True,True,True,high,False,False,True,,True,"The gold answer specifies a date in May 2023. Fact 'item_20250916cfef723e' directly states Audrey observed a hummingbird during the week of April 26, 2023, which conflicts with the gold answer. However, 'fact_12865f1a62ee1e01' states the same event with a different date (April 26, 2023), making it a conflict. The proposed gold facts are irrelevant. The correct temporal type is historical-state, as the question asks for a specific past time. No valid conflicts exist; the proposed conflict list is empty but should include the April 26 fact."
locomo::conv-44_qa010,When did Audrey's positive reinforcement training course for dogs take place?,"June, 2023",historical-state,historical-state,item_2790a25ffaa0bba5;item_be0e43befd30e96e,item_2790a25ffaa0bba5;item_be0e43befd30e96e,fact_1154d42659ecfaf4;fact_3450ea9aa0d7e50b;fact_48ade0de394e34d4;fact_6fe3b4383a0c5973;item_e0a64cbaa45354a5;item_e27dfbcce8c24b68,fact_1154d42659ecfaf4;fact_3450ea9aa0d7e50b;fact_48ade0de394e34d4;fact_6fe3b4383a0c5973;item_e0a64cbaa45354a5;item_e27dfbcce8c24b68,True,True,True,True,high,True,True,True,,False,"Only 'item_2790a25ffaa0bba5' (June 2023 course) and 'item_be0e43befd30e96e' (May 11, 2023 advocacy) are gold. Others are either irrelevant or not conflicting. 'item_e27dfbcce8c24b68' and 'item_e0a64cbaa45354a5' are consistent with gold. Conflicts are invalid as they don't contradict the gold answer. Corrected gold: only item_2790a25ffaa0bba5. Conflict list overbroad."
locomo::conv-44_qa022,Where did Andrew go during the first weekend of August 2023?,camping with girlfriend,ordering,historical-state,fact_d8fe36d8b0a65fb1;item_45e7887381aaf8b3;item_6dfe3e51afc3a0e3;item_a9787ab464fb8e8a,fact_d8fe36d8b0a65fb1;item_45e7887381aaf8b3;item_6dfe3e51afc3a0e3;item_a9787ab464fb8e8a,,,True,True,True,True,high,False,True,True,,True,"The gold facts confirm Andrew's weekend activity in August 2023, with consistent details about fishing with his girlfriend. The target event is a single dated occurrence, not requiring ordering or comparison. No conflicting facts about the same event exist. The proposed 'ordering' type is incorrect; this is a direct historical-state lookup."
locomo::conv-44_qa055,When did Andrew make his dogs a fun indoor area?,"few days before November 22, 2023",ordering,historical-state,fact_d23d439244bd54af;item_06544fb3ac130cd2;item_30703760ffe974b2;item_6f1b5be68f073537;item_93c65a245d6587d0;item_e2a7c405a0b2b007,fact_d23d439244bd54af;item_06544fb3ac130cd2;item_30703760ffe974b2;item_6f1b5be68f073537;item_93c65a245d6587d0;item_e2a7c405a0b2b007,fact_2d79da7ca35ce7bd;fact_eacf2f2249a4850f;item_256b6d29c204bdf4;item_3afe9f551bc08864,fact_2d79da7ca35ce7bd;fact_eacf2f2249a4850f;item_256b6d29c204bdf4;item_3afe9f551bc08864,True,True,True,True,high,False,True,True,,True,"The question asks for a specific time related to a past event. The gold facts confirm the dog adoption and related actions near November 22, 2023. Conflicts involve earlier statements about dogs but do not contradict the target event's timing. No ordering or current-vs-old comparison is needed. The proposed type 'ordering' is incorrect; 'historical-state' fits best."
locomo::conv-44_qa057,When did Andrew adopt Scout?,few days before November 2023,ordering,historical-state,fact_69b2c6ee3fb002e9;fact_864c6973e928913f;item_06544fb3ac130cd2;item_50112c0a4d691a0d,fact_69b2c6ee3fb002e9;fact_864c6973e928913f;item_06544fb3ac130cd2;item_50112c0a4d691a0d,,,True,True,True,True,high,False,True,True,,True,"The gold facts directly support adoption occurring a few days before November 22, 2023. 'item_06544fb3ac130cd2' and 'item_50112c0a4d691a0d' both state adoption occurred recently before the reference date. The other gold facts confirm Scout's existence and naming on that date. No conflicting dates or states are present; all facts align with the gold answer. The proposed 'ordering' type is incorrect—this is a single temporal fact with a specific time point."
locomo::conv-47_qa021,When did John first organize a charity tournament with his friends?,"May 7, 2022",ordering,historical-state,fact_4015b3d9e39f0db3;fact_4e070905e7e602c8;fact_7fa8f814f07cbbbd;fact_b28c4047dd1fd2ac;item_8f6f97b92f843875;item_f221fdb4dbe62f4b,fact_4015b3d9e39f0db3;fact_4e070905e7e602c8;fact_7fa8f814f07cbbbd;fact_b28c4047dd1fd2ac;item_8f6f97b92f843875;item_cf0e459e7568403b;item_f221fdb4dbe62f4b,fact_9e3f498dc0e19e14;fact_eaa069c741f2b9c0;item_304c01f3eedbf045;item_3e2e7d245d585558,fact_9e3f498dc0e19e14;fact_eaa069c741f2b9c0;item_304c01f3eedbf045;item_3e2e7d245d585558,True,True,True,True,high,False,False,True,,True,"Gold facts directly support May 7, 2022, as the date of the first charity tournament. Conflicts involve events on May 8, October 30, and October 31, 2022, which are later or ambiguous. No ordering or current-vs-old comparison is needed. The proposed type 'ordering' is incorrect; 'historical-state' is correct."
locomo::conv-47_qa037,When did John spend time with his sister and dogs?,"July 21, 2022",historical-state,historical-state,fact_bd315043f0c7ce60;item_5e092aabddd44334;item_a9ffdd50403128e5,fact_bd315043f0c7ce60;item_5e092aabddd44334;item_96b26bfab571e732,,,True,True,True,True,high,True,False,True,,True,"Fact IDs 'fact_bd315043f0c7ce60' and 'item_5e092aabddd44334' both confirm John (not James) spent time with sister and dogs on July 21, 2022. 'item_96b26bfab571e732' supports the date via James's photo activity. No conflicting evidence on the event date. 'item_a9ffdd50403128e5' is about James, not John, and is irrelevant. No conflicts exist."
locomo::conv-48_qa002,When did Deborah`s mother pass away?,a few years before 2023,ordering,historical-state,item_568dd3ac81ace736,fact_29bfcaf84f8b1f37;item_549ce6659e4480f5,fact_29bfcaf84f8b1f37;item_549ce6659e4480f5,item_568dd3ac81ace736,True,True,True,True,high,False,False,False,,True,"The gold answer is 'a few years before 2023', so facts stating the mother passed away without a specific date support this. The fact with 'January 27, 2023' conflicts as it contradicts the 'a few years before' timeline. The photo fact is irrelevant. Ordering is not required; the task is a single historical state."
locomo::conv-48_qa012,When did Deborah receive an appreciation letter from her community?,"January 26, 2023",historical-state,historical-state,fact_a4c360014ede9af2;item_6e42561de963c3b7,fact_a4c360014ede9af2;item_6e42561de963c3b7,,,True,True,True,True,high,True,True,True,,False,"Both gold facts state the same event—Deborah receiving an appreciation letter on January 26, 2023—with consistent timing. No conflicting dates or states exist. The temporal type 'historical-state' is appropriate as the task requires a direct lookup of a single dated event. No ordering or comparison is needed."
locomo::conv-48_qa021,"When do Jolene and her partner plan to complete the game ""Walking Dead""?","Saturday after 27 January, 2023",ordering,historical-state,fact_efcc646040403e2a;item_6a716bf7230eca6d;item_c0f38a1a9a5e9dcd,fact_efcc646040403e2a;item_6a716bf7230eca6d;item_c0f38a1a9a5e9dcd,fact_1a0bd3aeaded0054;fact_7cdbcffad2ea6e7a;fact_87e5dcce209a5d17;item_5e6821b59a537ca2;item_915abc1a319a460e,fact_1a0bd3aeaded0054;fact_7cdbcffad2ea6e7a;fact_87e5dcce209a5d17;item_5e6821b59a537ca2;item_915abc1a319a460e,True,True,True,True,high,False,True,True,,True,"Gold facts confirm Jolene and partner's plan to play 'Walking Dead' on Feb 4, 2023, and their shared gaming interest. Conflict facts mention other games or plans on different dates, but do not contradict the target event's date. No ordering or current-vs-old comparison is needed. The target is a single planned event with a specific date."
locomo::conv-48_qa031,When was the last photo of Deborah and Karlie taken?,in summer 2022,current-vs-old,historical-state,fact_bc5544c39fcdce09;item_6f8d1ac2d7ad38fd,fact_bc5544c39fcdce09;item_6f8d1ac2d7ad38fd,fact_664a24955b5754eb,fact_664a24955b5754eb,True,True,True,True,high,False,True,True,,True,"The gold facts directly state the last photo of Deborah and Karlie was in summer 2022. Fact_664a24955b5754eb describes a different photo (motorcycle ride) with no date, conflicting on the event. No comparison or ordering is needed; the task is a direct lookup. The proposed 'current-vs-old' is incorrect; 'historical-state' fits best."
locomo::conv-48_qa043,When did Deborah go for a bicycle ride with Anna?,"first week of April, 2023",ordering,historical-state,item_a5eb025f06524aa8;item_e193d6cae59f052c,item_a5eb025f06524aa8;item_e193d6cae59f052c,,,True,True,True,True,high,False,True,True,,True,"The gold facts directly confirm Deborah attended an art show with Anna on April 9, 2023, aligning with the gold answer of the first week of April 2023. No conflicting facts exist for the same event with incompatible dates. The temporal operation is a direct lookup of a single dated event, fitting historical-state. The proposed 'ordering' type is incorrect; no relative ordering or sequence is required."
