key,question,gold_answer,proposed_temporal_type,independent_temporal_type,proposed_gold_fact_ids,independent_gold_fact_ids,proposed_conflict_fact_ids,independent_conflict_fact_ids,temporal_type_valid,gold_ids_valid,conflict_ids_valid,proposed_label_valid,confidence,type_exact_match,gold_ids_exact_match,conflict_ids_exact_match,independent_gold_conflict_overlap,author_signoff_required,independent_notes,changed_fact_texts,author_temporal_type,author_gold_fact_ids,author_conflict_fact_ids,author_notes
locomo::conv-42_qa041,When did Joanna make a chocolate tart with raspberries?,"5 October, 2022",historical-state,historical-state,fact_b24a147aa1d42fdd;item_0cefc708bc72f13f,fact_b24a147aa1d42fdd;item_0cefc708bc72f13f,fact_153caaf980b06715;fact_355d1dc418aabfcf;item_65b85455fc13c0e2;item_a0b5d80aa3621a53;item_b915c0864b0ace6b;item_fcdc46318367e43c,fact_b24a147aa1d42fdd;item_0cefc708bc72f13f,True,True,False,False,high,True,True,False,fact_b24a147aa1d42fdd;item_0cefc708bc72f13f,True,"Gold facts correctly identify the tart made on October 5, 2022. Conflict list incorrectly includes gold facts. Conflicts must differ in date/order/answer; here, no incompatible claims exist. Only one valid gold fact (item_0cefc708bc72f13f) supports the answer. Remove gold facts from conflict list. Final conflict list should be empty.","fact_153caaf980b06715: Joanna's favorite dairy-free treat is a chocolate raspberry tart with an almond flour crust, chocolate ganache, and fresh raspberries. || fact_355d1dc418aabfcf: Joanna enjoys making a dairy-free chocolate cake with raspberries as of September 14, 2022. || fact_b24a147aa1d42fdd: Joanna successfully made a dairy-free tart recipe for her family on October 5, 2022. || item_0cefc708bc72f13f: Joanna successfully made a dairy-free tart recipe for her family on October 5, 2022. || item_65b85455fc13c0e2: Joanna describes her dairy-free chocolate cake with raspberries as moist with a perfect sweetness level on September 14, 2022. || item_a0b5d80aa3621a53: Joanna's favorite recipe for birthdays and special days includes almond flour, coconut oil, chocolate, and raspberries. || item_b915c0864b0ace6b: Joanna enjoys making a dairy-free chocolate cake with raspberries as of September 14, 2022. || item_fcdc46318367e43c: Joanna's favorite dairy-free treat is a chocolate raspberry tart with an almond flour crust, chocolate ganache, and fresh raspberries.",,,,
locomo::conv-42_qa054,When was Joanna's second movie script shown on the big screens?,"The Sunday before 25October, 2022.",ordering,ordering,fact_06c8087343fc659f;item_031ed6195763195f;item_a3bf402e40c5bb00,fact_06c8087343fc659f;item_031ed6195763195f;item_a3bf402e40c5bb00,fact_06137e99e7e81ef9;fact_b462ec2efe8841c1;fact_e77291a801145502;item_6714808a0ab2a63b;item_a53a54b385ef64d7;item_b9ce82b7b273c430,fact_06137e99e7e81ef9;fact_b462ec2efe8841c1;fact_e77291a801145502;item_6714808a0ab2a63b;item_a53a54b385ef64d7;item_b9ce82b7b273c430,True,False,False,False,low,True,True,True,,True,"Gold facts must directly support the gold answer. 'item_a3bf402e40c5bb00' (2019) is irrelevant to the 2022 premiere. 'item_031ed6195763195f' and 'fact_06c8087343fc659f' are consistent but do not specify the Sunday before October 25, 2022. Conflicts are not incompatible with gold; e.g., 'fact_06137e99e7e81ef9' (Nov 7) is not a conflict with the answer. Temporal type 'ordering' is incorrect; the task requires a specific date, not sequence.",,,,,
locomo::conv-42_qa072,When did Joanna plan on going to Nate's to watch him play with his turtles?,"10 November, 2022",historical-state,historical-state,fact_1dd2aabbcd28ed29;fact_33135455d5d7bf98;fact_b3430541edad1b07;item_66044f38b1943a73;item_71a33ed37392956a;item_9f1971d35919b607;item_e3a5b7361c6cbb30,fact_1dd2aabbcd28ed29;fact_33135455d5d7bf98;fact_b3430541edad1b07;item_0d0568ba48b3bc27;item_66044f38b1943a73;item_71a33ed37392956a;item_9f1971d35919b607,fact_d1bd3c4b0d338b56;fact_ef1e068f6a2af62b;item_0d0568ba48b3bc27;item_bea94e7f507f6203;item_de4c54c57077fa28,fact_d1bd3c4b0d338b56;fact_ef1e068f6a2af62b;item_0d0568ba48b3bc27;item_bea94e7f507f6203;item_de4c54c57077fa28,True,True,False,False,low,True,False,True,item_0d0568ba48b3bc27,True,"Conflicts must contradict the gold answer on the same target. 'item_0d0568ba48b3bc27' (March 18, 2022) is irrelevant to the visit plan. 'fact_d1bd3c4b0d338b56' (Feb 7, 2022) and 'fact_ef1e068f6a2af62b' (Apr 21, 2022) are unrelated. Only 'item_66044f38b1943a73' and 'item_71a33ed37392956a' (Nov 9, 2022) are relevant. Gold list exceeds 8; conflict list contains non-conflicting facts.","item_0d0568ba48b3bc27: Nate owns turtles and plans to send photos of them to Joanna. || item_e3a5b7361c6cbb30: Nate expresses a preference for turtles, stating they bring him joy and peace.",,,,
locomo::conv-43_qa046,Where was Tim in the week before 16 November 2023?,UK,ordering,historical-state,item_283dd1b56103e11d;item_80cb7a653c1106a2,item_283dd1b56103e11d,,,True,True,True,True,high,False,False,True,,True,"The question asks for Tim's location in the week before 16 November 2023. Fact 'item_283dd1b56103e11d' directly states he was in the UK on 10 November 2023, which falls in the target window. No conflicting facts about location exist. Other facts are about studies, exams, or unrelated events. The temporal type is historical-state, not ordering, as no sequence or comparison is required.","item_80cb7a653c1106a2: Tim is currently busy with exams during the week of November 16, 2023.",,,,
locomo::conv-43_qa047,When did John get married at a greenhouse?,last week of September 2023,current-vs-old,historical-state,item_696a45cf60711e08;item_699e3714e9cabf9b;item_eb7ebd4d827556e3;item_f51559466526d34e,item_696a45cf60711e08;item_699e3714e9cabf9b;item_eb7ebd4d827556e3;item_f51559466526d34e,item_92639ba9cc8c0e42;item_eeeb2dcf5df6cfd1,item_92639ba9cc8c0e42;item_eeeb2dcf5df6cfd1,True,True,True,True,high,False,True,True,,True,"Gold facts confirm the wedding occurred in late September 2023 at a greenhouse. Conflict facts state marriage as of November 11, 2023, and a December photoshoot, contradicting the timeline. No ordering or current-vs-old comparison is needed. Temporal type is correctly historical-state.",,,,,
locomo::conv-43_qa054,When did John take a trip to the Rocky Mountains?,2022,historical-state,historical-state,item_2a7a5239aee02d68;item_6b6854e1c200ce0e,item_2a7a5239aee02d68,fact_dc3e44c210bd664d,fact_dc3e44c210bd664d,True,True,True,True,high,True,False,True,,True,Only 'item_2a7a5239aee02d68' directly supports the gold answer (2022). 'fact_dc3e44c210bd664d' conflicts by placing the trip in Dec 2023. 'item_6b6854e1c200ce0e' is irrelevant (Tim's trip). All other facts are either irrelevant or not time-specific enough. Temporal type 'historical-state' is appropriate for a single dated event.,item_6b6854e1c200ce0e: Tim took a nature photograph during a trip to the Smoky Mountains in 2022.,,,,
locomo::conv-44_qa005,When did Audrey see a hummingbird?,first week of May 2023,ordering,historical-state,item_0500e26422491f7e;item_431f3ce9dcc020d9,fact_12865f1a62ee1e01;item_20250916cfef723e,,,True,True,True,True,high,False,False,True,,True,"The gold answer specifies a date in May 2023. Fact 'item_20250916cfef723e' directly states Audrey observed a hummingbird during the week of April 26, 2023, which conflicts with the gold answer. However, 'fact_12865f1a62ee1e01' states the same event with a different date (April 26, 2023), making it a conflict. The proposed gold facts are irrelevant. The correct temporal type is historical-state, as the question asks for a specific past time. No valid conflicts exist; the proposed conflict list is empty but should include the April 26 fact.","fact_12865f1a62ee1e01: Audrey went on a hike during the week of April 26, 2023, and observed a hummingbird. || item_0500e26422491f7e: Audrey meets other dog owners in the park to have doggie playdates and socialize. || item_20250916cfef723e: Audrey went on a hike during the week of April 26, 2023, and observed a hummingbird. || item_431f3ce9dcc020d9: Audrey usually plays fetch with her dogs using a ball or a frisbee when they go out.",,,,
locomo::conv-44_qa022,Where did Andrew go during the first weekend of August 2023?,camping with girlfriend,ordering,historical-state,fact_d8fe36d8b0a65fb1;item_45e7887381aaf8b3;item_6dfe3e51afc3a0e3;item_a9787ab464fb8e8a,fact_d8fe36d8b0a65fb1;item_45e7887381aaf8b3;item_6dfe3e51afc3a0e3;item_a9787ab464fb8e8a,,,True,True,True,True,high,False,True,True,,True,"The gold facts confirm Andrew's weekend activity in August 2023, with consistent details about fishing with his girlfriend. The target event is a single dated occurrence, not requiring ordering or comparison. No conflicting facts about the same event exist. The proposed 'ordering' type is incorrect; this is a direct historical-state lookup.",,,,,
locomo::conv-44_qa055,When did Andrew make his dogs a fun indoor area?,"few days before November 22, 2023",ordering,historical-state,fact_d23d439244bd54af;item_06544fb3ac130cd2;item_30703760ffe974b2;item_6f1b5be68f073537;item_93c65a245d6587d0;item_e2a7c405a0b2b007,fact_d23d439244bd54af;item_06544fb3ac130cd2;item_30703760ffe974b2;item_6f1b5be68f073537;item_93c65a245d6587d0;item_e2a7c405a0b2b007,fact_2d79da7ca35ce7bd;fact_eacf2f2249a4850f;item_256b6d29c204bdf4;item_3afe9f551bc08864,fact_2d79da7ca35ce7bd;fact_eacf2f2249a4850f;item_256b6d29c204bdf4;item_3afe9f551bc08864,True,True,True,True,high,False,True,True,,True,"The question asks for a specific time related to a past event. The gold facts confirm the dog adoption and related actions near November 22, 2023. Conflicts involve earlier statements about dogs but do not contradict the target event's timing. No ordering or current-vs-old comparison is needed. The proposed type 'ordering' is incorrect; 'historical-state' fits best.",,,,,
locomo::conv-44_qa057,When did Andrew adopt Scout?,few days before November 2023,ordering,historical-state,fact_69b2c6ee3fb002e9;fact_864c6973e928913f;item_06544fb3ac130cd2;item_50112c0a4d691a0d,fact_69b2c6ee3fb002e9;fact_864c6973e928913f;item_06544fb3ac130cd2;item_50112c0a4d691a0d,,,True,True,True,True,high,False,True,True,,True,"The gold facts directly support adoption occurring a few days before November 22, 2023. 'item_06544fb3ac130cd2' and 'item_50112c0a4d691a0d' both state adoption occurred recently before the reference date. The other gold facts confirm Scout's existence and naming on that date. No conflicting dates or states are present; all facts align with the gold answer. The proposed 'ordering' type is incorrect—this is a single temporal fact with a specific time point.",,,,,
locomo::conv-47_qa021,When did John first organize a charity tournament with his friends?,"May 7, 2022",ordering,historical-state,fact_4015b3d9e39f0db3;fact_4e070905e7e602c8;fact_7fa8f814f07cbbbd;fact_b28c4047dd1fd2ac;item_8f6f97b92f843875;item_f221fdb4dbe62f4b,fact_4015b3d9e39f0db3;fact_4e070905e7e602c8;fact_7fa8f814f07cbbbd;fact_b28c4047dd1fd2ac;item_8f6f97b92f843875;item_cf0e459e7568403b;item_f221fdb4dbe62f4b,fact_9e3f498dc0e19e14;fact_eaa069c741f2b9c0;item_304c01f3eedbf045;item_3e2e7d245d585558,fact_9e3f498dc0e19e14;fact_eaa069c741f2b9c0;item_304c01f3eedbf045;item_3e2e7d245d585558,True,True,True,True,high,False,False,True,,True,"Gold facts directly support May 7, 2022, as the date of the first charity tournament. Conflicts involve events on May 8, October 30, and October 31, 2022, which are later or ambiguous. No ordering or current-vs-old comparison is needed. The proposed type 'ordering' is incorrect; 'historical-state' is correct.","item_cf0e459e7568403b: John organized an event with his friends on May 07, 2022.",,,,
locomo::conv-47_qa037,When did John spend time with his sister and dogs?,"July 21, 2022",historical-state,historical-state,fact_bd315043f0c7ce60;item_5e092aabddd44334;item_a9ffdd50403128e5,fact_bd315043f0c7ce60;item_5e092aabddd44334;item_96b26bfab571e732,,,True,True,True,True,high,True,False,True,,True,"Fact IDs 'fact_bd315043f0c7ce60' and 'item_5e092aabddd44334' both confirm John (not James) spent time with sister and dogs on July 21, 2022. 'item_96b26bfab571e732' supports the date via James's photo activity. No conflicting evidence on the event date. 'item_a9ffdd50403128e5' is about James, not John, and is irrelevant. No conflicts exist.","item_96b26bfab571e732: James took multiple photographs on July 21, 2022, and selected one to send to John. || item_a9ffdd50403128e5: John and James were heavily into skateboarding when they were 10 years old.",,,,
locomo::conv-48_qa002,When did Deborah`s mother pass away?,a few years before 2023,ordering,historical-state,item_568dd3ac81ace736,fact_29bfcaf84f8b1f37;item_549ce6659e4480f5,fact_29bfcaf84f8b1f37;item_549ce6659e4480f5,item_568dd3ac81ace736,True,True,True,True,high,False,False,False,,True,"The gold answer is 'a few years before 2023', so facts stating the mother passed away without a specific date support this. The fact with 'January 27, 2023' conflicts as it contradicts the 'a few years before' timeline. The photo fact is irrelevant. Ordering is not required; the task is a single historical state.","fact_29bfcaf84f8b1f37: Deborah's mother has passed away. || item_549ce6659e4480f5: Deborah's mother has passed away. || item_568dd3ac81ace736: Deborah shared a photo of herself and a friend in wheelchairs, noting it was their last photo together before the friend passed away a few years ago.",,,,
locomo::conv-48_qa021,"When do Jolene and her partner plan to complete the game ""Walking Dead""?","Saturday after 27 January, 2023",ordering,historical-state,fact_efcc646040403e2a;item_6a716bf7230eca6d;item_c0f38a1a9a5e9dcd,fact_efcc646040403e2a;item_6a716bf7230eca6d;item_c0f38a1a9a5e9dcd,fact_1a0bd3aeaded0054;fact_7cdbcffad2ea6e7a;fact_87e5dcce209a5d17;item_5e6821b59a537ca2;item_915abc1a319a460e,fact_1a0bd3aeaded0054;fact_7cdbcffad2ea6e7a;fact_87e5dcce209a5d17;item_5e6821b59a537ca2;item_915abc1a319a460e,True,True,True,True,high,False,True,True,,True,"Gold facts confirm Jolene and partner's plan to play 'Walking Dead' on Feb 4, 2023, and their shared gaming interest. Conflict facts mention other games or plans on different dates, but do not contradict the target event's date. No ordering or current-vs-old comparison is needed. The target is a single planned event with a specific date.",,,,,
locomo::conv-48_qa031,When was the last photo of Deborah and Karlie taken?,in summer 2022,current-vs-old,historical-state,fact_bc5544c39fcdce09;item_6f8d1ac2d7ad38fd,fact_bc5544c39fcdce09;item_6f8d1ac2d7ad38fd,fact_664a24955b5754eb,fact_664a24955b5754eb,True,True,True,True,high,False,True,True,,True,"The gold facts directly state the last photo of Deborah and Karlie was in summer 2022. Fact_664a24955b5754eb describes a different photo (motorcycle ride) with no date, conflicting on the event. No comparison or ordering is needed; the task is a direct lookup. The proposed 'current-vs-old' is incorrect; 'historical-state' fits best.",,,,,
locomo::conv-48_qa043,When did Deborah go for a bicycle ride with Anna?,"first week of April, 2023",ordering,historical-state,item_a5eb025f06524aa8;item_e193d6cae59f052c,item_a5eb025f06524aa8;item_e193d6cae59f052c,,,True,True,True,True,high,False,True,True,,True,"The gold facts directly confirm Deborah attended an art show with Anna on April 9, 2023, aligning with the gold answer of the first week of April 2023. No conflicting facts exist for the same event with incompatible dates. The temporal operation is a direct lookup of a single dated event, fitting historical-state. The proposed 'ordering' type is incorrect; no relative ordering or sequence is required.",,,,,
locomo::conv-48_qa052,When did Jolene lose a lot of progress in her work?,last week of July 2023,current-vs-old,historical-state,fact_93d73d6678a649b0;item_0c518202b8da6e32,fact_93d73d6678a649b0;item_0c518202b8da6e32,,,True,True,True,True,high,False,True,True,,True,"The gold facts directly state Jolene lost all work during the week of July 25, 2023, matching the gold answer. The duplicate fact IDs refer to the same event. No conflicting facts exist; other facts are either irrelevant or describe different timeframes. The task requires a single historical date, not comparison or ordering.",,,,,
locomo::conv-48_qa065,Which country was Jolene located in during the last week of August 2023?,Brazil,current-vs-old,historical-state,item_b3686f4ebf49b554;item_c1df0a96235d9219,fact_6a18a39cee41db6c;fact_774fb57453a25984;fact_7bb225a520060b08;fact_85435350d7a2d17c;fact_8b6549c0cacf41a4;item_049975a71e13b9a9;item_09f33517695b3c9e;item_c1df0a96235d9219,,item_2216462db1094e1d;item_2625dfe79d68b85e;item_2eae4bc3cb45dbbf;item_404562d721e2252e;item_5244e6697ad6892f;item_54e3239fc5e6bf4b;item_5c4faa63d08ecd5b;item_8a17d17cc288de69,True,True,True,True,high,False,False,False,,True,"Gold facts confirm Jolene was in Rio de Janeiro (Brazil) during late August 2023. Conflict facts describe later trips (e.g., Phuket, September) or ambiguous timing, contradicting Brazil as the location in late August. Temporal type is historical-state, not current-vs-old, as the query asks for a past state, not a comparison.","fact_6a18a39cee41db6c: Jolene attended yoga classes during her trip to Rio de Janeiro on August 29, 2023. || fact_774fb57453a25984: Jolene is taking beach trips with her partner to relax as of September 3, 2023. || fact_7bb225a520060b08: Jolene traveled to Rio de Janeiro with her partner on August 29, 2023. || fact_85435350d7a2d17c: On August 21, 2023, Jolene stated that she is finding her 'zen' again. || fact_8b6549c0cacf41a4: Jolene practices yoga as of August 30, 2023. || item_049975a71e13b9a9: On August 21, 2023, Jolene stated that she is finding her 'zen' again. || item_09f33517695b3c9e: On August 30, 2023, Jolene stated she acquired a reminder to nurture herself and embrace fresh starts. || item_2216462db1094e1d: Jolene experienced a beach getaway prior to September 6, 2023. || item_2625dfe79d68b85e: Jolene is working on a project as of September 6, 2023. || item_2eae4bc3cb45dbbf: Jolene is currently engaged in studies as of September 6, 2023. || item_404562d721e2252e: Jolene explored new places during a trip or outing on March 2, 2023. || item_5244e6697ad6892f: Jolene stated on September 17, 2023, that she has started learning about a topic but has not visited the location yet. || item_54e3239fc5e6bf4b: Jolene recently returned from a trip with her partner in September 2023. || item_5c4faa63d08ecd5b: Jolene's partner and Jolene had an emotional conversation about the influence of their loved ones on August 19, 2023 (last Friday). || item_8a17d17cc288de69: Jolene expressed an interest in trying new routines to mix things up on August 1, 2023. || item_b3686f4ebf49b554: Jolene visited a country where she learned about different types of yoga and their backgrounds.",,,,
locomo::conv-48_qa071,When did Deborah go to a community meetup?,last week of August 2023,current-vs-old,historical-state,fact_470bcaabccd8c911;item_1567748661347925,fact_470bcaabccd8c911;item_1567748661347925,,,True,True,True,True,high,False,True,True,,True,"The gold answer specifies a single date: last week of August 2023. Fact IDs fact_470bcaabccd8c911 and item_1567748661347925 both state Deborah attended a meetup on August 25, 2023, which falls within that window. No conflicting facts about the same event exist. The temporal type should be historical-state, not current-vs-old, as no comparison between states is required.",,,,,
locomo::conv-49_qa053,When did Evan and Sam decide to paint together?,"Saturday after 11 September, 2023.",ordering,historical-state,fact_22467a57d0f11920;fact_45f1ad7c38dd3df9;fact_6997e873b0b29ebb;fact_e0afc988f6c0cbf6;item_67f57b469a8009ce;item_83966f14c9fdc1ee,fact_22467a57d0f11920;fact_45f1ad7c38dd3df9;fact_6997e873b0b29ebb;fact_e0afc988f6c0cbf6;item_67f57b469a8009ce;item_73cca08e07ff8bd7;item_7faaaca5e16d7561;item_83966f14c9fdc1ee,fact_09e2460bfb080265;fact_9a51d50f305fb632;item_a44c330b35df8951;item_ab28b0ac3e4d3745;item_b2834864bab97dcd;item_e75dc240f601258f,fact_09e2460bfb080265;fact_9a51d50f305fb632;item_a44c330b35df8951;item_ab28b0ac3e4d3745;item_b2834864bab97dcd;item_e75dc240f601258f,True,True,True,True,high,False,False,True,,True,"Gold facts confirm the painting plan on Saturday, September 16, 2023, with multiple consistent references. Conflicts involve unrelated future plans (Dec, Oct, Nov) and non-painting activities. No temporal comparison or ordering needed; the gold answer is a single historical date. Proposed 'ordering' is incorrect; 'historical-state' fits best.","item_73cca08e07ff8bd7: Sam expressed interest in starting painting and requested Evan's help to select supplies on September 11, 2023. || item_7faaaca5e16d7561: Evan reported on September 11, 2023, that making healthier choices has made a positive difference for him.",,,,
